transaction_id,customer_id,transaction_amount,transaction_type,account_type,timestamp,branch_id,currency,transaction_status
TIDCUST258_89,CUST7,4376.0,Debit,Checking,2025-02-12 08:33:26.670345,B002,GBP,Success
TIDCUST7_90,CUST429,2808.29,Credit,Savings,2025-02-09 03:42:26.670345,B001,USD,Failure
TIDCUST429_91,CUST436,2027.11,Debit,Savings,2025-02-04 19:17:26.670345,B005,EUR,Success
TIDCUST436_92,CUST21,477.27,Credit,Savings,2025-02-09 10:45:26.670345,B003,USD,Success
TIDCUST21_93,CUST393,4392.62,Debit,Checking,2025-01-19 03:24:26.670345,B002,INR,Success
TIDCUST393_94,CUST254,1007.8,Credit,Checking,2025-01-25 23:59:26.670345,B004,INR,Success
TIDCUST254_95,CUST373,2961.86,Debit,Checking,2025-02-11 04:16:26.670345,B005,GBP,Success
TIDCUST373_96,CUST417,1432.07,Credit,Savings,2025-02-10 13:08:26.670345,B001,INR,Failure
TIDCUST417_97,CUST177,1491.64,Credit,Checking,2025-01-25 20:28:26.670345,B001,GBP,Failure
TIDCUST177_98,CUST326,4455.88,Debit,Checking,2025-02-12 09:10:26.670345,B003,EUR,Failure
TIDCUST326_99,CUST489,3176.11,Debit,Savings,2025-01-16 09:31:26.670345,B004,GBP,Success
TIDCUST489_100,CUST64,2390.34,Credit,Savings,2025-02-06 08:45:26.670345,B001,EUR,Success
TIDCUST64_101,CUST137,3431.16,Debit,Checking,2025-01-29 07:26:26.670345,B005,USD,Success
TIDCUST137_102,CUST103,3231.57,Debit,Savings,2025-02-10 00:44:26.670345,B004,EUR,Failure
TIDCUST103_103,CUST204,3951.08,Debit,Checking,2025-02-04 14:40:26.670345,B005,INR,Success
TIDCUST204_104,CUST341,769.92,Credit,Savings,2025-01-29 12:26:26.670345,B004,USD,Success
TIDCUST341_105,CUST315,4952.73,Credit,Savings,2025-01-26 20:51:26.670345,B005,INR,Failure
TIDCUST315_106,CUST114,3848.7,Credit,Savings,2025-01-26 12:07:26.670345,B003,GBP,Failure
TIDCUST114_107,CUST391,4011.94,Credit,Savings,2025-02-07 04:59:26.670345,B001,INR,Failure
TIDCUST391_108,CUST440,1559.22,Credit,Savings,2025-01-18 21:40:26.670345,B005,EUR,Success
TIDCUST440_109,CUST106,1113.25,Credit,Savings,2025-01-31 17:25:26.670345,B004,GBP,Failure
TIDCUST106_110,CUST193,2507.27,Credit,Savings,2025-02-10 18:04:26.670345,B001,GBP,Failure
TIDCUST193_111,CUST210,4546.23,Credit,Savings,2025-01-24 02:53:26.670345,B005,USD,Failure
TIDCUST210_112,CUST377,4576.73,Debit,Savings,2025-02-02 02:36:26.670345,B004,INR,Success
TIDCUST377_113,CUST227,1397.14,Debit,Checking,2025-01-27 06:22:26.670345,B004,USD,Failure
TIDCUST227_114,CUST307,3992.79,Debit,Checking,2025-02-11 08:38:26.670345,B004,EUR,Failure
TIDCUST307_115,CUST263,1887.26,Debit,Savings,2025-01-15 15:52:26.670345,B003,GBP,Failure
TIDCUST263_116,CUST370,489.22,Credit,Savings,2025-01-20 23:09:26.670345,B001,INR,Success
TIDCUST370_117,CUST373,245.01,Debit,Savings,2025-02-05 22:47:26.670345,B003,GBP,Failure
TIDCUST373_118,CUST460,460.29,Debit,Savings,2025-01-15 11:23:26.670345,B005,EUR,Success
TIDCUST460_119,CUST75,3626.13,Debit,Checking,2025-02-02 06:32:26.670345,B003,GBP,Success
TIDCUST75_120,CUST44,1156.1,Credit,Savings,2025-01-24 02:25:26.670345,B004,USD,Failure
TIDCUST44_121,CUST227,3739.14,Credit,Savings,2025-02-04 17:02:26.670345,B001,USD,Failure
TIDCUST227_122,CUST227,3537.49,Credit,Savings,2025-01-18 21:31:26.670345,B005,EUR,Failure
TIDCUST227_123,CUST91,3321.58,Credit,Savings,2025-02-07 08:41:26.670345,B001,GBP,Failure
TIDCUST91_124,CUST408,459.08,Credit,Savings,2025-01-18 03:37:26.670345,B004,GBP,Success
TIDCUST408_125,CUST55,4354.11,Credit,Savings,2025-01-19 02:27:26.670345,B001,USD,Success
TIDCUST55_126,CUST452,1955.29,Credit,Checking,2025-02-04 05:03:26.670345,B001,USD,Failure
TIDCUST452_127,CUST223,4884.96,Credit,Savings,2025-02-09 15:07:26.670345,B004,GBP,Success
TIDCUST223_128,CUST102,2617.78,Credit,Checking,2025-01-15 01:03:26.670345,B001,GBP,Failure
TIDCUST102_129,CUST84,3026.86,Debit,Savings,2025-02-09 17:39:26.670345,B005,USD,Failure
TIDCUST84_130,CUST487,1616.0,Credit,Checking,2025-02-09 18:15:26.670345,B004,EUR,Failure
TIDCUST487_131,CUST137,3317.0,Credit,Checking,2025-02-08 11:18:26.670345,B001,USD,Failure
TIDCUST137_132,CUST258,2552.9,Credit,Savings,2025-01-25 15:22:26.670345,B001,USD,Success
TIDCUST258_133,CUST71,3360.35,Debit,Savings,2025-01-24 10:01:26.670345,B004,INR,Failure
TIDCUST71_134,CUST171,282.69,Credit,Savings,2025-01-19 00:05:26.670345,B003,INR,Failure
TIDCUST171_135,CUST176,3181.29,Debit,Savings,2025-02-12 01:32:26.670345,B002,INR,Failure
TIDCUST176_136,CUST465,4476.66,Debit,Checking,2025-02-03 21:58:26.670345,B004,INR,Failure
TIDCUST465_137,CUST114,2476.46,Credit,Savings,2025-02-05 14:11:26.670345,B003,INR,Success
TIDCUST114_138,CUST334,4000.83,Debit,Checking,2025-01-25 01:50:26.670345,B001,INR,Success
TIDCUST334_139,CUST33,4850.41,Debit,Savings,2025-01-19 08:06:26.670345,B001,INR,Success
TIDCUST33_140,CUST70,3238.96,Credit,Savings,2025-02-04 13:41:26.670345,B002,EUR,Failure
TIDCUST70_141,CUST321,1474.4,Credit,Checking,2025-01-28 18:15:26.670345,B001,INR,Success
TIDCUST321_142,CUST336,3597.67,Debit,Savings,2025-01-22 22:57:26.670345,B004,GBP,Success
TIDCUST336_143,CUST441,516.67,Credit,Savings,2025-01-23 07:11:26.670345,B002,USD,Success
TIDCUST441_144,CUST259,3412.84,Debit,Savings,2025-01-24 00:20:26.670345,B005,EUR,Failure
TIDCUST259_145,CUST157,809.23,Credit,Savings,2025-02-03 13:41:26.670345,B005,USD,Failure
TIDCUST157_146,CUST491,1641.56,Debit,Checking,2025-02-05 14:22:26.670345,B004,INR,Failure
TIDCUST491_147,CUST198,851.98,Credit,Checking,2025-01-14 07:17:26.670345,B005,USD,Success
TIDCUST198_148,CUST2,4310.38,Debit,Checking,2025-01-14 08:45:26.670345,B005,USD,Success
TIDCUST2_149,CUST167,4342.93,Credit,Savings,2025-01-20 13:12:26.670345,B004,GBP,Success
TIDCUST167_150,CUST107,1534.96,Debit,Checking,2025-02-07 07:24:26.670345,B005,USD,Success
TIDCUST107_151,CUST135,2301.87,Debit,Checking,2025-02-04 23:21:26.670345,B001,EUR,Failure
TIDCUST135_152,CUST253,2338.59,Credit,Checking,2025-01-21 21:54:26.670345,B001,USD,Success
TIDCUST253_153,CUST33,1739.97,Debit,Checking,2025-01-31 08:17:26.670345,B005,USD,Failure
TIDCUST33_154,CUST388,3003.05,Debit,Savings,2025-02-11 19:12:26.670345,B003,INR,Success
TIDCUST388_155,CUST417,2892.74,Debit,Savings,2025-01-17 22:53:26.670345,B004,INR,Failure
TIDCUST417_156,CUST472,3519.64,Credit,Checking,2025-01-14 11:07:26.670345,B003,GBP,Success
TIDCUST472_157,CUST451,1432.74,Debit,Checking,2025-01-27 20:03:26.670345,B001,GBP,Failure
TIDCUST451_158,CUST171,998.06,Debit,Checking,2025-01-23 06:46:26.670345,B005,INR,Success
TIDCUST171_159,CUST449,1893.14,Credit,Savings,2025-02-10 09:47:26.670345,B005,INR,Success
TIDCUST449_160,CUST350,1199.65,Debit,Savings,2025-02-09 22:31:26.670345,B005,USD,Success
TIDCUST350_161,CUST231,4410.86,Debit,Checking,2025-02-11 11:40:26.670345,B005,EUR,Failure
TIDCUST231_162,CUST472,334.21,Credit,Checking,2025-02-03 14:45:26.670345,B005,EUR,Failure
TIDCUST472_163,CUST157,790.97,Credit,Checking,2025-02-01 22:11:26.670345,B003,INR,Success
TIDCUST157_164,CUST114,4240.84,Credit,Checking,2025-01-17 03:12:26.670345,B004,GBP,Success
TIDCUST114_165,CUST129,395.42,Debit,Checking,2025-02-02 21:12:26.670345,B004,INR,Failure
TIDCUST129_166,CUST170,4921.03,Debit,Savings,2025-02-12 17:06:26.670345,B004,INR,Success
TIDCUST170_167,CUST70,559.72,Debit,Savings,2025-02-09 06:36:26.670345,B002,EUR,Success
TIDCUST70_168,CUST406,1902.19,Debit,Checking,2025-01-15 08:48:26.670345,B002,GBP,Success
TIDCUST406_169,CUST413,4739.48,Debit,Savings,2025-01-25 23:36:26.670345,B005,USD,Success
TIDCUST413_170,CUST290,449.79,Credit,Savings,2025-02-12 01:28:26.670345,B005,USD,Failure
TIDCUST290_171,CUST353,2433.11,Debit,Checking,2025-01-22 06:03:26.670345,B004,USD,Failure
TIDCUST353_172,CUST488,838.53,Credit,Checking,2025-02-12 23:54:26.670345,B001,GBP,Success
TIDCUST488_173,CUST23,640.38,Credit,Checking,2025-01-28 16:40:26.670345,B001,INR,Success
TIDCUST23_174,CUST386,3549.84,Credit,Savings,2025-02-07 13:56:26.670345,B005,EUR,Success
TIDCUST386_175,CUST139,425.42,Debit,Checking,2025-01-19 09:10:26.670345,B003,EUR,Success
TIDCUST139_176,CUST346,2290.13,Debit,Savings,2025-01-30 09:13:26.670345,B005,USD,Failure
TIDCUST346_177,CUST444,2069.01,Debit,Savings,2025-02-03 04:15:26.670345,B003,USD,Failure
TIDCUST444_178,CUST407,2158.95,Debit,Checking,2025-01-28 17:39:26.670345,B001,INR,Success
TIDCUST407_179,CUST67,56.8,Credit,Savings,2025-02-13 01:22:26.670345,B005,USD,Failure
TIDCUST67_180,CUST361,1597.8,Debit,Savings,2025-02-01 15:40:26.670345,B002,GBP,Failure
TIDCUST361_181,CUST359,2289.44,Credit,Savings,2025-01-21 16:46:26.670345,B005,USD,Failure
TIDCUST359_182,CUST469,3245.57,Credit,Savings,2025-02-06 20:02:26.670345,B003,INR,Success
TIDCUST469_183,CUST422,1247.31,Credit,Checking,2025-01-19 18:45:26.670345,B004,USD,Success
TIDCUST422_184,CUST296,4646.06,Credit,Savings,2025-01-20 07:37:26.670345,B004,USD,Failure
TIDCUST296_185,CUST485,4225.89,Debit,Checking,2025-01-26 20:13:26.670345,B001,GBP,Success
TIDCUST485_186,CUST154,698.21,Credit,Savings,2025-02-11 16:49:26.670345,B005,GBP,Success
TIDCUST154_187,CUST490,581.28,Debit,Checking,2025-01-25 23:19:26.670345,B003,USD,Failure
TIDCUST490_188,CUST118,3742.39,Credit,Savings,2025-02-11 20:26:26.670345,B004,USD,Success
TIDCUST118_189,CUST370,2023.55,Credit,Savings,2025-01-23 02:59:26.670345,B003,USD,Failure
TIDCUST370_190,CUST424,3570.3,Credit,Checking,2025-02-04 15:49:26.670345,B004,GBP,Failure
TIDCUST424_191,CUST109,4963.4,Debit,Checking,2025-01-20 03:28:26.670345,B004,EUR,Failure
TIDCUST109_192,CUST25,1875.95,Credit,Checking,2025-01-19 11:40:26.670345,B005,EUR,Success
TIDCUST25_193,CUST155,331.15,Credit,Savings,2025-02-09 13:43:26.670345,B004,EUR,Success
TIDCUST155_194,CUST272,3352.52,Debit,Savings,2025-01-29 07:19:26.670345,B001,GBP,Failure
TIDCUST272_195,CUST120,3019.5,Credit,Savings,2025-01-15 15:04:26.670345,B002,EUR,Success
TIDCUST120_196,CUST276,3954.84,Debit,Checking,2025-01-19 19:31:26.670345,B005,GBP,Success
TIDCUST276_197,CUST13,3592.56,Credit,Checking,2025-01-29 07:16:26.670345,B001,USD,Failure
TIDCUST13_198,CUST119,4686.46,Credit,Savings,2025-02-02 02:12:26.670345,B005,GBP,Failure
TIDCUST119_199,CUST337,2083.95,Credit,Checking,2025-02-09 02:31:26.670345,B005,GBP,Failure
TIDCUST337_200,CUST344,3068.28,Credit,Savings,2025-01-27 10:09:26.670345,B005,USD,Failure
TIDCUST344_201,CUST232,1953.21,Debit,Savings,2025-01-24 22:44:26.670345,B004,EUR,Success
TIDCUST232_202,CUST442,118.61,Debit,Checking,2025-02-03 02:58:26.670345,B002,INR,Failure
TIDCUST442_203,CUST383,4129.09,Debit,Checking,2025-02-07 05:59:26.670345,B005,INR,Success
TIDCUST383_204,CUST369,500.76,Debit,Savings,2025-02-12 19:49:26.670345,B004,USD,Failure
TIDCUST369_205,CUST407,4393.93,Credit,Checking,2025-01-20 06:51:26.670345,B001,EUR,Success
TIDCUST407_206,CUST90,888.76,Credit,Checking,2025-01-30 09:03:26.670345,B001,INR,Success
TIDCUST90_207,CUST69,414.33,Credit,Checking,2025-02-05 18:06:26.670345,B003,INR,Failure
TIDCUST69_208,CUST169,87.36,Credit,Checking,2025-01-18 14:29:26.670345,B005,USD,Success
TIDCUST169_209,CUST445,3720.89,Credit,Checking,2025-01-26 16:59:26.670345,B001,INR,Failure
TIDCUST445_210,CUST235,4761.8,Debit,Savings,2025-01-28 22:01:26.670345,B003,INR,Failure
TIDCUST235_211,CUST17,4049.61,Debit,Checking,2025-02-09 14:58:26.670345,B005,EUR,Failure
TIDCUST17_212,CUST462,4033.27,Debit,Checking,2025-01-26 01:53:26.670345,B002,EUR,Success
TIDCUST462_213,CUST187,3440.74,Debit,Checking,2025-02-09 06:42:26.670345,B003,INR,Failure
TIDCUST187_214,CUST178,1662.18,Debit,Savings,2025-01-25 03:50:26.670345,B002,GBP,Success
TIDCUST178_215,CUST424,1478.84,Debit,Savings,2025-01-28 10:33:26.670345,B002,EUR,Success
TIDCUST424_216,CUST30,3245.16,Debit,Savings,2025-02-11 22:28:26.670345,B001,INR,Success
TIDCUST30_217,CUST250,723.93,Debit,Savings,2025-02-06 16:44:26.670345,B002,USD,Success
TIDCUST250_218,CUST361,4226.35,Debit,Savings,2025-02-04 09:01:26.670345,B004,INR,Failure
TIDCUST361_219,CUST447,2733.77,Credit,Savings,2025-02-11 12:48:26.670345,B005,INR,Failure
TIDCUST447_220,CUST86,3217.86,Credit,Savings,2025-01-14 10:01:26.670345,B002,EUR,Failure
TIDCUST86_221,CUST46,1433.5,Credit,Savings,2025-01-29 21:04:26.670345,B002,INR,Failure
TIDCUST46_222,CUST324,2215.95,Debit,Savings,2025-01-27 08:59:26.670345,B002,USD,Success
TIDCUST324_223,CUST124,2719.48,Credit,Savings,2025-02-05 03:38:26.670345,B005,USD,Failure
TIDCUST124_224,CUST195,67.23,Credit,Checking,2025-02-03 05:46:26.670345,B003,INR,Failure
TIDCUST195_225,CUST385,4900.34,Debit,Checking,2025-02-09 12:45:26.670345,B003,USD,Failure
TIDCUST385_226,CUST281,2064.06,Debit,Checking,2025-01-30 06:17:26.670345,B001,USD,Success
TIDCUST281_227,CUST325,2435.01,Credit,Savings,2025-01-21 23:18:26.670345,B005,GBP,Success
TIDCUST325_228,CUST196,3012.57,Debit,Checking,2025-01-30 13:04:26.670345,B003,USD,Success
TIDCUST196_229,CUST357,1446.19,Credit,Savings,2025-01-21 11:53:26.670345,B002,USD,Failure
TIDCUST357_230,CUST232,3349.65,Debit,Checking,2025-01-19 20:31:26.670345,B005,GBP,Success
TIDCUST232_231,CUST419,1474.13,Credit,Savings,2025-01-29 07:29:26.670345,B001,INR,Success
TIDCUST419_232,CUST57,1272.98,Credit,Savings,2025-01-15 18:04:26.670345,B005,GBP,Success
TIDCUST57_233,CUST167,887.39,Credit,Savings,2025-01-31 20:30:26.670345,B002,EUR,Success
TIDCUST167_234,CUST286,3299.91,Debit,Savings,2025-01-16 17:52:26.670345,B001,GBP,Success
TIDCUST286_235,CUST43,3751.59,Credit,Savings,2025-02-11 05:30:26.670345,B005,INR,Success
TIDCUST43_236,CUST144,1867.23,Credit,Checking,2025-02-01 20:48:26.670345,B001,GBP,Failure
TIDCUST144_237,CUST479,4289.02,Debit,Savings,2025-02-11 09:04:26.670345,B003,INR,Failure
TIDCUST479_238,CUST158,1934.65,Debit,Checking,2025-01-25 10:34:26.670345,B002,GBP,Failure
TIDCUST158_239,CUST15,4470.29,Debit,Savings,2025-01-16 18:02:26.670345,B003,EUR,Success
TIDCUST15_240,CUST67,859.18,Debit,Checking,2025-02-04 01:39:26.670345,B004,EUR,Success
TIDCUST67_241,CUST382,1151.21,Debit,Savings,2025-02-06 19:01:26.670345,B005,USD,Success
TIDCUST382_242,CUST354,4590.67,Credit,Checking,2025-02-03 00:13:26.670345,B005,GBP,Success
TIDCUST354_243,CUST85,4174.59,Debit,Savings,2025-01-19 06:16:26.670345,B005,EUR,Success
TIDCUST85_244,CUST287,1277.86,Debit,Savings,2025-02-09 09:23:26.670345,B003,INR,Success
TIDCUST287_245,CUST396,748.54,Debit,Savings,2025-02-02 06:29:26.670345,B001,INR,Failure
TIDCUST396_246,CUST211,4129.34,Debit,Savings,2025-02-07 11:16:26.670345,B002,EUR,Success
TIDCUST211_247,CUST395,379.8,Debit,Checking,2025-01-25 01:33:26.670345,B002,INR,Failure
TIDCUST395_248,CUST3,1577.29,Debit,Savings,2025-01-25 14:13:26.670345,B003,EUR,Success
TIDCUST3_249,CUST241,2806.04,Credit,Savings,2025-01-17 01:21:26.670345,B001,INR,Success
TIDCUST241_250,CUST403,4092.79,Credit,Savings,2025-02-12 14:49:26.670345,B005,EUR,Success
TIDCUST403_251,CUST134,4263.92,Credit,Checking,2025-02-06 15:36:26.670345,B003,INR,Success
TIDCUST134_252,CUST247,1495.48,Credit,Checking,2025-01-27 14:21:26.670345,B005,EUR,Failure
TIDCUST247_253,CUST416,1717.42,Debit,Savings,2025-02-11 05:42:26.670345,B003,USD,Success
TIDCUST416_254,CUST265,2192.44,Credit,Savings,2025-02-04 03:33:26.670345,B002,USD,Success
TIDCUST265_255,CUST83,2127.73,Debit,Checking,2025-01-14 11:23:26.670345,B004,GBP,Failure
TIDCUST83_256,CUST453,4164.68,Debit,Savings,2025-01-29 03:44:26.670345,B004,GBP,Failure
TIDCUST453_257,CUST125,3840.92,Debit,Savings,2025-01-27 17:23:26.670345,B004,GBP,Failure
TIDCUST125_258,CUST283,2644.87,Credit,Savings,2025-01-22 15:07:26.670345,B002,INR,Failure
TIDCUST283_259,CUST330,819.22,Debit,Savings,2025-01-27 19:57:26.670345,B004,GBP,Failure
