transaction_id,account_id,transaction_type,amount,currency,channel,transaction_date,status,location,customer_age,customer_income,loan_amount,credit_score
TXN222858,ACC00175,Deposit,2108.45,USD,Online,2023-03-26,Success,Sydney,56,172411.81,0,636
TXN163503,ACC00012,Bill Payment,35765.76,GBP,Mobile,2023-12-15,Success,Toronto,49,106458.1,0,531
TXN387666,ACC00166,Withdrawal,30051.36,USD,Branch,2023-01-13,Pending,London,55,133190.21,0,740
TXN952541,ACC00197,Transfer,4441.08,USD,Online,2024-09-08,Success,Mumbai,47,183114.75,0,613
TXN822952,ACC00085,Withdrawal,31235.06,EUR,ATM,2023-06-28,Success,Toronto,18,116026.08,0,350
TXN297707,ACC00473,Transfer,47271.42,GBP,Mobile,2024-11-20,Success,New York,69,160729.47,0,316
TXN498959,ACC00159,Transfer,36773.16,EUR,Online,2024-03-09,Success,Mumbai,51,76937.77,0,514
TXN516043,ACC00331,Payment,16680.17,JPY,POS,2024-05-05,Success,London,19,149353.14,0,499
TXN971455,ACC00255,Deposit,26629.94,JPY,Branch,2024-07-06,Success,New York,26,29805.16,0,483
TXN597869,ACC00024,Loan Disbursement,40634.11,USD,Branch,2023-02-25,Success,Mumbai,40,137058.86,0,471
TXN446047,ACC00341,Transfer,40532.71,JPY,Online,2024-02-13,Failed,London,39,46072.89,0,482
TXN729696,ACC00390,Deposit,14444.37,USD,Online,2023-11-01,Success,New York,62,71984.07,0,547
TXN751748,ACC00049,Transfer,43800.26,JPY,Branch,2023-05-11,Success,Sydney,39,164149.76,0,307
TXN651928,ACC00470,Bill Payment,40229.55,INR,Branch,2024-10-17,Failed,Mumbai,73,163816.23,0,800
TXN411029,ACC00123,Transfer,18382.11,INR,ATM,2023-09-27,Pending,Toronto,37,159200.71,0,682
TXN992618,ACC00269,Bill Payment,15181.07,JPY,ATM,2023-07-06,Success,Toronto,18,184420.8,0,573
TXN122517,ACC00214,Withdrawal,17036.41,JPY,Mobile,2023-11-22,Success,Toronto,56,69128.25,0,324
TXN520304,ACC00395,Loan Disbursement,29237.92,GBP,Online,2023-01-08,Failed,Mumbai,45,61686.27,0,805
TXN386689,ACC00317,Loan Disbursement,7748.4,USD,Branch,2023-02-17,Success,Tokyo,52,61079.69,0,749
TXN260750,ACC00110,Withdrawal,4808.96,INR,Mobile,2023-03-01,Success,Toronto,22,77574.97,0,404
TXN901059,ACC00009,Payment,46278.17,USD,POS,2024-09-19,Success,Mumbai,35,125519.9,0,818
TXN803924,ACC00136,Loan Disbursement,13835.85,GBP,Mobile,2023-08-09,Success,Tokyo,56,149625.86,0,737
TXN623858,ACC00170,Bill Payment,10360.17,GBP,Branch,2024-11-19,Pending,Toronto,46,87408.02,0,549
TXN341548,ACC00451,Payment,10443.56,JPY,Online,2023-03-21,Pending,Mumbai,25,90125.23,0,592
TXN413860,ACC00477,Bill Payment,10411.08,USD,POS,2023-02-04,Success,Tokyo,36,131434.17,0,428
TXN436039,ACC00020,Bill Payment,40796.47,EUR,ATM,2024-06-09,Success,London,73,192565.58,0,742
TXN982828,ACC00198,Bill Payment,37963.68,EUR,Mobile,2024-05-28,Success,New York,18,38733.16,0,500
TXN409115,ACC00382,Loan Disbursement,19902.21,USD,Online,2023-06-12,Success,Mumbai,23,173985.66,0,766
TXN132886,ACC00494,Payment,44012.31,USD,ATM,2023-10-25,Success,Mumbai,53,107812.25,0,799
TXN123681,ACC00441,Transfer,38865.5,JPY,Mobile,2023-10-27,Success,London,30,145654.61,0,690
TXN308003,ACC00429,Loan Disbursement,29685.91,INR,Mobile,2024-07-10,Success,Tokyo,31,101389.48,0,306
TXN287234,ACC00254,Deposit,48186.54,EUR,POS,2023-08-13,Success,London,40,150967.72,0,728
TXN871080,ACC00008,Loan Disbursement,9329.18,JPY,Online,2024-04-02,Success,Mumbai,68,25928.49,0,585
TXN864952,ACC00050,Loan Disbursement,4094.76,USD,POS,2024-10-30,Pending,Mumbai,49,38841.64,0,442
TXN165642,ACC00157,Payment,32937.13,USD,Branch,2023-01-09,Success,New York,23,127886.0,0,524
TXN320425,ACC00382,Withdrawal,5498.61,EUR,Mobile,2024-09-09,Success,New York,32,161534.16,0,386
TXN198321,ACC00228,Bill Payment,33830.12,USD,Mobile,2024-09-05,Success,Sydney,45,33926.61,0,536
TXN128791,ACC00113,Payment,4840.99,USD,ATM,2023-10-16,Failed,Sydney,37,23900.08,0,580
TXN425377,ACC00097,Loan Disbursement,21934.48,JPY,Branch,2023-05-11,Success,Tokyo,41,114599.94,0,564
TXN551923,ACC00316,Transfer,16305.01,JPY,Branch,2024-10-12,Pending,London,57,149342.33,0,792
TXN825918,ACC00443,Payment,41963.73,GBP,Online,2023-09-01,Success,London,69,155817.09,0,491
TXN244079,ACC00278,Loan Disbursement,7054.22,EUR,Online,2023-08-08,Success,London,61,168697.9,0,523
TXN366472,ACC00331,Payment,25944.27,INR,Branch,2023-10-31,Success,Toronto,63,189300.41,0,309
TXN434745,ACC00181,Transfer,24705.56,GBP,POS,2023-04-03,Success,Mumbai,53,39924.58,0,724
TXN673731,ACC00387,Bill Payment,30787.78,USD,ATM,2023-06-30,Success,London,28,107149.3,0,537
TXN374525,ACC00156,Loan Disbursement,32536.33,EUR,ATM,2023-01-13,Success,New York,48,153237.94,0,354
TXN488435,ACC00136,Payment,9981.59,EUR,ATM,2023-04-11,Success,Toronto,75,27561.18,0,732
TXN745828,ACC00092,Withdrawal,25746.97,JPY,ATM,2024-06-22,Success,Sydney,36,166598.13,0,850
TXN599849,ACC00477,Deposit,39006.08,INR,Branch,2024-06-28,Success,Toronto,63,42031.87,0,747
TXN772509,ACC00408,Loan Disbursement,32763.16,INR,POS,2024-09-04,Success,Tokyo,47,23907.72,0,439
TXN425915,ACC00358,Deposit,8051.9,JPY,ATM,2024-12-14,Failed,Toronto,73,70244.04,0,504
TXN252392,ACC00138,Payment,25683.97,EUR,ATM,2023-07-10,Success,Toronto,26,89170.39,0,442
TXN847484,ACC00424,Deposit,23508.57,INR,Online,2024-01-01,Success,New York,24,130804.85,0,708
TXN514165,ACC00477,Deposit,16625.66,GBP,POS,2023-04-05,Failed,Sydney,70,195627.77,0,349
TXN761392,ACC00412,Payment,4458.57,EUR,Mobile,2023-10-06,Success,Toronto,75,155080.99,0,766
TXN194421,ACC00346,Bill Payment,11566.59,GBP,POS,2024-07-15,Success,London,50,128361.83,0,757
TXN341240,ACC00147,Transfer,31646.68,JPY,POS,2024-06-11,Success,Tokyo,34,159034.82,0,414
TXN548116,ACC00001,Deposit,375.87,INR,Mobile,2024-05-13,Success,Sydney,50,184784.18,0,595
TXN589730,ACC00174,Bill Payment,44712.2,GBP,ATM,2024-09-21,Success,Mumbai,18,139658.82,0,650
TXN439026,ACC00433,Payment,7020.58,USD,POS,2024-07-09,Pending,Toronto,68,125162.01,0,696
TXN273405,ACC00239,Withdrawal,29823.19,EUR,POS,2024-12-14,Success,New York,61,173546.55,0,436
TXN441568,ACC00192,Withdrawal,13280.62,GBP,Mobile,2023-01-12,Success,London,30,182592.56,0,442
TXN941938,ACC00397,Bill Payment,16908.12,JPY,ATM,2023-02-04,Pending,Mumbai,74,167958.56,0,375
TXN932360,ACC00028,Payment,21946.34,JPY,Branch,2023-09-19,Success,Mumbai,24,180631.02,0,353
TXN729802,ACC00223,Deposit,46253.8,INR,Online,2024-08-13,Success,Tokyo,61,22511.87,0,654
TXN659601,ACC00188,Deposit,4592.97,GBP,POS,2023-07-17,Failed,Mumbai,22,190928.76,0,303
TXN640667,ACC00392,Transfer,7304.16,JPY,Mobile,2023-01-06,Success,Sydney,28,87695.92,0,823
TXN714651,ACC00147,Transfer,27138.82,GBP,POS,2023-04-19,Pending,Mumbai,41,139904.13,0,674
TXN810350,ACC00484,Loan Disbursement,26818.25,INR,Mobile,2023-06-02,Success,Sydney,19,163492.57,0,626
TXN967620,ACC00387,Loan Disbursement,47618.46,JPY,Online,2023-04-22,Pending,Tokyo,48,159295.93,0,775
TXN730730,ACC00073,Loan Disbursement,44646.76,JPY,POS,2024-06-15,Success,Sydney,43,183617.86,0,813
TXN448567,ACC00225,Payment,9641.98,GBP,Mobile,2024-01-20,Success,Mumbai,29,195838.63,0,578
TXN342585,ACC00287,Payment,46458.4,EUR,Online,2024-11-04,Success,New York,57,153251.42,0,499
TXN382104,ACC00001,Payment,19549.83,EUR,ATM,2023-06-24,Success,New York,56,190937.09,0,841
TXN158816,ACC00149,Loan Disbursement,6377.9,EUR,Mobile,2023-01-07,Success,Toronto,68,153807.18,0,436
TXN476412,ACC00224,Loan Disbursement,48604.47,USD,ATM,2023-09-05,Failed,Mumbai,27,140314.25,0,303
TXN487149,ACC00187,Payment,31120.95,GBP,Branch,2024-01-18,Success,Sydney,55,47803.83,0,488
TXN293332,ACC00402,Payment,13703.29,INR,ATM,2023-05-02,Success,Tokyo,49,103080.36,0,522
TXN583616,ACC00309,Transfer,30410.41,JPY,ATM,2024-11-04,Success,Toronto,59,73879.06,0,774
TXN670718,ACC00163,Payment,39398.15,INR,ATM,2024-10-08,Success,Mumbai,68,51470.58,0,753
TXN779993,ACC00479,Loan Disbursement,38641.62,EUR,POS,2024-05-08,Pending,Sydney,53,177350.86,0,440
TXN906856,ACC00144,Withdrawal,40764.1,USD,POS,2023-05-30,Pending,Mumbai,64,51241.85,0,389
TXN767583,ACC00020,Loan Disbursement,39056.47,GBP,POS,2023-12-29,Success,London,43,26396.81,0,601
TXN341945,ACC00476,Transfer,40207.76,INR,Online,2024-09-15,Pending,Toronto,35,43191.67,0,655
TXN903335,ACC00397,Transfer,14812.52,JPY,Mobile,2024-09-22,Pending,Sydney,22,34903.17,0,692
TXN547103,ACC00240,Payment,2538.38,USD,ATM,2023-06-03,Success,Toronto,70,88629.76,0,549
TXN311004,ACC00257,Payment,44229.04,JPY,Mobile,2023-12-10,Success,Mumbai,42,135701.15,0,337
TXN848285,ACC00431,Withdrawal,38745.14,GBP,POS,2023-02-08,Success,New York,50,114903.48,0,696
TXN185677,ACC00460,Withdrawal,33161.2,EUR,POS,2024-01-27,Success,New York,61,84377.32,0,388
TXN325568,ACC00395,Withdrawal,41379.88,INR,Branch,2024-09-04,Success,Toronto,65,154893.87,0,701
TXN395812,ACC00133,Deposit,7778.73,EUR,ATM,2024-05-17,Success,Toronto,48,158837.82,0,669
TXN886205,ACC00022,Withdrawal,11975.33,EUR,Mobile,2023-09-14,Success,London,56,101191.77,0,557
TXN876217,ACC00297,Loan Disbursement,15116.18,INR,ATM,2024-12-01,Success,New York,61,21595.13,0,394
TXN651997,ACC00100,Deposit,46719.13,JPY,Online,2024-05-24,Success,London,37,31890.19,0,320
TXN432170,ACC00014,Deposit,29976.75,EUR,Branch,2024-05-26,Success,Toronto,37,146901.96,0,846
TXN227321,ACC00137,Loan Disbursement,36692.33,INR,Branch,2024-08-01,Success,Mumbai,62,193686.19,0,753
TXN493058,ACC00089,Loan Disbursement,44995.25,USD,Branch,2024-03-13,Success,Tokyo,68,160510.39,0,785
TXN390829,ACC00483,Withdrawal,15476.73,INR,Mobile,2024-06-26,Failed,New York,31,86367.82,0,399
TXN925587,ACC00346,Payment,23584.58,INR,Branch,2024-02-24,Success,Toronto,22,165855.97,0,656
TXN567953,ACC00156,Deposit,37362.33,JPY,Mobile,2023-11-04,Success,Sydney,52,116534.29,0,320
TXN768621,ACC00141,Deposit,36672.37,INR,Branch,2024-07-28,Success,Tokyo,74,114529.45,0,368
TXN734810,ACC00143,Withdrawal,27959.65,USD,Online,2024-11-21,Success,New York,30,132719.22,0,604
TXN363661,ACC00348,Loan Disbursement,3541.24,JPY,ATM,2023-09-12,Success,Tokyo,54,164382.55,0,650
TXN503149,ACC00448,Bill Payment,35703.09,INR,Online,2023-09-25,Success,London,37,135118.07,0,645
TXN305586,ACC00381,Payment,44345.8,GBP,Branch,2023-01-27,Success,London,23,103678.1,0,678
TXN268977,ACC00472,Payment,33523.3,EUR,Online,2024-05-16,Pending,London,18,117121.57,0,539
TXN184860,ACC00220,Bill Payment,32223.81,INR,Mobile,2023-12-14,Success,Tokyo,31,136405.92,0,819
TXN363296,ACC00306,Bill Payment,44940.13,EUR,Mobile,2024-09-26,Success,Mumbai,56,195720.51,0,429
TXN935644,ACC00294,Payment,22306.24,INR,ATM,2023-12-05,Success,Mumbai,46,81904.3,0,695
TXN204225,ACC00150,Loan Disbursement,11971.43,USD,ATM,2024-04-09,Success,London,43,67893.41,0,569
TXN288029,ACC00137,Payment,44217.97,INR,Branch,2023-02-16,Pending,Tokyo,60,108657.04,0,633
TXN934076,ACC00278,Bill Payment,28839.88,EUR,Online,2024-07-06,Success,Sydney,21,54796.2,0,708
TXN152603,ACC00199,Deposit,43792.78,USD,Online,2024-01-19,Success,Mumbai,56,149414.59,0,601
TXN332030,ACC00377,Transfer,49126.78,GBP,Branch,2024-05-18,Success,Toronto,45,178683.12,0,564
TXN551362,ACC00083,Bill Payment,14140.26,JPY,ATM,2024-12-24,Success,Sydney,37,100338.77,0,445
TXN658379,ACC00330,Transfer,29110.53,GBP,POS,2024-12-27,Pending,London,25,153989.08,0,450
TXN533784,ACC00383,Deposit,24528.28,INR,Branch,2023-12-10,Pending,London,57,188209.99,0,466
TXN674215,ACC00409,Transfer,47065.14,EUR,Mobile,2024-04-07,Success,London,21,116592.13,0,636
TXN413330,ACC00463,Bill Payment,19142.97,USD,Mobile,2024-01-14,Success,New York,69,52747.54,0,708
TXN741234,ACC00378,Withdrawal,13238.62,INR,ATM,2024-07-29,Success,New York,36,116375.73,0,774
TXN739402,ACC00008,Loan Disbursement,24139.75,EUR,Branch,2023-03-21,Success,New York,27,127848.7,0,381
TXN715779,ACC00335,Deposit,30053.93,USD,Branch,2023-01-28,Success,London,51,87695.69,0,748
TXN356248,ACC00303,Deposit,46428.6,INR,POS,2024-03-02,Success,London,66,139473.18,0,436
TXN381489,ACC00266,Transfer,10415.02,INR,Online,2023-04-02,Success,Toronto,68,142432.27,0,784
TXN611292,ACC00391,Withdrawal,9991.68,GBP,Mobile,2023-07-20,Success,London,39,86680.51,0,426
TXN685996,ACC00365,Deposit,38157.49,GBP,Online,2024-01-16,Success,London,35,101968.4,0,585
TXN565162,ACC00471,Transfer,24115.23,EUR,Branch,2023-06-09,Success,New York,57,95565.45,0,671
TXN152385,ACC00394,Bill Payment,3344.38,GBP,ATM,2024-05-31,Success,New York,22,127457.63,0,791
TXN744238,ACC00284,Bill Payment,21972.82,JPY,ATM,2024-10-05,Success,Mumbai,18,140065.74,0,808
TXN113571,ACC00321,Payment,2161.67,USD,Branch,2023-11-06,Success,Tokyo,74,91319.86,0,657
TXN793134,ACC00127,Deposit,48166.89,JPY,ATM,2024-02-04,Success,Tokyo,72,101409.57,0,438
TXN656522,ACC00001,Payment,9789.81,JPY,POS,2023-04-14,Pending,Tokyo,33,27886.31,0,656
TXN349402,ACC00254,Bill Payment,2862.28,USD,Mobile,2023-09-08,Success,London,34,69711.38,0,384
TXN935424,ACC00158,Transfer,1767.12,EUR,Branch,2023-01-17,Success,London,43,156686.08,0,673
TXN718464,ACC00189,Loan Disbursement,21004.41,EUR,ATM,2024-07-21,Success,London,63,81652.85,0,455
TXN537420,ACC00206,Bill Payment,39894.9,GBP,Mobile,2024-05-29,Success,Toronto,34,199252.08,0,691
TXN346468,ACC00096,Transfer,2086.18,USD,Mobile,2024-03-10,Success,Mumbai,64,66233.68,0,525
TXN573044,ACC00267,Transfer,48976.99,GBP,POS,2024-04-24,Success,Mumbai,30,81389.09,0,675
TXN312053,ACC00106,Payment,39763.82,INR,Online,2024-05-06,Success,Tokyo,48,178891.79,0,364
TXN772914,ACC00369,Bill Payment,2304.16,EUR,Mobile,2024-03-22,Pending,New York,54,191219.56,0,813
TXN429780,ACC00475,Transfer,8121.61,JPY,Online,2023-10-02,Success,Tokyo,54,184375.54,0,699
TXN145640,ACC00170,Payment,18589.07,INR,ATM,2023-10-04,Pending,Toronto,39,39003.12,0,823
TXN987662,ACC00372,Loan Disbursement,27921.41,EUR,POS,2023-06-17,Success,Tokyo,28,141020.69,0,829
TXN415741,ACC00121,Withdrawal,25148.49,JPY,Mobile,2024-07-18,Failed,New York,21,180681.39,0,473
TXN738665,ACC00196,Loan Disbursement,24544.18,USD,POS,2023-02-05,Success,New York,58,148551.27,0,626
TXN984729,ACC00236,Deposit,29493.88,GBP,Online,2024-11-04,Success,Sydney,42,92883.95,0,347
TXN538315,ACC00450,Bill Payment,1943.6,USD,Online,2024-10-11,Success,Tokyo,29,171445.37,0,414
TXN319942,ACC00285,Loan Disbursement,24082.71,JPY,ATM,2023-04-08,Success,New York,40,185580.68,0,555
TXN995394,ACC00206,Bill Payment,16654.86,EUR,Branch,2023-01-25,Pending,Mumbai,67,92816.58,0,787
TXN958296,ACC00353,Bill Payment,28114.84,USD,POS,2024-05-13,Failed,Tokyo,21,122681.51,0,694
TXN490555,ACC00052,Deposit,18974.54,GBP,Online,2024-05-03,Success,Sydney,37,185388.15,0,366
TXN287760,ACC00478,Payment,38465.03,EUR,Branch,2024-01-22,Success,New York,55,48545.88,0,659
TXN432148,ACC00166,Withdrawal,42734.78,GBP,Branch,2023-10-14,Success,Sydney,44,41463.28,0,841
TXN824020,ACC00093,Withdrawal,19710.16,GBP,Online,2024-12-10,Success,Mumbai,59,124657.64,0,557
TXN986309,ACC00413,Bill Payment,43738.24,USD,ATM,2023-09-30,Success,Sydney,36,142676.33,0,449
TXN403771,ACC00353,Loan Disbursement,9578.06,USD,ATM,2023-01-04,Success,Toronto,23,77738.61,0,635
TXN700350,ACC00208,Payment,45701.37,GBP,ATM,2024-06-17,Success,London,60,26401.5,0,573
TXN806794,ACC00003,Payment,20471.82,GBP,Mobile,2024-10-22,Success,London,55,175337.56,0,608
TXN906599,ACC00218,Transfer,10880.61,USD,Mobile,2024-11-14,Pending,New York,37,68541.7,0,586
TXN561060,ACC00169,Bill Payment,1113.2,GBP,Branch,2023-03-05,Success,Sydney,22,62151.56,0,564
TXN687039,ACC00450,Bill Payment,44598.11,EUR,Online,2024-02-03,Success,Mumbai,25,186045.26,0,375
TXN346865,ACC00117,Payment,13525.95,GBP,Branch,2023-10-28,Failed,Sydney,25,82088.04,0,460
TXN868885,ACC00267,Payment,42189.92,JPY,Mobile,2023-01-02,Success,London,25,84275.62,0,616
TXN206895,ACC00457,Loan Disbursement,7825.29,EUR,Online,2023-09-26,Success,Sydney,54,187028.82,0,783
TXN108943,ACC00268,Withdrawal,23354.43,GBP,Online,2024-03-08,Success,London,65,40237.57,0,627
TXN776291,ACC00362,Deposit,1740.02,EUR,POS,2024-05-09,Success,Tokyo,29,144733.17,0,728
TXN302355,ACC00072,Bill Payment,14268.52,USD,POS,2024-04-02,Success,Tokyo,39,119979.56,0,723
TXN655578,ACC00152,Transfer,26572.9,EUR,Branch,2024-03-06,Pending,Tokyo,39,181401.86,0,833
TXN304432,ACC00074,Payment,24353.98,EUR,Mobile,2024-10-12,Success,Mumbai,34,127438.57,0,449
TXN535679,ACC00200,Transfer,24647.35,GBP,Branch,2023-09-12,Success,New York,49,179997.79,0,813
TXN605671,ACC00382,Transfer,40268.36,INR,Online,2023-11-26,Success,Tokyo,55,194070.25,0,468
TXN643442,ACC00452,Bill Payment,32636.3,INR,POS,2024-09-08,Success,Sydney,59,126030.76,0,462
TXN873112,ACC00264,Payment,30832.52,GBP,POS,2024-03-01,Success,London,51,117090.66,0,829
TXN453374,ACC00353,Withdrawal,37546.43,GBP,Mobile,2023-08-30,Success,New York,47,128963.09,0,803
TXN633507,ACC00081,Withdrawal,39556.28,USD,POS,2023-10-19,Success,Sydney,45,68581.79,0,831
TXN801538,ACC00387,Payment,12561.89,USD,ATM,2024-10-20,Failed,Mumbai,39,20446.47,0,686
TXN207792,ACC00003,Bill Payment,25668.97,EUR,Branch,2024-04-10,Success,Toronto,36,88764.34,0,732
TXN698371,ACC00168,Withdrawal,24733.01,USD,ATM,2023-06-26,Success,Tokyo,19,198027.14,0,403
TXN607627,ACC00043,Transfer,37224.12,GBP,ATM,2023-07-11,Success,Mumbai,31,168167.18,0,442
TXN387296,ACC00210,Withdrawal,31928.72,GBP,POS,2024-03-19,Success,Toronto,50,164526.68,0,809
TXN448854,ACC00289,Transfer,16667.87,JPY,POS,2023-12-02,Success,Toronto,33,52411.53,0,833
TXN740377,ACC00101,Deposit,42420.39,JPY,Branch,2024-05-20,Success,Tokyo,46,81508.41,0,575
TXN765456,ACC00257,Transfer,1158.98,USD,ATM,2024-07-10,Success,London,43,160385.07,0,400
TXN362850,ACC00120,Withdrawal,37547.65,EUR,Branch,2024-10-01,Success,Sydney,39,73139.4,0,815
TXN976177,ACC00129,Deposit,34781.61,USD,Mobile,2024-07-23,Pending,London,46,100153.38,0,823
TXN857102,ACC00302,Withdrawal,12966.19,INR,Online,2024-06-24,Success,London,20,91186.55,0,541
TXN542262,ACC00409,Payment,21543.6,EUR,POS,2023-10-07,Success,New York,60,101793.53,0,661
TXN963030,ACC00192,Deposit,42240.98,USD,Branch,2023-07-18,Success,Mumbai,18,131287.49,0,678
TXN956336,ACC00218,Withdrawal,12085.39,EUR,Online,2024-09-23,Success,Mumbai,30,182933.67,0,767
TXN692826,ACC00266,Withdrawal,33202.61,USD,Mobile,2024-11-02,Success,New York,70,157173.37,0,403
TXN988281,ACC00225,Withdrawal,37918.57,GBP,POS,2024-11-14,Pending,Toronto,18,87563.79,0,531
TXN717930,ACC00354,Transfer,25793.75,INR,Mobile,2024-03-23,Success,Toronto,62,66850.33,0,712
TXN992926,ACC00054,Loan Disbursement,14080.95,GBP,POS,2023-03-13,Success,Mumbai,50,136921.59,0,409
TXN398253,ACC00440,Payment,22057.93,INR,Online,2024-12-22,Success,Tokyo,31,127941.66,0,813
TXN964039,ACC00474,Bill Payment,46959.76,EUR,POS,2024-07-10,Success,Mumbai,56,61640.96,0,740
TXN726174,ACC00115,Payment,15524.08,INR,ATM,2023-06-09,Success,Toronto,23,186025.37,0,572
TXN501338,ACC00045,Withdrawal,8440.95,USD,Branch,2024-01-20,Success,Sydney,48,81420.5,0,637
TXN639752,ACC00450,Deposit,30192.53,GBP,POS,2024-03-19,Success,New York,54,49757.44,0,552
TXN180980,ACC00345,Deposit,8010.45,JPY,Mobile,2023-04-26,Success,Tokyo,25,154995.72,0,816
TXN188273,ACC00471,Bill Payment,16340.89,GBP,ATM,2023-01-29,Success,Sydney,44,177021.79,0,620
TXN145829,ACC00472,Deposit,6076.11,EUR,Branch,2024-01-31,Success,London,31,163756.99,0,481
TXN595700,ACC00003,Payment,41026.43,INR,Mobile,2024-08-18,Success,Sydney,32,73008.16,0,587
TXN169077,ACC00483,Loan Disbursement,39949.88,EUR,ATM,2024-06-13,Success,Toronto,24,105612.8,0,336
TXN921871,ACC00482,Bill Payment,32469.66,JPY,ATM,2024-07-09,Success,London,28,129822.12,0,636
