id,category,value,timestamp
49,Clothing,633.32,2023-01-01 00:48:00
50,Food,420.33,2023-01-01 00:49:00
51,Food,45.91,2023-01-01 00:50:00
52,Food,314.64,2023-01-01 00:51:00
53,Food,120.23,2023-01-01 00:52:00
54,Furniture,497.04,2023-01-01 00:53:00
55,Books,829.13,2023-01-01 00:54:00
56,Electronics,319.47,2023-01-01 00:55:00
57,Food,364.02,2023-01-01 00:56:00
58,Clothing,785.36,2023-01-01 00:57:00
59,Food,461.52,2023-01-01 00:58:00
60,Clothing,671.51,2023-01-01 00:59:00
61,Clothing,196.74,2023-01-01 01:00:00
62,Food,258.43,2023-01-01 01:01:00
63,Furniture,638.63,2023-01-01 01:02:00
64,Clothing,120.83,2023-01-01 01:03:00
65,Clothing,183.52,2023-01-01 01:04:00
66,Food,324.44,2023-01-01 01:05:00
67,Clothing,188.66,2023-01-01 01:06:00
68,Clothing,975.7,2023-01-01 01:07:00
69,Food,263.57,2023-01-01 01:08:00
70,Food,955.05,2023-01-01 01:09:00
71,Electronics,847.91,2023-01-01 01:10:00
72,Furniture,339.29,2023-01-01 01:11:00
73,Furniture,553.31,2023-01-01 01:12:00
74,Clothing,344.59,2023-01-01 01:13:00
75,Furniture,706.07,2023-01-01 01:14:00
76,Clothing,368.43,2023-01-01 01:15:00
77,Electronics,471.66,2023-01-01 01:16:00
78,Food,721.66,2023-01-01 01:17:00
79,Food,422.28,2023-01-01 01:18:00
80,Food,692.46,2023-01-01 01:19:00
81,Furniture,376.52,2023-01-01 01:20:00
82,Electronics,405.37,2023-01-01 01:21:00
83,Furniture,328.15,2023-01-01 01:22:00
84,Furniture,989.54,2023-01-01 01:23:00
85,Electronics,509.85,2023-01-01 01:24:00
86,Electronics,229.78,2023-01-01 01:25:00
87,Electronics,571.47,2023-01-01 01:26:00
88,Electronics,474.33,2023-01-01 01:27:00
89,Food,781.1,2023-01-01 01:28:00
90,Books,936.41,2023-01-01 01:29:00
91,Books,119.63,2023-01-01 01:30:00
92,Electronics,981.39,2023-01-01 01:31:00
93,Books,173.26,2023-01-01 01:32:00
94,Books,280.57,2023-01-01 01:33:00
95,Electronics,777.61,2023-01-01 01:34:00
96,Books,163.9,2023-01-01 01:35:00
97,Furniture,819.32,2023-01-01 01:36:00
98,Clothing,676.75,2023-01-01 01:37:00
99,Clothing,807.24,2023-01-01 01:38:00
100,Electronics,567.8,2023-01-01 01:39:00
101,Food,984.3,2023-01-01 01:40:00
102,Electronics,597.01,2023-01-01 01:41:00
103,Food,401.59,2023-01-01 01:42:00
104,Clothing,966.78,2023-01-01 01:43:00
105,Electronics,82.9,2023-01-01 01:44:00
106,Furniture,519.5,2023-01-01 01:45:00
107,Books,635.76,2023-01-01 01:46:00
108,Food,351.96,2023-01-01 01:47:00
109,Books,101.09,2023-01-01 01:48:00
110,Books,415.94,2023-01-01 01:49:00
111,Electronics,812.47,2023-01-01 01:50:00
112,Books,575.44,2023-01-01 01:51:00
113,Furniture,760.3,2023-01-01 01:52:00
114,Books,720.5,2023-01-01 01:53:00
115,Electronics,293.69,2023-01-01 01:54:00
116,Furniture,260.99,2023-01-01 01:55:00
117,Clothing,793.08,2023-01-01 01:56:00
118,Books,178.46,2023-01-01 01:57:00
119,Electronics,569.67,2023-01-01 01:58:00
120,Clothing,956.86,2023-01-01 01:59:00
121,Clothing,530.22,2023-01-01 02:00:00
122,Food,808.63,2023-01-01 02:01:00
123,Furniture,263.58,2023-01-01 02:02:00
124,Books,67.44,2023-01-01 02:03:00
125,Electronics,354.77,2023-01-01 02:04:00
126,Food,579.17,2023-01-01 02:05:00
127,Furniture,643.53,2023-01-01 02:06:00
128,Food,540.81,2023-01-01 02:07:00
129,Furniture,438.59,2023-01-01 02:08:00
130,Furniture,985.54,2023-01-01 02:09:00
131,Books,691.62,2023-01-01 02:10:00
132,Furniture,954.27,2023-01-01 02:11:00
133,Food,184.8,2023-01-01 02:12:00
134,Furniture,999.55,2023-01-01 02:13:00
135,Books,705.97,2023-01-01 02:14:00
136,Books,972.23,2023-01-01 02:15:00
137,Food,609.93,2023-01-01 02:16:00
138,Clothing,162.47,2023-01-01 02:17:00
139,Clothing,354.6,2023-01-01 02:18:00
140,Furniture,62.47,2023-01-01 02:19:00
141,Electronics,159.94,2023-01-01 02:20:00
142,Furniture,998.42,2023-01-01 02:21:00
143,Food,916.68,2023-01-01 02:22:00
144,Food,902.79,2023-01-01 02:23:00
145,Food,12.01,2023-01-01 02:24:00
146,Food,456.04,2023-01-01 02:25:00
147,Food,784.19,2023-01-01 02:26:00
148,Books,234.35,2023-01-01 02:27:00
149,Clothing,425.88,2023-01-01 02:28:00
150,Food,212.86,2023-01-01 02:29:00
151,Electronics,695.75,2023-01-01 02:30:00
152,Electronics,706.99,2023-01-01 02:31:00
153,Electronics,289.89,2023-01-01 02:32:00
154,Electronics,482.52,2023-01-01 02:33:00
155,Books,457.19,2023-01-01 02:34:00
156,Electronics,780.2,2023-01-01 02:35:00
157,Food,678.42,2023-01-01 02:36:00
158,Furniture,77.54,2023-01-01 02:37:00
159,Electronics,159.55,2023-01-01 02:38:00
160,Books,841.57,2023-01-01 02:39:00
161,Books,965.9,2023-01-01 02:40:00
162,Electronics,640.02,2023-01-01 02:41:00
163,Furniture,371.12,2023-01-01 02:42:00
164,Electronics,228.87,2023-01-01 02:43:00
165,Books,746.12,2023-01-01 02:44:00
166,Clothing,642.01,2023-01-01 02:45:00
167,Food,909.81,2023-01-01 02:46:00
168,Books,904.1,2023-01-01 02:47:00
169,Electronics,314.11,2023-01-01 02:48:00
170,Food,804.89,2023-01-01 02:49:00
171,Electronics,261.06,2023-01-01 02:50:00
172,Electronics,784.17,2023-01-01 02:51:00
173,Clothing,176.43,2023-01-01 02:52:00
174,Food,354.23,2023-01-01 02:53:00
175,Food,95.08,2023-01-01 02:54:00
176,Clothing,302.82,2023-01-01 02:55:00
177,Books,324.97,2023-01-01 02:56:00
178,Electronics,671.99,2023-01-01 02:57:00
179,Furniture,718.1,2023-01-01 02:58:00
180,Electronics,592.16,2023-01-01 02:59:00
181,Electronics,772.38,2023-01-01 03:00:00
182,Books,457.06,2023-01-01 03:01:00
183,Electronics,631.63,2023-01-01 03:02:00
184,Clothing,365.67,2023-01-01 03:03:00
185,Clothing,526.11,2023-01-01 03:04:00
186,Food,149.65,2023-01-01 03:05:00
187,Furniture,614.88,2023-01-01 03:06:00
188,Electronics,212.89,2023-01-01 03:07:00
189,Electronics,466.26,2023-01-01 03:08:00
190,Books,668.8,2023-01-01 03:09:00
191,Clothing,433.56,2023-01-01 03:10:00
192,Furniture,230.92,2023-01-01 03:11:00
193,Food,669.53,2023-01-01 03:12:00
194,Clothing,854.01,2023-01-01 03:13:00
195,Food,505.4,2023-01-01 03:14:00
196,Books,562.07,2023-01-01 03:15:00
197,Books,396.96,2023-01-01 03:16:00
198,Electronics,587.37,2023-01-01 03:17:00
199,Furniture,500.35,2023-01-01 03:18:00
200,Food,749.11,2023-01-01 03:19:00
201,Clothing,247.86,2023-01-01 03:20:00
202,Books,491.36,2023-01-01 03:21:00
203,Electronics,323.07,2023-01-01 03:22:00
204,Electronics,103.48,2023-01-01 03:23:00
205,Food,392.64,2023-01-01 03:24:00
206,Books,953.63,2023-01-01 03:25:00
207,Furniture,465.88,2023-01-01 03:26:00
208,Books,550.17,2023-01-01 03:27:00
209,Food,744.81,2023-01-01 03:28:00
210,Food,984.95,2023-01-01 03:29:00
211,Books,417.66,2023-01-01 03:30:00
212,Food,522.5,2023-01-01 03:31:00
213,Books,968.83,2023-01-01 03:32:00
214,Clothing,434.5,2023-01-01 03:33:00
215,Books,792.43,2023-01-01 03:34:00
216,Books,449.4,2023-01-01 03:35:00
217,Food,235.36,2023-01-01 03:36:00
218,Food,936.97,2023-01-01 03:37:00
219,Electronics,714.93,2023-01-01 03:38:00
220,Electronics,864.9,2023-01-01 03:39:00
221,Clothing,124.93,2023-01-01 03:40:00
222,Electronics,707.86,2023-01-01 03:41:00
223,Books,644.0,2023-01-01 03:42:00
224,Food,489.13,2023-01-01 03:43:00
225,Electronics,150.68,2023-01-01 03:44:00
226,Electronics,420.63,2023-01-01 03:45:00
227,Clothing,621.51,2023-01-01 03:46:00
228,Clothing,680.7,2023-01-01 03:47:00
229,Books,125.81,2023-01-01 03:48:00
230,Food,449.39,2023-01-01 03:49:00
231,Clothing,431.26,2023-01-01 03:50:00
232,Electronics,788.38,2023-01-01 03:51:00
233,Food,50.8,2023-01-01 03:52:00
234,Food,787.63,2023-01-01 03:53:00
235,Electronics,785.69,2023-01-01 03:54:00
236,Clothing,700.12,2023-01-01 03:55:00
237,Electronics,900.76,2023-01-01 03:56:00
238,Food,470.52,2023-01-01 03:57:00
239,Furniture,105.13,2023-01-01 03:58:00
240,Furniture,338.19,2023-01-01 03:59:00
241,Books,615.14,2023-01-01 04:00:00
242,Electronics,329.67,2023-01-01 04:01:00
243,Electronics,636.62,2023-01-01 04:02:00
244,Books,53.19,2023-01-01 04:03:00
245,Books,79.64,2023-01-01 04:04:00
246,Books,20.41,2023-01-01 04:05:00
247,Food,976.2,2023-01-01 04:06:00
248,Electronics,269.03,2023-01-01 04:07:00
249,Food,797.6,2023-01-01 04:08:00
250,Books,887.98,2023-01-01 04:09:00
251,Electronics,166.03,2023-01-01 04:10:00
252,Food,207.13,2023-01-01 04:11:00
253,Food,388.54,2023-01-01 04:12:00
254,Books,509.02,2023-01-01 04:13:00
255,Electronics,539.39,2023-01-01 04:14:00
256,Books,391.83,2023-01-01 04:15:00
257,Electronics,590.37,2023-01-01 04:16:00
258,Furniture,738.72,2023-01-01 04:17:00
259,Clothing,703.12,2023-01-01 04:18:00
260,Clothing,39.91,2023-01-01 04:19:00
261,Clothing,597.36,2023-01-01 04:20:00
262,Books,715.5,2023-01-01 04:21:00
263,Furniture,208.67,2023-01-01 04:22:00
264,Electronics,607.58,2023-01-01 04:23:00
265,Food,119.72,2023-01-01 04:24:00
266,Electronics,668.3,2023-01-01 04:25:00
267,Food,624.2,2023-01-01 04:26:00
268,Electronics,248.55,2023-01-01 04:27:00
269,Furniture,876.57,2023-01-01 04:28:00
270,Food,808.52,2023-01-01 04:29:00
271,Books,741.62,2023-01-01 04:30:00
272,Electronics,464.96,2023-01-01 04:31:00
273,Electronics,234.62,2023-01-01 04:32:00
274,Food,784.36,2023-01-01 04:33:00
275,Books,222.4,2023-01-01 04:34:00
276,Books,492.07,2023-01-01 04:35:00
277,Furniture,384.91,2023-01-01 04:36:00
278,Books,209.98,2023-01-01 04:37:00
279,Books,618.49,2023-01-01 04:38:00
280,Books,982.25,2023-01-01 04:39:00
281,Clothing,481.51,2023-01-01 04:40:00
282,Furniture,504.54,2023-01-01 04:41:00
283,Electronics,379.01,2023-01-01 04:42:00
284,Food,236.0,2023-01-01 04:43:00
285,Electronics,289.75,2023-01-01 04:44:00
286,Furniture,877.06,2023-01-01 04:45:00
287,Food,948.64,2023-01-01 04:46:00
288,Furniture,827.97,2023-01-01 04:47:00
289,Books,36.18,2023-01-01 04:48:00
290,Food,611.72,2023-01-01 04:49:00
291,Books,553.78,2023-01-01 04:50:00
292,Electronics,777.02,2023-01-01 04:51:00
293,Electronics,782.75,2023-01-01 04:52:00
294,Food,443.73,2023-01-01 04:53:00
295,Food,294.66,2023-01-01 04:54:00
296,Furniture,106.33,2023-01-01 04:55:00
297,Furniture,615.21,2023-01-01 04:56:00
298,Books,280.87,2023-01-01 04:57:00
299,Food,964.99,2023-01-01 04:58:00
300,Electronics,56.28,2023-01-01 04:59:00
301,Furniture,964.65,2023-01-01 05:00:00
302,Furniture,500.79,2023-01-01 05:01:00
303,Electronics,610.52,2023-01-01 05:02:00
304,Furniture,587.7,2023-01-01 05:03:00
305,Books,755.18,2023-01-01 05:04:00
306,Food,99.99,2023-01-01 05:05:00
307,Electronics,888.97,2023-01-01 05:06:00
308,Food,793.14,2023-01-01 05:07:00
309,Furniture,851.66,2023-01-01 05:08:00
310,Furniture,490.53,2023-01-01 05:09:00
311,Electronics,700.83,2023-01-01 05:10:00
312,Books,462.69,2023-01-01 05:11:00
313,Clothing,139.05,2023-01-01 05:12:00
314,Electronics,308.99,2023-01-01 05:13:00
315,Clothing,285.63,2023-01-01 05:14:00
316,Clothing,174.38,2023-01-01 05:15:00
317,Books,248.9,2023-01-01 05:16:00
318,Clothing,503.53,2023-01-01 05:17:00
319,Clothing,427.99,2023-01-01 05:18:00
320,Books,335.87,2023-01-01 05:19:00
321,Clothing,907.65,2023-01-01 05:20:00
322,Clothing,780.92,2023-01-01 05:21:00
323,Clothing,12.49,2023-01-01 05:22:00
324,Electronics,574.66,2023-01-01 05:23:00
325,Electronics,702.88,2023-01-01 05:24:00
326,Electronics,62.87,2023-01-01 05:25:00
327,Books,122.86,2023-01-01 05:26:00
328,Furniture,285.78,2023-01-01 05:27:00
329,Clothing,617.7,2023-01-01 05:28:00
330,Clothing,923.89,2023-01-01 05:29:00
331,Books,490.99,2023-01-01 05:30:00
332,Clothing,982.48,2023-01-01 05:31:00
333,Electronics,937.37,2023-01-01 05:32:00
334,Furniture,640.99,2023-01-01 05:33:00
335,Food,463.4,2023-01-01 05:34:00
336,Clothing,684.77,2023-01-01 05:35:00
337,Electronics,793.29,2023-01-01 05:36:00
338,Food,943.64,2023-01-01 05:37:00
339,Furniture,755.98,2023-01-01 05:38:00
340,Food,397.64,2023-01-01 05:39:00
341,Electronics,498.37,2023-01-01 05:40:00
342,Food,56.54,2023-01-01 05:41:00
343,Books,38.46,2023-01-01 05:42:00
344,Food,288.7,2023-01-01 05:43:00
345,Clothing,808.04,2023-01-01 05:44:00
346,Clothing,326.05,2023-01-01 05:45:00
347,Books,125.75,2023-01-01 05:46:00
348,Electronics,362.57,2023-01-01 05:47:00
349,Clothing,312.52,2023-01-01 05:48:00
350,Furniture,989.42,2023-01-01 05:49:00
351,Clothing,971.64,2023-01-01 05:50:00
352,Clothing,739.56,2023-01-01 05:51:00
353,Electronics,830.64,2023-01-01 05:52:00
354,Food,261.32,2023-01-01 05:53:00
355,Clothing,542.3,2023-01-01 05:54:00
356,Books,998.51,2023-01-01 05:55:00
357,Food,329.98,2023-01-01 05:56:00
358,Furniture,986.33,2023-01-01 05:57:00
359,Electronics,196.38,2023-01-01 05:58:00
360,Furniture,623.94,2023-01-01 05:59:00
361,Food,784.12,2023-01-01 06:00:00
362,Food,597.25,2023-01-01 06:01:00
363,Food,315.82,2023-01-01 06:02:00
364,Furniture,815.84,2023-01-01 06:03:00
365,Food,209.73,2023-01-01 06:04:00
366,Furniture,435.98,2023-01-01 06:05:00
367,Food,286.94,2023-01-01 06:06:00
368,Books,500.44,2023-01-01 06:07:00
369,Food,393.54,2023-01-01 06:08:00
370,Furniture,187.31,2023-01-01 06:09:00
371,Clothing,744.47,2023-01-01 06:10:00
372,Food,184.85,2023-01-01 06:11:00
373,Clothing,550.19,2023-01-01 06:12:00
374,Books,806.53,2023-01-01 06:13:00
375,Electronics,488.44,2023-01-01 06:14:00
376,Books,887.99,2023-01-01 06:15:00
377,Food,434.52,2023-01-01 06:16:00
378,Clothing,971.0,2023-01-01 06:17:00
379,Clothing,34.65,2023-01-01 06:18:00
380,Furniture,793.16,2023-01-01 06:19:00
381,Clothing,710.78,2023-01-01 06:20:00
382,Furniture,614.96,2023-01-01 06:21:00
383,Electronics,303.15,2023-01-01 06:22:00
384,Food,614.61,2023-01-01 06:23:00
385,Furniture,598.63,2023-01-01 06:24:00
386,Electronics,157.91,2023-01-01 06:25:00
387,Clothing,881.05,2023-01-01 06:26:00
388,Clothing,539.27,2023-01-01 06:27:00
389,Electronics,98.16,2023-01-01 06:28:00
390,Clothing,397.65,2023-01-01 06:29:00
391,Electronics,224.35,2023-01-01 06:30:00
392,Furniture,176.95,2023-01-01 06:31:00
393,Furniture,946.9,2023-01-01 06:32:00
394,Electronics,678.08,2023-01-01 06:33:00
395,Furniture,308.57,2023-01-01 06:34:00
396,Furniture,681.57,2023-01-01 06:35:00
397,Furniture,805.01,2023-01-01 06:36:00
398,Books,323.76,2023-01-01 06:37:00
399,Food,984.97,2023-01-01 06:38:00
400,Clothing,882.64,2023-01-01 06:39:00
401,Books,799.16,2023-01-01 06:40:00
402,Furniture,718.1,2023-01-01 06:41:00
403,Electronics,48.35,2023-01-01 06:42:00
404,Furniture,32.18,2023-01-01 06:43:00
405,Food,173.17,2023-01-01 06:44:00
406,Furniture,917.76,2023-01-01 06:45:00
407,Electronics,225.16,2023-01-01 06:46:00
408,Food,704.12,2023-01-01 06:47:00
409,Furniture,980.1,2023-01-01 06:48:00
410,Food,937.9,2023-01-01 06:49:00
411,Clothing,406.29,2023-01-01 06:50:00
412,Clothing,684.29,2023-01-01 06:51:00
413,Furniture,761.7,2023-01-01 06:52:00
414,Food,554.03,2023-01-01 06:53:00
415,Electronics,527.8,2023-01-01 06:54:00
416,Furniture,231.27,2023-01-01 06:55:00
417,Clothing,679.15,2023-01-01 06:56:00
418,Clothing,300.87,2023-01-01 06:57:00
419,Furniture,315.52,2023-01-01 06:58:00
420,Food,273.05,2023-01-01 06:59:00
421,Clothing,75.17,2023-01-01 07:00:00
422,Food,845.22,2023-01-01 07:01:00
423,Clothing,864.43,2023-01-01 07:02:00
424,Clothing,726.52,2023-01-01 07:03:00
425,Books,928.46,2023-01-01 07:04:00
426,Clothing,635.02,2023-01-01 07:05:00
427,Electronics,643.23,2023-01-01 07:06:00
428,Furniture,888.8,2023-01-01 07:07:00
429,Furniture,216.46,2023-01-01 07:08:00
430,Food,441.11,2023-01-01 07:09:00
431,Clothing,707.1,2023-01-01 07:10:00
432,Electronics,275.97,2023-01-01 07:11:00
433,Food,236.34,2023-01-01 07:12:00
434,Books,899.29,2023-01-01 07:13:00
435,Food,996.05,2023-01-01 07:14:00
436,Food,392.54,2023-01-01 07:15:00
437,Clothing,244.24,2023-01-01 07:16:00
438,Books,410.41,2023-01-01 07:17:00
439,Food,310.81,2023-01-01 07:18:00
440,Electronics,823.54,2023-01-01 07:19:00
441,Electronics,901.95,2023-01-01 07:20:00
442,Furniture,397.01,2023-01-01 07:21:00
443,Books,603.58,2023-01-01 07:22:00
444,Books,87.98,2023-01-01 07:23:00
445,Furniture,467.57,2023-01-01 07:24:00
446,Food,16.77,2023-01-01 07:25:00
447,Books,674.38,2023-01-01 07:26:00
448,Electronics,184.26,2023-01-01 07:27:00
449,Electronics,879.26,2023-01-01 07:28:00
450,Clothing,633.73,2023-01-01 07:29:00
451,Books,928.85,2023-01-01 07:30:00
452,Food,938.79,2023-01-01 07:31:00
453,Furniture,177.47,2023-01-01 07:32:00
454,Furniture,518.03,2023-01-01 07:33:00
455,Food,203.51,2023-01-01 07:34:00
456,Clothing,458.61,2023-01-01 07:35:00
457,Furniture,455.59,2023-01-01 07:36:00
458,Books,738.39,2023-01-01 07:37:00
459,Clothing,976.36,2023-01-01 07:38:00
460,Books,632.68,2023-01-01 07:39:00
461,Electronics,817.87,2023-01-01 07:40:00
462,Clothing,409.62,2023-01-01 07:41:00
463,Furniture,82.09,2023-01-01 07:42:00
464,Clothing,519.53,2023-01-01 07:43:00
465,Clothing,904.89,2023-01-01 07:44:00
466,Clothing,247.85,2023-01-01 07:45:00
467,Clothing,270.23,2023-01-01 07:46:00
468,Books,113.74,2023-01-01 07:47:00
469,Electronics,996.85,2023-01-01 07:48:00
470,Food,420.59,2023-01-01 07:49:00
471,Clothing,305.89,2023-01-01 07:50:00
472,Furniture,927.5,2023-01-01 07:51:00
473,Clothing,813.13,2023-01-01 07:52:00
474,Furniture,878.2,2023-01-01 07:53:00
475,Books,950.91,2023-01-01 07:54:00
476,Furniture,858.22,2023-01-01 07:55:00
477,Food,985.8,2023-01-01 07:56:00
478,Electronics,642.95,2023-01-01 07:57:00
479,Furniture,248.48,2023-01-01 07:58:00
480,Furniture,175.46,2023-01-01 07:59:00
481,Electronics,606.24,2023-01-01 08:00:00
482,Food,365.29,2023-01-01 08:01:00
483,Clothing,139.93,2023-01-01 08:02:00
484,Furniture,799.29,2023-01-01 08:03:00
485,Electronics,356.29,2023-01-01 08:04:00
486,Books,450.72,2023-01-01 08:05:00
487,Electronics,615.67,2023-01-01 08:06:00
488,Books,407.97,2023-01-01 08:07:00
489,Food,867.61,2023-01-01 08:08:00
490,Clothing,982.6,2023-01-01 08:09:00
491,Electronics,391.42,2023-01-01 08:10:00
492,Furniture,186.59,2023-01-01 08:11:00
493,Food,285.34,2023-01-01 08:12:00
494,Electronics,677.22,2023-01-01 08:13:00
495,Furniture,91.45,2023-01-01 08:14:00
496,Electronics,677.87,2023-01-01 08:15:00
497,Books,532.38,2023-01-01 08:16:00
498,Electronics,54.9,2023-01-01 08:17:00
499,Electronics,416.61,2023-01-01 08:18:00
500,Electronics,238.27,2023-01-01 08:19:00
501,Food,138.89,2023-01-01 08:20:00
502,Electronics,941.49,2023-01-01 08:21:00
503,Furniture,298.12,2023-01-01 08:22:00
504,Books,499.12,2023-01-01 08:23:00
505,Books,615.92,2023-01-01 08:24:00
506,Electronics,632.67,2023-01-01 08:25:00
507,Food,387.59,2023-01-01 08:26:00
508,Food,276.82,2023-01-01 08:27:00
509,Furniture,569.24,2023-01-01 08:28:00
510,Electronics,796.72,2023-01-01 08:29:00
511,Books,896.04,2023-01-01 08:30:00
512,Food,595.57,2023-01-01 08:31:00
513,Electronics,533.51,2023-01-01 08:32:00
514,Food,966.25,2023-01-01 08:33:00
515,Food,211.04,2023-01-01 08:34:00
516,Books,26.65,2023-01-01 08:35:00
517,Clothing,497.6,2023-01-01 08:36:00
518,Furniture,67.35,2023-01-01 08:37:00
519,Furniture,68.6,2023-01-01 08:38:00
520,Books,42.6,2023-01-01 08:39:00
521,Food,622.13,2023-01-01 08:40:00
522,Electronics,629.53,2023-01-01 08:41:00
523,Food,263.12,2023-01-01 08:42:00
524,Books,455.31,2023-01-01 08:43:00
525,Furniture,424.66,2023-01-01 08:44:00
526,Food,498.02,2023-01-01 08:45:00
527,Furniture,207.52,2023-01-01 08:46:00
528,Electronics,814.61,2023-01-01 08:47:00
529,Furniture,295.3,2023-01-01 08:48:00
530,Furniture,333.45,2023-01-01 08:49:00
531,Clothing,654.17,2023-01-01 08:50:00
532,Clothing,981.72,2023-01-01 08:51:00
533,Clothing,212.36,2023-01-01 08:52:00
534,Furniture,364.31,2023-01-01 08:53:00
535,Books,380.53,2023-01-01 08:54:00
536,Furniture,533.91,2023-01-01 08:55:00
537,Books,836.73,2023-01-01 08:56:00
538,Books,728.32,2023-01-01 08:57:00
539,Clothing,213.36,2023-01-01 08:58:00
540,Food,715.61,2023-01-01 08:59:00
541,Electronics,134.8,2023-01-01 09:00:00
542,Clothing,199.87,2023-01-01 09:01:00
543,Clothing,399.83,2023-01-01 09:02:00
544,Food,351.35,2023-01-01 09:03:00
545,Electronics,871.07,2023-01-01 09:04:00
546,Furniture,997.04,2023-01-01 09:05:00
547,Furniture,211.07,2023-01-01 09:06:00
548,Clothing,660.85,2023-01-01 09:07:00
549,Electronics,586.62,2023-01-01 09:08:00
550,Clothing,771.62,2023-01-01 09:09:00
551,Books,702.68,2023-01-01 09:10:00
552,Clothing,282.74,2023-01-01 09:11:00
553,Clothing,842.37,2023-01-01 09:12:00
554,Furniture,484.06,2023-01-01 09:13:00
555,Furniture,933.61,2023-01-01 09:14:00
556,Furniture,564.71,2023-01-01 09:15:00
557,Books,297.91,2023-01-01 09:16:00
558,Furniture,897.22,2023-01-01 09:17:00
559,Electronics,827.99,2023-01-01 09:18:00
560,Food,947.47,2023-01-01 09:19:00
561,Electronics,894.6,2023-01-01 09:20:00
562,Electronics,252.75,2023-01-01 09:21:00
563,Furniture,817.16,2023-01-01 09:22:00
564,Food,598.24,2023-01-01 09:23:00
565,Food,409.28,2023-01-01 09:24:00
566,Food,17.55,2023-01-01 09:25:00
567,Books,700.64,2023-01-01 09:26:00
568,Furniture,855.35,2023-01-01 09:27:00
569,Food,608.13,2023-01-01 09:28:00
570,Books,317.61,2023-01-01 09:29:00
571,Clothing,67.06,2023-01-01 09:30:00
572,Clothing,662.39,2023-01-01 09:31:00
573,Books,409.69,2023-01-01 09:32:00
574,Books,501.89,2023-01-01 09:33:00
575,Furniture,568.65,2023-01-01 09:34:00
576,Furniture,770.88,2023-01-01 09:35:00
577,Clothing,541.42,2023-01-01 09:36:00
578,Food,530.74,2023-01-01 09:37:00
579,Clothing,486.45,2023-01-01 09:38:00
580,Food,433.38,2023-01-01 09:39:00
581,Food,626.78,2023-01-01 09:40:00
582,Furniture,34.16,2023-01-01 09:41:00
583,Electronics,725.98,2023-01-01 09:42:00
584,Electronics,321.52,2023-01-01 09:43:00
585,Books,378.91,2023-01-01 09:44:00
586,Furniture,618.08,2023-01-01 09:45:00
587,Food,254.9,2023-01-01 09:46:00
588,Electronics,662.19,2023-01-01 09:47:00
589,Food,136.41,2023-01-01 09:48:00
590,Electronics,652.98,2023-01-01 09:49:00
591,Electronics,720.07,2023-01-01 09:50:00
592,Electronics,702.55,2023-01-01 09:51:00
593,Furniture,776.44,2023-01-01 09:52:00
594,Clothing,521.71,2023-01-01 09:53:00
595,Food,866.12,2023-01-01 09:54:00
596,Furniture,241.22,2023-01-01 09:55:00
597,Furniture,389.51,2023-01-01 09:56:00
598,Furniture,956.94,2023-01-01 09:57:00
599,Furniture,791.05,2023-01-01 09:58:00
600,Furniture,745.2,2023-01-01 09:59:00
601,Books,714.1,2023-01-01 10:00:00
602,Food,119.39,2023-01-01 10:01:00
