loan_id,customer_id,loan_amount,interest_rate,loan_term,loan_status
LOAN_52,CUST_2544,246400.77,2.82,12,Rejected
LOAN_53,CUST_6099,322444.74,6.14,36,Rejected
LOAN_54,CUST_6880,327631.35,6.03,36,Rejected
LOAN_55,CUST_6364,22083.21,5.27,12,Rejected
LOAN_56,CUST_2998,139455.52,8.37,48,Rejected
LOAN_57,CUST_9059,133928.16,5.3,36,Pending
LOAN_58,CUST_9973,24241.57,6.74,48,Pending
LOAN_59,CUST_9964,199244.2,6.27,36,Approved
LOAN_60,CUST_2839,69041.8,8.83,36,Pending
LOAN_61,CUST_6355,174873.2,3.0,36,Rejected
LOAN_62,CUST_9315,350578.29,7.24,24,Rejected
LOAN_63,CUST_3927,227347.05,9.15,36,Approved
LOAN_64,CUST_2319,144404.87,8.34,48,Pending
LOAN_65,CUST_4657,60591.27,2.72,12,Pending
LOAN_66,CUST_7354,19154.61,5.31,24,Pending
LOAN_67,CUST_274,462440.09,8.41,24,Pending
LOAN_68,CUST_5084,168297.18,3.06,24,Pending
LOAN_69,CUST_7054,216747.51,4.94,60,Rejected
LOAN_70,CUST_6116,197160.07,8.9,36,Approved
LOAN_71,CUST_2134,393934.89,4.27,60,Approved
LOAN_72,CUST_1588,370777.24,9.34,60,Rejected
LOAN_73,CUST_5721,56075.01,7.31,48,Pending
LOAN_74,CUST_5822,138093.17,8.72,12,Rejected
LOAN_75,CUST_596,28392.38,7.04,12,Approved
LOAN_76,CUST_2090,396262.36,4.39,24,Pending
LOAN_77,CUST_1689,323969.6,7.13,24,Rejected
LOAN_78,CUST_7124,135745.54,7.7,24,Rejected
LOAN_79,CUST_5048,271254.96,6.4,60,Approved
LOAN_80,CUST_6341,473196.96,4.78,12,Rejected
LOAN_81,CUST_1961,23545.55,5.19,48,Rejected
LOAN_82,CUST_7074,409685.15,8.66,48,Rejected
LOAN_83,CUST_6426,382076.94,5.32,48,Pending
LOAN_84,CUST_3332,98835.83,3.9,24,Pending
LOAN_85,CUST_8427,27459.99,7.12,36,Rejected
LOAN_86,CUST_6110,48771.99,3.17,60,Rejected
LOAN_87,CUST_1051,337462.86,6.14,36,Pending
LOAN_88,CUST_4826,184099.69,4.36,24,Pending
LOAN_89,CUST_1794,226652.35,7.13,60,Pending
LOAN_90,CUST_744,89015.22,10.0,48,Rejected
LOAN_91,CUST_5243,88555.38,2.81,60,Rejected
LOAN_92,CUST_9376,160276.1,8.43,12,Approved
LOAN_93,CUST_1608,308969.27,5.63,60,Rejected
LOAN_94,CUST_5950,295198.89,4.52,48,Pending
LOAN_95,CUST_7603,116213.9,8.8,12,Approved
LOAN_96,CUST_9739,445012.15,10.06,36,Rejected
LOAN_97,CUST_4553,365195.72,5.66,48,Rejected
LOAN_98,CUST_7744,67401.92,7.31,36,Rejected
LOAN_99,CUST_9039,206372.72,6.59,48,Pending
LOAN_100,CUST_3127,383571.67,3.0,24,Rejected
LOAN_101,CUST_9820,312962.85,4.49,48,Approved
LOAN_102,CUST_222,307080.4,2.54,36,Pending
LOAN_103,CUST_7856,322808.57,8.26,24,Approved
LOAN_104,CUST_2432,108689.32,6.17,60,Pending
LOAN_105,CUST_6232,429248.0,9.3,12,Approved
LOAN_106,CUST_1896,441170.4,4.95,24,Pending
LOAN_107,CUST_8077,92565.39,9.97,36,Pending
LOAN_108,CUST_3402,435678.74,8.18,12,Pending
LOAN_109,CUST_5992,109152.4,10.3,24,Rejected
LOAN_110,CUST_4798,455301.54,7.82,12,Rejected
LOAN_111,CUST_4090,135082.73,3.52,60,Pending
LOAN_112,CUST_6176,303538.61,6.84,36,Rejected
LOAN_113,CUST_9650,499374.71,9.91,60,Pending
LOAN_114,CUST_7184,104738.78,8.74,12,Rejected
LOAN_115,CUST_7439,73854.37,6.11,60,Pending
LOAN_116,CUST_5186,209327.18,7.24,48,Rejected
LOAN_117,CUST_7446,328903.11,7.15,60,Rejected
LOAN_118,CUST_6553,196865.97,9.24,24,Rejected
LOAN_119,CUST_4777,13807.06,8.49,24,Pending
LOAN_120,CUST_2970,82346.06,4.0,48,Approved
LOAN_121,CUST_2898,105558.53,7.86,36,Approved
LOAN_122,CUST_8019,55411.0,7.55,60,Approved
LOAN_123,CUST_6105,307670.05,5.25,60,Pending
LOAN_124,CUST_5452,103653.48,4.79,24,Pending
LOAN_125,CUST_9325,30897.77,8.39,36,Approved
LOAN_126,CUST_9734,325536.8,2.95,24,Pending
LOAN_127,CUST_7787,394271.49,9.33,60,Approved
LOAN_128,CUST_5104,315091.53,5.31,60,Approved
LOAN_129,CUST_5714,73587.9,6.89,48,Pending
LOAN_130,CUST_5057,55994.28,2.92,36,Approved
LOAN_131,CUST_248,224202.82,3.51,36,Pending
LOAN_132,CUST_1623,186686.08,7.39,48,Pending
LOAN_133,CUST_1967,456562.91,2.63,60,Pending
LOAN_134,CUST_510,209571.29,7.29,36,Approved
LOAN_135,CUST_7308,137585.18,4.54,60,Rejected
LOAN_136,CUST_9460,31687.81,8.73,12,Pending
LOAN_137,CUST_9542,237081.72,6.91,36,Rejected
LOAN_138,CUST_5095,250461.74,6.29,24,Rejected
LOAN_139,CUST_2475,189742.68,8.79,12,Pending
LOAN_140,CUST_5648,270630.66,4.03,24,Pending
LOAN_141,CUST_3948,485978.91,6.41,60,Approved
LOAN_142,CUST_5079,446733.13,6.1,12,Rejected
LOAN_143,CUST_4423,425705.39,8.32,12,Rejected
LOAN_144,CUST_6787,393933.79,5.92,48,Rejected
LOAN_145,CUST_3125,161570.26,9.39,36,Pending
LOAN_146,CUST_4309,307920.12,3.32,24,Approved
LOAN_147,CUST_5571,491985.03,2.73,36,Approved
LOAN_148,CUST_6596,130047.01,3.02,12,Pending
LOAN_149,CUST_3462,480752.56,9.63,12,Pending
LOAN_150,CUST_8023,221567.49,3.26,60,Rejected
LOAN_151,CUST_557,195651.96,8.51,24,Approved
LOAN_152,CUST_9913,398686.32,3.24,12,Pending
LOAN_153,CUST_9505,100065.8,9.67,60,Rejected
LOAN_154,CUST_7655,121619.33,10.32,48,Approved
LOAN_155,CUST_8724,316079.21,6.6,36,Approved
LOAN_156,CUST_6508,453805.12,5.45,48,Approved
LOAN_157,CUST_9956,316373.9,7.72,48,Pending
LOAN_158,CUST_9133,59311.05,4.59,48,Approved
LOAN_159,CUST_6393,204584.16,9.81,48,Rejected
LOAN_160,CUST_6221,447022.88,7.71,12,Approved
LOAN_161,CUST_5980,283023.18,5.33,36,Approved
LOAN_162,CUST_9683,169688.77,3.72,60,Rejected
LOAN_163,CUST_1120,444889.98,6.33,24,Pending
LOAN_164,CUST_8673,451105.86,8.88,24,Pending
LOAN_165,CUST_6225,282124.61,9.52,48,Approved
LOAN_166,CUST_9962,449307.73,2.64,12,Rejected
LOAN_167,CUST_8118,258068.78,3.22,48,Pending
LOAN_168,CUST_8412,275727.96,4.15,36,Pending
LOAN_169,CUST_8980,288081.92,9.6,60,Pending
LOAN_170,CUST_6997,179320.42,10.03,24,Approved
LOAN_171,CUST_1283,475642.54,10.24,24,Rejected
LOAN_172,CUST_6085,436099.88,7.82,36,Rejected
LOAN_173,CUST_3629,172686.84,7.62,36,Rejected
LOAN_174,CUST_9527,172918.23,8.51,12,Pending
LOAN_175,CUST_8150,284967.37,5.72,24,Pending
LOAN_176,CUST_1734,438788.11,2.5,24,Rejected
LOAN_177,CUST_309,57912.9,8.51,36,Approved
LOAN_178,CUST_1701,402176.56,4.37,60,Rejected
LOAN_179,CUST_8976,396049.02,5.8,48,Rejected
LOAN_180,CUST_8755,231382.27,6.19,12,Pending
LOAN_181,CUST_2363,151848.64,5.99,12,Pending
LOAN_182,CUST_4564,105577.08,7.45,48,Approved
LOAN_183,CUST_7848,12351.53,6.62,12,Pending
LOAN_184,CUST_1052,209088.45,9.56,12,Pending
LOAN_185,CUST_1422,339805.51,8.26,12,Approved
LOAN_186,CUST_553,58439.28,8.54,12,Pending
LOAN_187,CUST_4684,33814.76,9.21,12,Pending
LOAN_188,CUST_8622,217781.79,2.82,60,Pending
LOAN_189,CUST_1272,245024.54,8.3,12,Pending
LOAN_190,CUST_6311,434615.04,3.63,60,Approved
LOAN_191,CUST_2513,7254.15,2.68,60,Approved
LOAN_192,CUST_5929,413740.18,4.61,60,Pending
LOAN_193,CUST_7601,210219.84,8.94,60,Rejected
LOAN_194,CUST_2035,35019.43,9.05,60,Approved
LOAN_195,CUST_35,218549.86,5.94,60,Pending
LOAN_196,CUST_1223,12587.12,9.35,48,Rejected
LOAN_197,CUST_5961,336774.29,3.87,24,Pending
LOAN_198,CUST_9962,107450.5,7.39,60,Rejected
LOAN_199,CUST_6503,446952.9,10.42,48,Approved
LOAN_200,CUST_8382,12643.42,5.38,60,Pending
LOAN_201,CUST_3812,154588.38,8.7,12,Approved
LOAN_202,CUST_6890,112450.15,9.78,24,Rejected
LOAN_203,CUST_1650,122512.02,9.95,48,Rejected
LOAN_204,CUST_7275,397200.32,4.59,48,Approved
LOAN_205,CUST_6221,451220.59,10.18,36,Rejected
LOAN_206,CUST_4990,437679.29,6.88,24,Approved
LOAN_207,CUST_5775,158277.94,9.44,60,Rejected
LOAN_208,CUST_192,276685.17,8.14,48,Rejected
LOAN_209,CUST_3662,417642.72,3.74,36,Approved
LOAN_210,CUST_9604,471215.31,6.24,12,Approved
LOAN_211,CUST_6659,342525.48,8.38,24,Pending
LOAN_212,CUST_298,209779.98,4.07,36,Rejected
LOAN_213,CUST_5604,405985.23,6.24,60,Rejected
LOAN_214,CUST_9764,384336.16,7.33,12,Approved
LOAN_215,CUST_5917,85586.88,8.23,36,Rejected
LOAN_216,CUST_9729,435738.59,5.16,12,Approved
LOAN_217,CUST_165,463692.1,6.27,60,Approved
LOAN_218,CUST_8346,264685.92,3.55,12,Pending
LOAN_219,CUST_384,186093.06,5.36,36,Approved
LOAN_220,CUST_9157,176208.21,7.6,24,Approved
LOAN_221,CUST_3823,13202.95,5.02,36,Pending
LOAN_222,CUST_1812,77098.07,8.9,24,Pending
LOAN_223,CUST_1061,81072.02,3.7,36,Rejected
LOAN_224,CUST_4628,103242.86,3.1,36,Approved
LOAN_225,CUST_5440,487120.99,8.11,48,Pending
LOAN_226,CUST_9978,233686.37,9.29,48,Rejected
LOAN_227,CUST_3011,177869.84,7.88,60,Pending
LOAN_228,CUST_5064,108954.47,4.36,12,Approved
LOAN_229,CUST_5478,328477.76,7.15,48,Approved
LOAN_230,CUST_4984,5600.16,5.53,24,Rejected
LOAN_231,CUST_4758,165437.99,7.56,24,Rejected
LOAN_232,CUST_4924,285692.51,9.06,24,Pending
LOAN_233,CUST_8364,452475.78,7.03,12,Rejected
LOAN_234,CUST_876,218929.82,6.59,48,Rejected
LOAN_235,CUST_2328,158981.99,7.62,24,Approved
LOAN_236,CUST_8852,347622.22,2.86,24,Rejected
LOAN_237,CUST_9395,485229.34,6.27,36,Rejected
LOAN_238,CUST_743,284809.36,10.0,48,Pending
LOAN_239,CUST_9393,321020.9,10.36,48,Pending
LOAN_240,CUST_8643,21440.48,7.25,36,Rejected
LOAN_241,CUST_6316,79002.34,8.94,24,Approved
LOAN_242,CUST_3399,459759.82,6.15,24,Approved
LOAN_243,CUST_9122,67464.63,7.69,36,Rejected
LOAN_244,CUST_425,137301.78,3.32,60,Approved
LOAN_245,CUST_8699,219058.41,9.97,24,Pending
LOAN_246,CUST_6048,192299.41,6.29,24,Approved
LOAN_247,CUST_9139,110254.42,6.6,12,Rejected
LOAN_248,CUST_8793,32435.93,4.16,24,Rejected
LOAN_249,CUST_6578,13313.54,4.48,48,Pending
LOAN_250,CUST_3636,246797.77,4.36,12,Approved
LOAN_251,CUST_5695,221835.6,5.37,12,Pending
LOAN_252,CUST_3769,263891.43,3.84,12,Rejected
LOAN_253,CUST_7778,69479.01,9.83,36,Pending
LOAN_254,CUST_8306,230386.64,3.86,36,Pending
LOAN_255,CUST_1785,48064.52,9.45,36,Rejected
LOAN_256,CUST_5651,384563.57,6.26,12,Approved
LOAN_257,CUST_3112,424924.16,7.83,60,Pending
LOAN_258,CUST_1188,195886.14,6.93,24,Pending
LOAN_259,CUST_9806,135707.27,3.62,36,Pending
LOAN_260,CUST_5783,470585.67,6.13,48,Rejected
LOAN_261,CUST_2998,461387.95,3.57,60,Pending
LOAN_262,CUST_4889,204771.39,8.27,60,Pending
LOAN_263,CUST_1321,262684.87,9.71,48,Pending
LOAN_264,CUST_4234,432027.48,2.58,12,Rejected
LOAN_265,CUST_5156,288255.02,5.62,48,Approved
LOAN_266,CUST_127,447810.84,3.48,24,Pending
LOAN_267,CUST_9857,147715.35,3.61,48,Approved
LOAN_268,CUST_687,257802.2,9.27,48,Pending
LOAN_269,CUST_9278,304120.02,8.22,12,Approved
LOAN_270,CUST_2350,197146.66,5.9,36,Rejected
LOAN_271,CUST_6564,298903.34,2.7,60,Pending
LOAN_272,CUST_281,45051.7,9.34,24,Approved
LOAN_273,CUST_2528,254285.4,4.9,36,Pending
LOAN_274,CUST_4113,478556.6,7.89,60,Approved
LOAN_275,CUST_6625,494741.51,6.19,12,Approved
LOAN_276,CUST_3808,181173.07,3.38,36,Rejected
LOAN_277,CUST_5397,76132.64,2.84,60,Rejected
LOAN_278,CUST_1407,273996.05,4.34,12,Pending
LOAN_279,CUST_5205,31753.62,4.46,24,Pending
LOAN_280,CUST_7566,361109.9,4.3,60,Rejected
LOAN_281,CUST_2390,312156.65,3.51,24,Pending
LOAN_282,CUST_6812,79131.39,10.43,48,Pending
LOAN_283,CUST_7953,277636.31,7.52,24,Pending
LOAN_284,CUST_1267,34129.09,6.56,36,Rejected
LOAN_285,CUST_3286,495460.74,4.38,36,Rejected
LOAN_286,CUST_6106,67899.78,5.66,60,Rejected
LOAN_287,CUST_7084,167201.07,9.61,48,Approved
LOAN_288,CUST_312,288837.12,2.78,36,Rejected
LOAN_289,CUST_8975,466685.53,4.54,12,Pending
LOAN_290,CUST_1194,429451.0,7.22,24,Pending
LOAN_291,CUST_7183,93307.7,3.63,48,Rejected
LOAN_292,CUST_6131,7678.06,6.94,36,Rejected
LOAN_293,CUST_275,56101.19,3.43,48,Rejected
LOAN_294,CUST_6871,337364.09,9.42,60,Rejected
LOAN_295,CUST_6236,31947.11,6.82,36,Pending
LOAN_296,CUST_2106,31282.53,5.82,60,Approved
LOAN_297,CUST_7409,263954.21,3.2,60,Rejected
LOAN_298,CUST_6351,384354.1,3.21,36,Approved
LOAN_299,CUST_1362,444496.53,4.48,60,Pending
LOAN_300,CUST_1657,112344.29,10.32,12,Pending
LOAN_301,CUST_3142,328544.31,5.55,36,Pending
LOAN_302,CUST_93,83672.38,10.33,36,Rejected
LOAN_303,CUST_6365,435204.9,6.29,60,Approved
LOAN_304,CUST_9223,248804.96,6.31,12,Rejected
LOAN_305,CUST_9355,404048.12,8.74,12,Rejected
LOAN_306,CUST_1644,168705.92,9.35,48,Approved
LOAN_307,CUST_980,138479.78,7.17,36,Pending
LOAN_308,CUST_4534,274458.87,6.76,12,Pending
LOAN_309,CUST_1256,106546.73,8.43,48,Rejected
LOAN_310,CUST_6206,27474.74,7.18,36,Approved
LOAN_311,CUST_7331,457285.98,5.4,24,Rejected
LOAN_312,CUST_934,374000.31,6.41,48,Pending
LOAN_313,CUST_5156,342679.19,8.16,60,Approved
LOAN_314,CUST_5930,34339.49,4.98,48,Pending
LOAN_315,CUST_973,106880.29,4.13,48,Rejected
LOAN_316,CUST_8600,487418.48,5.17,60,Pending
LOAN_317,CUST_8241,20227.21,3.1,12,Rejected
LOAN_318,CUST_3359,382837.86,7.96,48,Rejected
LOAN_319,CUST_8916,493336.63,8.56,60,Rejected
LOAN_320,CUST_2055,220496.29,7.43,36,Approved
LOAN_321,CUST_2377,233601.89,2.79,36,Pending
LOAN_322,CUST_8404,79356.43,7.64,12,Pending
LOAN_323,CUST_4957,164681.4,6.37,60,Pending
LOAN_324,CUST_2361,435474.02,10.39,24,Pending
LOAN_325,CUST_1454,156243.32,8.13,60,Rejected
LOAN_326,CUST_1530,12280.34,8.0,24,Rejected
LOAN_327,CUST_856,148165.64,5.67,36,Rejected
LOAN_328,CUST_9079,257389.16,3.17,60,Approved
LOAN_329,CUST_3201,206223.73,9.11,24,Approved
LOAN_330,CUST_6862,426737.58,8.52,12,Approved
LOAN_331,CUST_2614,433557.51,4.5,48,Pending
LOAN_332,CUST_4859,406821.86,10.46,12,Approved
LOAN_333,CUST_7404,80514.6,6.24,60,Rejected
LOAN_334,CUST_3395,485721.55,7.9,36,Pending
LOAN_335,CUST_8879,162935.23,5.11,12,Approved
LOAN_336,CUST_7118,170207.68,8.8,24,Rejected
LOAN_337,CUST_857,291192.96,8.26,48,Rejected
LOAN_338,CUST_5320,229816.6,2.91,60,Pending
LOAN_339,CUST_6420,144182.89,7.94,36,Rejected
LOAN_340,CUST_8667,32054.82,4.45,60,Rejected
LOAN_341,CUST_1590,163010.5,4.46,12,Rejected
LOAN_342,CUST_6029,236377.51,10.15,12,Pending
LOAN_343,CUST_8291,384230.02,6.88,60,Pending
LOAN_344,CUST_3997,238996.91,2.57,36,Pending
LOAN_345,CUST_5779,435327.63,7.17,12,Rejected
LOAN_346,CUST_3950,413810.32,4.52,36,Approved
LOAN_347,CUST_7819,207883.21,5.76,48,Rejected
LOAN_348,CUST_242,365051.43,6.72,48,Pending
LOAN_349,CUST_2964,281995.52,8.67,60,Approved
LOAN_350,CUST_7717,446100.71,7.25,12,Rejected
LOAN_351,CUST_4115,95663.98,7.64,36,Pending
LOAN_352,CUST_3595,324736.03,5.13,12,Approved
LOAN_353,CUST_2414,443224.23,5.6,60,Rejected
LOAN_354,CUST_3339,478539.58,6.72,60,Approved
LOAN_355,CUST_9686,290790.75,6.24,48,Approved
LOAN_356,CUST_6439,142534.29,8.6,48,Pending
LOAN_357,CUST_5060,345864.38,7.05,60,Rejected
LOAN_358,CUST_9750,377134.65,10.06,36,Approved
LOAN_359,CUST_9642,418647.64,8.51,48,Rejected
LOAN_360,CUST_9465,386306.72,2.8,60,Approved
LOAN_361,CUST_2266,485314.72,9.34,12,Rejected
LOAN_362,CUST_5867,329775.57,10.34,36,Rejected
LOAN_363,CUST_1014,104291.11,3.96,48,Rejected
LOAN_364,CUST_5576,478886.91,8.2,48,Pending
LOAN_365,CUST_4923,108961.06,8.05,36,Approved
LOAN_366,CUST_3787,228872.06,5.23,24,Approved
LOAN_367,CUST_8319,323415.23,7.25,24,Pending
LOAN_368,CUST_9868,211547.47,9.89,12,Pending
LOAN_369,CUST_250,252001.11,8.54,48,Approved
LOAN_370,CUST_5097,224241.33,8.88,60,Rejected
LOAN_371,CUST_8230,497942.34,3.46,36,Rejected
LOAN_372,CUST_3380,423021.09,5.5,24,Rejected
LOAN_373,CUST_6566,161068.61,3.15,48,Approved
LOAN_374,CUST_1255,487989.55,5.76,60,Approved
LOAN_375,CUST_1613,470819.78,6.74,24,Rejected
LOAN_376,CUST_6171,218584.92,3.09,60,Approved
LOAN_377,CUST_8297,445474.69,4.47,36,Approved
LOAN_378,CUST_3647,120732.0,7.43,36,Pending
LOAN_379,CUST_5537,233963.28,5.88,60,Approved
LOAN_380,CUST_505,334426.6,7.46,12,Rejected
LOAN_381,CUST_3711,123490.28,6.8,48,Rejected
LOAN_382,CUST_8148,69687.07,4.73,36,Pending
LOAN_383,CUST_6005,495838.35,6.62,36,Rejected
LOAN_384,CUST_5473,99909.32,8.7,60,Approved
LOAN_385,CUST_498,130992.88,2.65,48,Rejected
LOAN_386,CUST_178,196239.17,9.92,24,Pending
LOAN_387,CUST_2925,324256.55,2.59,60,Approved
LOAN_388,CUST_7625,298501.65,6.7,12,Pending
LOAN_389,CUST_6251,15864.17,4.66,24,Pending
LOAN_390,CUST_9712,334769.19,3.86,48,Rejected
LOAN_391,CUST_459,407292.09,4.06,48,Rejected
LOAN_392,CUST_6783,69112.11,6.77,24,Pending
LOAN_393,CUST_6413,163721.4,7.11,12,Approved
LOAN_394,CUST_9088,111991.99,7.3,36,Approved
LOAN_395,CUST_5910,213662.39,9.25,60,Approved
LOAN_396,CUST_4410,441635.49,4.18,24,Pending
LOAN_397,CUST_167,375962.93,8.27,12,Approved
LOAN_398,CUST_2797,220393.63,9.19,12,Pending
LOAN_399,CUST_6949,406401.23,7.28,36,Rejected
LOAN_400,CUST_2750,44157.46,3.65,36,Approved
LOAN_401,CUST_7438,14850.91,7.98,60,Pending
LOAN_402,CUST_8469,192159.78,7.63,36,Pending
LOAN_403,CUST_6113,384021.14,9.06,60,Approved
LOAN_404,CUST_4135,332634.88,9.92,24,Pending
LOAN_405,CUST_3312,433274.77,6.32,36,Pending
LOAN_406,CUST_1714,286348.15,2.63,48,Approved
LOAN_407,CUST_1557,422337.17,9.42,12,Approved
LOAN_408,CUST_9922,253511.61,9.58,60,Pending
LOAN_409,CUST_8665,95534.7,5.29,24,Rejected
LOAN_410,CUST_1278,349883.14,5.96,12,Rejected
LOAN_411,CUST_6065,165016.0,9.75,60,Pending
LOAN_412,CUST_1675,24096.7,4.72,24,Pending
LOAN_413,CUST_8957,308741.9,4.88,24,Pending
LOAN_414,CUST_4522,268030.37,7.49,48,Approved
LOAN_415,CUST_2260,291845.9,3.69,48,Approved
LOAN_416,CUST_5155,426285.48,8.16,48,Pending
LOAN_417,CUST_4637,270794.27,2.73,48,Approved
LOAN_418,CUST_6879,400232.72,6.52,36,Pending
LOAN_419,CUST_2912,5613.57,5.26,60,Pending
LOAN_420,CUST_6982,358161.15,4.04,60,Pending
LOAN_421,CUST_1229,42340.41,10.4,60,Rejected
LOAN_422,CUST_1796,29752.6,8.91,48,Approved
LOAN_423,CUST_9773,227034.22,8.01,24,Rejected
LOAN_424,CUST_4398,277766.61,9.52,12,Pending
LOAN_425,CUST_8929,481675.29,8.3,36,Pending
LOAN_426,CUST_4270,264403.47,7.32,60,Rejected
LOAN_427,CUST_4873,112742.87,6.91,36,Pending
LOAN_428,CUST_6164,468807.41,4.09,24,Rejected
LOAN_429,CUST_6315,373589.63,3.63,12,Approved
LOAN_430,CUST_253,219818.76,4.4,48,Pending
LOAN_431,CUST_6464,391334.68,7.77,36,Approved
LOAN_432,CUST_4787,121853.68,4.68,48,Rejected
LOAN_433,CUST_4935,213658.52,3.59,24,Pending
LOAN_434,CUST_3739,16013.91,6.47,24,Approved
LOAN_435,CUST_7007,262411.24,3.65,12,Approved
LOAN_436,CUST_7747,205181.64,4.16,48,Approved
LOAN_437,CUST_5206,146202.76,10.19,48,Pending
LOAN_438,CUST_5274,156947.2,7.21,36,Pending
LOAN_439,CUST_7453,283108.28,5.89,36,Pending
LOAN_440,CUST_2038,109456.85,3.29,60,Approved
LOAN_441,CUST_4457,293025.77,6.8,36,Rejected
LOAN_442,CUST_395,408891.87,2.7,12,Rejected
LOAN_443,CUST_564,366735.17,6.8,12,Pending
LOAN_444,CUST_5867,372775.73,5.55,48,Approved
LOAN_445,CUST_7163,153430.41,5.4,24,Rejected
LOAN_446,CUST_9557,36120.84,10.37,12,Pending
LOAN_447,CUST_8378,130798.84,6.24,36,Rejected
LOAN_448,CUST_6850,24778.96,7.21,48,Rejected
LOAN_449,CUST_7260,312498.99,8.86,48,Approved
LOAN_450,CUST_7368,100494.01,3.95,24,Rejected
LOAN_451,CUST_8962,222708.59,3.79,24,Approved
LOAN_452,CUST_5854,260586.05,3.11,48,Approved
LOAN_453,CUST_5459,481383.03,8.55,36,Rejected
LOAN_454,CUST_2640,63426.17,6.7,48,Rejected
LOAN_455,CUST_8713,279056.07,9.56,24,Pending
LOAN_456,CUST_7559,218994.04,10.21,24,Pending
LOAN_457,CUST_918,347183.55,4.96,12,Pending
LOAN_458,CUST_536,86068.63,5.5,36,Approved
LOAN_459,CUST_9912,474006.84,2.57,48,Pending
LOAN_460,CUST_833,156616.33,7.94,36,Approved
LOAN_461,CUST_476,214538.38,8.52,48,Rejected
LOAN_462,CUST_1944,438132.6,8.29,60,Pending
LOAN_463,CUST_9947,401530.29,5.47,24,Rejected
LOAN_464,CUST_6883,479455.52,4.32,12,Pending
LOAN_465,CUST_3619,50151.69,8.09,48,Pending
LOAN_466,CUST_8894,261420.99,2.86,48,Pending
LOAN_467,CUST_9630,418015.89,2.84,60,Approved
LOAN_468,CUST_2702,116231.54,7.43,24,Rejected
LOAN_469,CUST_9454,113944.7,5.45,36,Rejected
LOAN_470,CUST_6191,117418.13,3.77,12,Pending
LOAN_471,CUST_2899,342468.47,4.7,48,Rejected
LOAN_472,CUST_9572,452292.45,7.45,36,Rejected
LOAN_473,CUST_9451,406748.46,7.81,12,Rejected
LOAN_474,CUST_1456,433174.67,4.67,12,Rejected
LOAN_475,CUST_8392,289642.98,6.46,48,Approved
LOAN_476,CUST_4976,398324.71,6.83,60,Pending
