account_id,account_type,balance,customer_name,is_blacklisted
ACC_67,Checking,36338.87,Customer_67,0
ACC_68,Checking,84065.46,Customer_68,0
ACC_69,Business,34786.12,Customer_69,0
ACC_70,Business,69188.54,Customer_70,0
ACC_71,Business,2110.74,Customer_71,0
ACC_72,Business,59864.91,Customer_72,0
ACC_73,Business,48325.04,Customer_73,0
ACC_74,Checking,78671.7,Customer_74,0
ACC_75,Savings,10852.33,Customer_75,0
ACC_76,Checking,18584.78,Customer_76,0
ACC_77,Savings,38338.9,Customer_77,0
ACC_78,Checking,31938.66,Customer_78,0
ACC_79,Checking,29406.54,Customer_79,0
ACC_80,Checking,1647.42,Customer_80,0
ACC_81,Checking,63433.41,Customer_81,0
ACC_82,Savings,98868.35,Customer_82,0
ACC_83,Savings,20383.76,Customer_83,0
ACC_84,Savings,50668.69,Customer_84,0
ACC_85,Checking,87770.67,Customer_85,0
ACC_86,Business,44170.35,Customer_86,0
ACC_87,Savings,36164.23,Customer_87,0
ACC_88,Savings,57655.08,Customer_88,0
ACC_89,Savings,78873.67,Customer_89,0
ACC_90,Business,11199.73,Customer_90,0
ACC_91,Business,35296.88,Customer_91,0
ACC_92,Checking,24192.39,Customer_92,0
ACC_93,Business,40926.56,Customer_93,0
ACC_94,Savings,96846.03,Customer_94,0
ACC_95,Savings,89495.33,Customer_95,0
ACC_96,Savings,74964.68,Customer_96,0
ACC_97,Savings,63646.85,Customer_97,0
ACC_98,Business,34124.18,Customer_98,0
ACC_99,Business,25529.98,Customer_99,0
ACC_100,Checking,42857.73,Customer_100,0
ACC_101,Savings,32673.43,Customer_101,0
ACC_102,Savings,4901.3,Customer_102,0
ACC_103,Checking,90487.29,Customer_103,0
ACC_104,Checking,14124.68,Customer_104,0
ACC_105,Business,36981.76,Customer_105,0
ACC_106,Savings,38488.39,Customer_106,0
ACC_107,Checking,62602.22,Customer_107,0
ACC_108,Checking,53299.33,Customer_108,0
ACC_109,Business,37420.88,Customer_109,0
ACC_110,Savings,37211.7,Customer_110,0
ACC_111,Savings,25030.7,Customer_111,0
ACC_112,Savings,23486.77,Customer_112,0
ACC_113,Business,4498.19,Customer_113,0
ACC_114,Business,39246.09,Customer_114,0
ACC_115,Business,18856.43,Customer_115,0
ACC_116,Savings,84319.59,Customer_116,0
ACC_117,Business,16315.84,Customer_117,0
ACC_118,Business,48465.23,Customer_118,0
ACC_119,Business,2914.71,Customer_119,0
ACC_120,Checking,55991.34,Customer_120,0
ACC_121,Savings,89245.7,Customer_121,0
ACC_122,Savings,49782.51,Customer_122,0
ACC_123,Savings,19838.08,Customer_123,0
ACC_124,Business,48828.14,Customer_124,0
ACC_125,Checking,10727.02,Customer_125,0
ACC_126,Checking,20817.51,Customer_126,0
ACC_127,Business,54283.1,Customer_127,0
ACC_128,Checking,59377.77,Customer_128,0
ACC_129,Business,13900.0,Customer_129,0
ACC_130,Business,65768.8,Customer_130,0
ACC_131,Business,28273.78,Customer_131,0
ACC_132,Checking,82717.56,Customer_132,0
ACC_133,Business,36192.36,Customer_133,0
ACC_134,Savings,22392.13,Customer_134,0
ACC_135,Business,75633.97,Customer_135,0
ACC_136,Business,39205.73,Customer_136,0
ACC_137,Checking,82188.73,Customer_137,0
ACC_138,Savings,39228.92,Customer_138,0
ACC_139,Savings,18060.45,Customer_139,0
ACC_140,Business,52706.54,Customer_140,0
ACC_141,Savings,26153.91,Customer_141,0
ACC_142,Checking,57099.11,Customer_142,0
ACC_143,Savings,18226.17,Customer_143,0
ACC_144,Savings,66548.07,Customer_144,0
ACC_145,Savings,63030.06,Customer_145,0
ACC_146,Checking,59793.52,Customer_146,0
ACC_147,Business,53878.75,Customer_147,0
ACC_148,Savings,47475.18,Customer_148,0
ACC_149,Checking,73757.2,Customer_149,0
ACC_150,Savings,47993.38,Customer_150,0
ACC_151,Savings,81628.69,Customer_151,0
ACC_152,Checking,16983.74,Customer_152,0
ACC_153,Checking,45043.81,Customer_153,0
ACC_154,Savings,15151.92,Customer_154,0
ACC_155,Business,25218.51,Customer_155,0
ACC_156,Savings,9359.18,Customer_156,0
ACC_157,Business,34816.21,Customer_157,0
ACC_158,Savings,92669.13,Customer_158,0
ACC_159,Savings,88923.65,Customer_159,0
ACC_160,Savings,33671.74,Customer_160,0
ACC_161,Savings,10611.02,Customer_161,0
ACC_162,Savings,68858.59,Customer_162,0
ACC_163,Business,73558.12,Customer_163,0
ACC_164,Checking,80005.6,Customer_164,0
ACC_165,Savings,92485.75,Customer_165,0
ACC_166,Savings,40350.76,Customer_166,0
ACC_167,Business,13034.34,Customer_167,0
ACC_168,Savings,60140.1,Customer_168,0
ACC_169,Business,94815.79,Customer_169,0
ACC_170,Business,16273.16,Customer_170,0
ACC_171,Savings,77542.31,Customer_171,0
ACC_172,Checking,8203.96,Customer_172,0
ACC_173,Business,41364.73,Customer_173,0
ACC_174,Checking,5619.87,Customer_174,0
ACC_175,Business,36731.66,Customer_175,0
ACC_176,Savings,36052.87,Customer_176,0
ACC_177,Business,58672.42,Customer_177,0
ACC_178,Business,77372.88,Customer_178,0
ACC_179,Savings,1203.45,Customer_179,0
ACC_180,Savings,2769.63,Customer_180,0
ACC_181,Checking,12656.8,Customer_181,0
ACC_182,Checking,46947.16,Customer_182,0
ACC_183,Checking,4675.72,Customer_183,0
ACC_184,Business,20347.35,Customer_184,0
ACC_185,Savings,24444.96,Customer_185,0
ACC_186,Business,75619.54,Customer_186,0
ACC_187,Business,43658.17,Customer_187,0
ACC_188,Checking,19901.16,Customer_188,0
ACC_189,Business,51815.66,Customer_189,0
ACC_190,Savings,1534.92,Customer_190,0
ACC_191,Savings,84254.46,Customer_191,0
ACC_192,Business,76797.98,Customer_192,0
ACC_193,Savings,53665.62,Customer_193,0
ACC_194,Checking,13282.42,Customer_194,0
ACC_195,Checking,36881.43,Customer_195,0
ACC_196,Business,55074.48,Customer_196,0
ACC_197,Business,70707.48,Customer_197,0
ACC_198,Checking,20235.67,Customer_198,0
ACC_199,Savings,44859.48,Customer_199,0
ACC_200,Business,70328.09,Customer_200,0
ACC_201,Business,73747.08,Customer_201,0
ACC_202,Savings,2072.16,Customer_202,0
ACC_203,Checking,91310.7,Customer_203,0
ACC_204,Business,93025.01,Customer_204,0
ACC_205,Savings,55129.82,Customer_205,0
ACC_206,Business,35759.99,Customer_206,0
ACC_207,Business,63930.3,Customer_207,0
ACC_208,Business,57553.67,Customer_208,0
ACC_209,Checking,26408.07,Customer_209,0
ACC_210,Checking,18053.28,Customer_210,0
ACC_211,Savings,24943.67,Customer_211,0
ACC_212,Savings,83231.18,Customer_212,0
ACC_213,Savings,6267.13,Customer_213,0
ACC_214,Business,28801.26,Customer_214,0
ACC_215,Savings,38944.58,Customer_215,0
ACC_216,Checking,48086.01,Customer_216,0
ACC_217,Savings,1128.51,Customer_217,0
ACC_218,Savings,69360.09,Customer_218,0
ACC_219,Savings,50689.44,Customer_219,0
ACC_220,Business,4029.54,Customer_220,0
ACC_221,Savings,49346.86,Customer_221,0
ACC_222,Savings,36316.13,Customer_222,0
ACC_223,Business,58285.84,Customer_223,0
ACC_224,Checking,24317.77,Customer_224,0
ACC_225,Checking,35438.48,Customer_225,0
ACC_226,Savings,60990.49,Customer_226,0
ACC_227,Checking,71471.63,Customer_227,0
ACC_228,Business,56934.3,Customer_228,0
ACC_229,Checking,76209.29,Customer_229,0
ACC_230,Checking,98753.71,Customer_230,0
ACC_231,Savings,27778.82,Customer_231,0
ACC_232,Business,82262.19,Customer_232,0
ACC_233,Business,36670.24,Customer_233,0
ACC_234,Savings,58479.06,Customer_234,0
ACC_235,Checking,84046.38,Customer_235,0
ACC_236,Business,40456.28,Customer_236,0
ACC_237,Checking,89727.93,Customer_237,0
ACC_238,Checking,1785.04,Customer_238,0
ACC_239,Checking,97047.07,Customer_239,0
ACC_240,Savings,43008.87,Customer_240,0
ACC_241,Business,71948.65,Customer_241,0
ACC_242,Savings,17327.0,Customer_242,0
ACC_243,Business,81242.43,Customer_243,0
ACC_244,Savings,10003.94,Customer_244,0
ACC_245,Business,39157.79,Customer_245,0
ACC_246,Business,21818.21,Customer_246,0
ACC_247,Checking,45386.34,Customer_247,0
ACC_248,Checking,41883.05,Customer_248,0
ACC_249,Business,26081.4,Customer_249,0
ACC_250,Checking,19881.73,Customer_250,0
ACC_251,Checking,4066.89,Customer_251,0
ACC_252,Business,78826.6,Customer_252,0
ACC_253,Business,36280.04,Customer_253,0
ACC_254,Business,79545.89,Customer_254,0
ACC_255,Savings,62119.73,Customer_255,0
ACC_256,Savings,11620.91,Customer_256,0
ACC_257,Checking,59684.66,Customer_257,0
ACC_258,Checking,12307.07,Customer_258,0
ACC_259,Savings,53071.82,Customer_259,0
ACC_260,Checking,66739.02,Customer_260,0
ACC_261,Savings,61953.52,Customer_261,0
ACC_262,Savings,11005.87,Customer_262,0
ACC_263,Checking,43760.36,Customer_263,0
ACC_264,Business,44965.27,Customer_264,0
ACC_265,Business,16877.06,Customer_265,0
ACC_266,Checking,92395.24,Customer_266,0
ACC_267,Savings,12059.51,Customer_267,0
ACC_268,Savings,54950.51,Customer_268,0
ACC_269,Savings,41453.8,Customer_269,0
ACC_270,Savings,56026.0,Customer_270,0
ACC_271,Business,28979.95,Customer_271,0
ACC_272,Business,34454.56,Customer_272,0
ACC_273,Business,41448.72,Customer_273,0
ACC_274,Savings,82781.73,Customer_274,0
ACC_275,Checking,49281.75,Customer_275,0
ACC_276,Savings,48805.48,Customer_276,0
ACC_277,Business,51001.0,Customer_277,0
ACC_278,Savings,3198.34,Customer_278,0
ACC_279,Checking,61221.43,Customer_279,0
ACC_280,Business,43176.49,Customer_280,0
ACC_281,Business,64260.81,Customer_281,0
ACC_282,Savings,58647.16,Customer_282,0
ACC_283,Checking,99233.5,Customer_283,0
ACC_284,Savings,32397.58,Customer_284,0
ACC_285,Business,73686.02,Customer_285,0
ACC_286,Business,91641.63,Customer_286,0
ACC_287,Savings,92328.43,Customer_287,0
ACC_288,Checking,30472.83,Customer_288,0
ACC_289,Business,36143.53,Customer_289,0
ACC_290,Savings,30945.67,Customer_290,0
ACC_291,Savings,67561.28,Customer_291,0
ACC_292,Savings,70673.46,Customer_292,0
ACC_293,Checking,94720.82,Customer_293,0
ACC_294,Savings,39792.28,Customer_294,0
ACC_295,Business,2002.58,Customer_295,0
ACC_296,Savings,42918.4,Customer_296,0
ACC_297,Checking,85363.39,Customer_297,0
ACC_298,Checking,47390.7,Customer_298,0
ACC_299,Savings,97892.52,Customer_299,0
ACC_300,Savings,80790.68,Customer_300,0
ACC_301,Savings,54244.62,Customer_301,0
ACC_302,Checking,56007.06,Customer_302,0
ACC_303,Savings,74712.04,Customer_303,0
ACC_304,Savings,81869.9,Customer_304,0
ACC_305,Business,59829.17,Customer_305,0
ACC_306,Business,81268.33,Customer_306,0
ACC_307,Savings,88645.65,Customer_307,0
ACC_308,Business,61626.17,Customer_308,0
ACC_309,Business,6380.52,Customer_309,0
ACC_310,Business,22481.94,Customer_310,0
ACC_311,Savings,47540.13,Customer_311,0
ACC_312,Checking,65012.96,Customer_312,0
ACC_313,Savings,44177.21,Customer_313,0
ACC_314,Business,23129.81,Customer_314,0
ACC_315,Checking,63001.54,Customer_315,0
ACC_316,Business,98206.18,Customer_316,0
ACC_317,Checking,62965.77,Customer_317,0
ACC_318,Checking,2408.73,Customer_318,0
ACC_319,Savings,75139.54,Customer_319,0
ACC_320,Business,5607.47,Customer_320,0
ACC_321,Savings,53628.86,Customer_321,0
ACC_322,Checking,92769.44,Customer_322,0
ACC_323,Business,17100.22,Customer_323,0
ACC_324,Savings,33357.43,Customer_324,0
ACC_325,Savings,3835.37,Customer_325,0
ACC_326,Business,13424.04,Customer_326,0
ACC_327,Business,18227.4,Customer_327,0
ACC_328,Business,13975.74,Customer_328,0
ACC_329,Checking,47082.39,Customer_329,0
ACC_330,Savings,66897.41,Customer_330,0
ACC_331,Business,19240.57,Customer_331,0
ACC_332,Business,14153.38,Customer_332,0
ACC_333,Savings,64325.91,Customer_333,0
ACC_334,Savings,29330.59,Customer_334,0
ACC_335,Savings,11174.22,Customer_335,0
ACC_336,Checking,58357.65,Customer_336,0
ACC_337,Business,74709.08,Customer_337,0
ACC_338,Business,55935.29,Customer_338,0
ACC_339,Savings,13533.05,Customer_339,0
ACC_340,Business,70489.22,Customer_340,0
ACC_341,Checking,24836.2,Customer_341,0
ACC_342,Savings,60214.82,Customer_342,0
ACC_343,Savings,59332.23,Customer_343,0
ACC_344,Business,90997.96,Customer_344,0
ACC_345,Savings,40818.27,Customer_345,0
ACC_346,Checking,28171.67,Customer_346,0
ACC_347,Savings,96582.47,Customer_347,0
ACC_348,Business,51231.94,Customer_348,0
ACC_349,Business,77805.87,Customer_349,0
ACC_350,Checking,82545.71,Customer_350,0
ACC_351,Checking,65842.3,Customer_351,0
ACC_352,Savings,19885.08,Customer_352,0
ACC_353,Checking,11535.91,Customer_353,0
ACC_354,Savings,24098.21,Customer_354,0
ACC_355,Checking,3968.5,Customer_355,0
ACC_356,Savings,33212.33,Customer_356,0
ACC_357,Business,9526.21,Customer_357,0
ACC_358,Checking,63472.13,Customer_358,0
ACC_359,Savings,30874.05,Customer_359,0
ACC_360,Business,86925.07,Customer_360,0
ACC_361,Business,71141.71,Customer_361,0
ACC_362,Business,38390.09,Customer_362,0
ACC_363,Checking,12587.01,Customer_363,0
ACC_364,Checking,38209.3,Customer_364,0
ACC_365,Savings,91167.27,Customer_365,0
ACC_366,Checking,16068.52,Customer_366,0
ACC_367,Savings,28462.71,Customer_367,0
ACC_368,Business,11334.78,Customer_368,0
ACC_369,Checking,42683.42,Customer_369,0
ACC_370,Savings,96271.34,Customer_370,0
ACC_371,Checking,44006.77,Customer_371,0
ACC_372,Business,17540.16,Customer_372,0
ACC_373,Business,49112.64,Customer_373,0
ACC_374,Business,94196.6,Customer_374,0
ACC_375,Savings,60833.32,Customer_375,0
ACC_376,Business,65360.23,Customer_376,0
ACC_377,Business,65930.68,Customer_377,0
ACC_378,Savings,71230.12,Customer_378,0
ACC_379,Checking,2548.57,Customer_379,0
ACC_380,Checking,80503.42,Customer_380,0
ACC_381,Savings,63877.53,Customer_381,0
ACC_382,Business,97081.57,Customer_382,0
ACC_383,Checking,47479.4,Customer_383,0
ACC_384,Business,79168.09,Customer_384,0
ACC_385,Savings,1730.43,Customer_385,0
ACC_386,Savings,40164.99,Customer_386,0
ACC_387,Business,65824.4,Customer_387,0
ACC_388,Checking,66237.69,Customer_388,0
ACC_389,Savings,34810.86,Customer_389,0
ACC_390,Business,49038.42,Customer_390,0
ACC_391,Business,78224.82,Customer_391,0
ACC_392,Business,14538.9,Customer_392,0
ACC_393,Business,78293.63,Customer_393,0
ACC_394,Savings,22805.14,Customer_394,0
ACC_395,Checking,52436.13,Customer_395,0
ACC_396,Checking,88394.91,Customer_396,0
ACC_397,Savings,7122.89,Customer_397,0
ACC_398,Checking,53657.95,Customer_398,0
ACC_399,Business,2515.42,Customer_399,0
ACC_400,Savings,26410.23,Customer_400,0
ACC_401,Savings,30901.23,Customer_401,0
ACC_402,Checking,64011.99,Customer_402,0
ACC_403,Checking,58015.08,Customer_403,0
ACC_404,Checking,24814.96,Customer_404,0
ACC_405,Savings,73191.26,Customer_405,0
ACC_406,Business,77092.67,Customer_406,0
ACC_407,Business,24160.01,Customer_407,0
ACC_408,Checking,36349.83,Customer_408,0
ACC_409,Business,72123.41,Customer_409,0
ACC_410,Savings,13334.5,Customer_410,0
ACC_411,Business,27620.42,Customer_411,0
ACC_412,Checking,81162.57,Customer_412,0
ACC_413,Checking,11728.64,Customer_413,0
ACC_414,Checking,81892.22,Customer_414,0
ACC_415,Checking,55244.14,Customer_415,0
ACC_416,Business,82791.67,Customer_416,0
ACC_417,Savings,37126.07,Customer_417,0
ACC_418,Checking,90393.63,Customer_418,0
ACC_419,Savings,70068.17,Customer_419,0
ACC_420,Checking,3548.9,Customer_420,0
ACC_421,Business,51139.74,Customer_421,0
ACC_422,Business,47462.59,Customer_422,0
ACC_423,Business,56349.34,Customer_423,0
ACC_424,Savings,38878.12,Customer_424,0
ACC_425,Checking,65980.86,Customer_425,0
ACC_426,Checking,96355.46,Customer_426,0
ACC_427,Checking,18484.09,Customer_427,0
ACC_428,Business,49481.07,Customer_428,0
ACC_429,Savings,76040.62,Customer_429,0
ACC_430,Checking,39574.32,Customer_430,0
ACC_431,Checking,23305.41,Customer_431,0
ACC_432,Savings,64618.65,Customer_432,0
ACC_433,Savings,41662.02,Customer_433,0
ACC_434,Savings,55836.27,Customer_434,0
ACC_435,Business,20172.2,Customer_435,0
ACC_436,Checking,58370.16,Customer_436,0
ACC_437,Checking,66898.95,Customer_437,0
ACC_438,Business,87458.79,Customer_438,0
ACC_439,Business,39251.83,Customer_439,0
ACC_440,Business,59962.93,Customer_440,0
ACC_441,Checking,39024.95,Customer_441,0
ACC_442,Business,57405.62,Customer_442,0
ACC_443,Business,28911.47,Customer_443,0
ACC_444,Checking,4656.8,Customer_444,0
ACC_445,Business,27606.57,Customer_445,0
ACC_446,Savings,53611.18,Customer_446,0
ACC_447,Checking,76183.92,Customer_447,0
ACC_448,Business,39913.22,Customer_448,0
ACC_449,Savings,99095.75,Customer_449,0
ACC_450,Savings,3336.81,Customer_450,0
ACC_451,Checking,26174.11,Customer_451,0
ACC_452,Savings,92109.68,Customer_452,0
ACC_453,Business,14947.79,Customer_453,0
ACC_454,Business,48598.87,Customer_454,0
ACC_455,Savings,52342.18,Customer_455,0
ACC_456,Business,78043.3,Customer_456,0
ACC_457,Savings,46429.57,Customer_457,0
ACC_458,Savings,13220.5,Customer_458,0
ACC_459,Business,5011.17,Customer_459,0
ACC_460,Business,30110.49,Customer_460,0
ACC_461,Checking,73594.3,Customer_461,0
ACC_462,Savings,79534.19,Customer_462,0
ACC_463,Checking,13708.73,Customer_463,0
ACC_464,Savings,84340.22,Customer_464,0
ACC_465,Business,46664.61,Customer_465,0
ACC_466,Savings,93964.18,Customer_466,0
ACC_467,Checking,77373.08,Customer_467,0
ACC_468,Savings,15894.85,Customer_468,0
ACC_469,Savings,31747.59,Customer_469,0
ACC_470,Checking,48246.13,Customer_470,0
ACC_471,Savings,54985.35,Customer_471,0
ACC_472,Business,10746.25,Customer_472,0
ACC_473,Business,91247.32,Customer_473,0
ACC_474,Checking,86230.28,Customer_474,0
ACC_475,Savings,76507.87,Customer_475,0
ACC_476,Business,18611.45,Customer_476,0
ACC_477,Savings,55270.95,Customer_477,0
ACC_478,Checking,77103.59,Customer_478,0
ACC_479,Savings,43786.26,Customer_479,0
ACC_480,Savings,42889.04,Customer_480,0
ACC_481,Checking,55791.99,Customer_481,0
ACC_482,Savings,56230.71,Customer_482,0
ACC_483,Checking,45611.34,Customer_483,0
ACC_484,Checking,19192.54,Customer_484,0
ACC_485,Checking,63134.92,Customer_485,0
ACC_486,Savings,21124.65,Customer_486,0
ACC_487,Business,6352.93,Customer_487,0
ACC_488,Savings,57992.61,Customer_488,0
ACC_489,Savings,77889.18,Customer_489,0
ACC_490,Business,72171.14,Customer_490,0
ACC_491,Business,34546.54,Customer_491,0
ACC_492,Checking,70591.79,Customer_492,0
ACC_493,Savings,44272.97,Customer_493,0
ACC_494,Checking,20408.4,Customer_494,0
ACC_495,Savings,92142.3,Customer_495,0
ACC_496,Savings,56823.57,Customer_496,0
ACC_497,Checking,74434.83,Customer_497,0
ACC_498,Savings,43370.99,Customer_498,0
ACC_499,Checking,626.63,Customer_499,0
ACC_500,Savings,15699.3,Customer_500,1
ACC_501,Checking,23624.6,Customer_501,0
ACC_502,Savings,25409.25,Customer_502,0
ACC_503,Checking,80983.01,Customer_503,0
ACC_504,Savings,48881.55,Customer_504,0
ACC_505,Business,46543.07,Customer_505,0
ACC_506,Checking,10482.76,Customer_506,0
ACC_507,Savings,52282.0,Customer_507,0
ACC_508,Business,1949.27,Customer_508,0
ACC_509,Savings,85613.5,Customer_509,0
ACC_510,Savings,2496.3,Customer_510,0
ACC_511,Savings,48122.39,Customer_511,0
ACC_512,Savings,31479.24,Customer_512,0
ACC_513,Savings,39190.2,Customer_513,0
ACC_514,Business,11551.7,Customer_514,0
ACC_515,Savings,90228.72,Customer_515,0
ACC_516,Checking,44588.51,Customer_516,0
ACC_517,Savings,23990.28,Customer_517,0
ACC_518,Business,70285.6,Customer_518,0
ACC_519,Business,47238.11,Customer_519,0
ACC_520,Savings,25562.48,Customer_520,0
ACC_521,Savings,12070.91,Customer_521,0
ACC_522,Savings,49535.63,Customer_522,0
ACC_523,Savings,7009.28,Customer_523,0
ACC_524,Savings,30182.42,Customer_524,0
ACC_525,Business,40167.54,Customer_525,0
ACC_526,Savings,55256.02,Customer_526,0
ACC_527,Checking,12768.13,Customer_527,0
ACC_528,Checking,32532.93,Customer_528,0
ACC_529,Business,70984.82,Customer_529,0
ACC_530,Savings,7108.42,Customer_530,0
ACC_531,Business,75122.56,Customer_531,0
ACC_532,Business,59173.75,Customer_532,0
ACC_533,Savings,50973.1,Customer_533,0
ACC_534,Checking,77538.97,Customer_534,0
ACC_535,Savings,37660.1,Customer_535,0
ACC_536,Business,15275.83,Customer_536,0
ACC_537,Business,67944.07,Customer_537,0
ACC_538,Business,88010.07,Customer_538,0
ACC_539,Checking,12544.8,Customer_539,0
ACC_540,Business,78965.79,Customer_540,0
ACC_541,Savings,9124.39,Customer_541,0
ACC_542,Savings,67310.06,Customer_542,0
ACC_543,Business,18888.41,Customer_543,0
ACC_544,Checking,17726.8,Customer_544,0
ACC_545,Checking,17725.24,Customer_545,0
ACC_546,Business,11400.12,Customer_546,0
ACC_547,Checking,92705.79,Customer_547,0
ACC_548,Business,44438.07,Customer_548,0
ACC_549,Checking,66378.7,Customer_549,0
ACC_550,Business,65527.04,Customer_550,0
ACC_551,Business,92687.69,Customer_551,0
ACC_552,Checking,36196.07,Customer_552,0
ACC_553,Savings,6878.31,Customer_553,0
ACC_554,Checking,78245.96,Customer_554,0
ACC_555,Checking,36806.59,Customer_555,0
ACC_556,Business,96607.89,Customer_556,0
ACC_557,Savings,33085.06,Customer_557,0
ACC_558,Business,18274.9,Customer_558,0
ACC_559,Business,47698.56,Customer_559,0
ACC_560,Checking,36237.72,Customer_560,0
ACC_561,Business,30027.69,Customer_561,0
ACC_562,Checking,56843.13,Customer_562,0
ACC_563,Savings,2408.66,Customer_563,0
ACC_564,Savings,15742.17,Customer_564,0
ACC_565,Checking,19026.43,Customer_565,0
ACC_566,Savings,75817.13,Customer_566,0
ACC_567,Checking,17294.41,Customer_567,0
ACC_568,Checking,60409.15,Customer_568,0
ACC_569,Savings,60326.36,Customer_569,0
ACC_570,Business,67587.05,Customer_570,0
ACC_571,Savings,47820.08,Customer_571,0
ACC_572,Business,56393.95,Customer_572,0
ACC_573,Checking,80546.22,Customer_573,0
ACC_574,Savings,74020.54,Customer_574,0
ACC_575,Savings,23365.1,Customer_575,0
ACC_576,Checking,31904.49,Customer_576,0
ACC_577,Checking,5834.67,Customer_577,0
ACC_578,Savings,82548.0,Customer_578,0
ACC_579,Business,3740.5,Customer_579,0
ACC_580,Checking,66093.38,Customer_580,0
ACC_581,Checking,16319.83,Customer_581,0
ACC_582,Savings,65381.61,Customer_582,0
ACC_583,Savings,75154.34,Customer_583,0
ACC_584,Savings,74870.89,Customer_584,0
ACC_585,Savings,95675.74,Customer_585,0
ACC_586,Checking,73339.36,Customer_586,0
ACC_587,Checking,97098.86,Customer_587,0
ACC_588,Checking,92634.62,Customer_588,0
ACC_589,Savings,36870.8,Customer_589,0
ACC_590,Checking,73330.28,Customer_590,0
ACC_591,Checking,11703.09,Customer_591,0
ACC_592,Business,7601.92,Customer_592,0
ACC_593,Savings,57509.78,Customer_593,0
ACC_594,Savings,6710.25,Customer_594,0
ACC_595,Business,70709.28,Customer_595,0
ACC_596,Checking,58300.53,Customer_596,0
ACC_597,Savings,54135.48,Customer_597,0
ACC_598,Checking,71556.36,Customer_598,0
ACC_599,Checking,10675.42,Customer_599,0
ACC_600,Business,17068.08,Customer_600,0
ACC_601,Checking,43019.44,Customer_601,0
ACC_602,Business,9299.94,Customer_602,0
ACC_603,Checking,12004.23,Customer_603,0
ACC_604,Checking,55185.92,Customer_604,0
ACC_605,Savings,19126.88,Customer_605,0
ACC_606,Checking,88870.4,Customer_606,0
ACC_607,Savings,35404.31,Customer_607,0
ACC_608,Savings,68069.64,Customer_608,0
ACC_609,Checking,69154.8,Customer_609,0
ACC_610,Checking,33334.03,Customer_610,0
ACC_611,Checking,51497.96,Customer_611,0
ACC_612,Savings,26346.25,Customer_612,0
ACC_613,Savings,42200.24,Customer_613,0
ACC_614,Savings,45036.92,Customer_614,0
ACC_615,Checking,52025.39,Customer_615,0
