CustomerID,ProductID,ProductCategory,TransactionDate,Revenue,Cost,Region,ShippingType,PaymentMethod,RiskFlag,OnTimeDelivery,Returns,TaxBracket,CampaignID
2806,222,Clothing,2024-01-29 08:29:47.323412,263.85,2087.47,East,Overnight,Bank Transfer,High,True,0,High,2
1189,317,Automotive,2023-10-26 08:29:47.323421,2372.9,731.48,East,Express,Credit Card,Medium,True,0,Medium,38
3734,476,Clothing,2023-12-13 08:29:47.323429,3777.76,273.85,North,Standard,Debit Card,Medium,True,0,Low,32
4005,160,Home & Kitchen,2024-05-16 08:29:47.323436,3960.36,1490.07,South,Standard,Bank Transfer,Low,True,0,Medium,69
5658,199,Home & Kitchen,2024-02-09 08:29:47.323444,2520.0,2039.4,East,Express,PayPal,Medium,False,0,Low,40
2899,406,Electronics,2025-01-19 08:29:47.323452,524.55,3068.76,East,Express,Bank Transfer,Medium,True,0,Medium,41
2267,453,Electronics,2023-12-11 08:29:47.323461,1937.75,2019.18,East,Express,Bank Transfer,High,True,0,High,2
2528,492,Electronics,2023-07-09 08:29:47.323470,4663.9,3136.55,East,Overnight,Bank Transfer,High,False,0,Low,43
4202,303,Electronics,2024-05-25 08:29:47.323478,1186.58,488.27,South,Express,Bank Transfer,Low,True,0,Low,3
4556,357,Clothing,2023-04-19 08:29:47.323487,1632.78,283.93,North,Overnight,PayPal,Medium,False,0,Medium,78
4890,104,Home & Kitchen,2023-07-30 08:29:47.323495,3746.79,660.68,West,Express,Credit Card,Medium,True,0,High,86
1646,296,Clothing,2024-09-30 08:29:47.323503,3681.22,3094.89,North,Overnight,Credit Card,High,True,0,High,71
3888,279,Automotive,2024-11-26 08:29:47.323511,4565.4,3044.54,West,Overnight,Crypto,Low,True,0,Medium,97
3435,441,Automotive,2023-04-13 08:29:47.323519,1971.19,591.23,East,Standard,Crypto,Medium,False,0,Medium,36
1600,232,Automotive,2024-04-03 08:29:47.323527,2597.26,153.02,West,Express,Debit Card,Medium,True,0,High,15
3363,423,Automotive,2024-09-27 08:29:47.323535,2363.59,2750.57,South,Standard,Credit Card,Low,True,0,Medium,82
3061,352,Automotive,2024-03-24 08:29:47.323544,4642.37,3425.47,South,Standard,Bank Transfer,High,True,0,High,97
1241,364,Home & Kitchen,2024-07-23 08:29:47.323552,3858.19,3023.81,East,Overnight,Crypto,High,True,0,Low,72
3041,192,Clothing,2023-11-07 08:29:47.323560,4165.64,835.11,South,Overnight,Bank Transfer,High,True,0,Low,15
3824,249,Automotive,2023-03-08 08:29:47.323568,708.84,2347.56,East,Overnight,Debit Card,Medium,True,0,High,95
3612,237,Electronics,2024-08-24 08:29:47.323576,3969.64,3036.74,West,Overnight,Credit Card,Medium,True,0,Medium,28
2363,307,Home & Kitchen,2024-02-12 08:29:47.323584,2193.24,1045.64,North,Standard,PayPal,High,True,0,Medium,52
2478,224,Electronics,2023-03-28 08:29:47.323593,165.53,2125.05,North,Overnight,Debit Card,High,True,0,Medium,70
3556,333,Home & Kitchen,2024-05-12 08:29:47.323602,347.44,1278.41,West,Standard,PayPal,Medium,True,0,Low,44
1775,160,Home & Kitchen,2023-02-01 08:29:47.323611,3405.64,925.53,North,Standard,Credit Card,High,False,0,Low,36
5014,406,Electronics,2023-12-21 08:29:47.323619,1891.46,3879.27,East,Express,PayPal,Medium,True,1,High,48
1034,365,Electronics,2023-03-09 08:29:47.323627,4347.17,3652.95,West,Express,Credit Card,High,True,0,High,9
4152,233,Automotive,2023-06-07 08:29:47.323635,3684.65,1799.3,East,Overnight,Bank Transfer,High,True,0,Medium,55
2955,417,Electronics,2025-01-13 08:29:47.323645,157.32,573.01,North,Standard,Debit Card,Medium,True,0,Low,39
2585,212,Clothing,2023-05-04 08:29:47.323653,3450.1,2919.79,East,Standard,Bank Transfer,Low,True,0,High,55
4943,488,Home & Kitchen,2024-05-15 08:29:47.323662,1002.14,1045.13,South,Standard,Credit Card,High,False,1,Medium,68
4073,477,Home & Kitchen,2024-02-10 08:29:47.323669,2141.78,699.02,North,Express,Credit Card,Low,True,0,High,58
2021,290,Automotive,2023-09-29 08:29:47.323678,3142.44,1544.67,South,Standard,Bank Transfer,Low,True,0,Low,39
4461,478,Home & Kitchen,2024-06-30 08:29:47.323687,4369.95,2133.5,South,Standard,Bank Transfer,High,True,0,Low,57
3613,286,Electronics,2024-06-05 08:29:47.323696,2307.68,416.84,West,Standard,Bank Transfer,High,True,0,Low,81
4843,418,Home & Kitchen,2024-08-03 08:29:47.323730,4052.03,2299.83,West,Express,Debit Card,Low,True,0,Low,81
2500,466,Home & Kitchen,2023-12-08 08:29:47.323738,3925.68,90.93,East,Overnight,Debit Card,Low,True,0,High,19
5798,188,Electronics,2023-03-18 08:29:47.323746,2101.97,3570.72,East,Overnight,Credit Card,High,True,0,Medium,16
1161,286,Electronics,2024-09-09 08:29:47.323754,2529.85,3685.34,North,Overnight,Crypto,Medium,True,0,Low,85
5297,406,Home & Kitchen,2024-03-19 08:29:47.323762,3517.4,2940.29,East,Express,Bank Transfer,High,True,0,Medium,96
2981,231,Clothing,2024-05-31 08:29:47.323771,204.18,1882.2,East,Express,PayPal,Medium,False,0,Low,27
1995,459,Electronics,2024-06-12 08:29:47.323795,4459.52,1041.94,West,Overnight,PayPal,Low,True,0,High,21
5911,222,Clothing,2023-03-18 08:29:47.323804,3860.59,2984.13,West,Overnight,PayPal,Low,True,0,Low,77
4342,147,Clothing,2023-06-21 08:29:47.323812,1284.61,3729.23,South,Express,Bank Transfer,Low,True,0,High,17
5551,387,Automotive,2024-04-02 08:29:47.323820,4906.84,659.38,East,Overnight,Crypto,High,True,0,Low,22
4798,475,Clothing,2024-03-05 08:29:47.323828,937.98,1879.31,West,Standard,Crypto,Medium,True,0,Low,37
2275,278,Automotive,2023-07-19 08:29:47.323836,4574.73,1281.59,North,Express,Debit Card,High,False,0,High,20
2016,279,Clothing,2024-05-27 08:29:47.323845,1656.14,1446.26,East,Overnight,Crypto,Low,True,0,Medium,64
1337,198,Automotive,2024-04-22 08:29:47.323852,3827.58,1640.86,North,Overnight,PayPal,High,True,0,Medium,49
1878,429,Electronics,2024-04-18 08:29:47.323860,2309.06,3808.63,South,Express,PayPal,Medium,True,0,Low,21
2076,133,Home & Kitchen,2024-12-29 08:29:47.323868,3695.51,1056.79,South,Express,Bank Transfer,High,True,0,Low,45
5887,169,Home & Kitchen,2023-09-18 08:29:47.323876,821.13,1985.92,West,Standard,Debit Card,High,True,0,Medium,11
4993,270,Automotive,2023-04-01 08:29:47.323886,1384.06,3807.41,West,Express,Credit Card,Medium,True,0,High,18
5859,465,Electronics,2023-08-19 08:29:47.323895,544.3,1919.95,South,Express,Debit Card,Medium,False,0,Low,4
1379,371,Automotive,2024-01-15 08:29:47.323903,4332.46,3458.49,North,Standard,Credit Card,Low,True,1,High,40
1492,158,Automotive,2024-11-28 08:29:47.323911,1516.65,263.3,South,Overnight,Debit Card,Medium,True,0,Medium,50
3062,280,Electronics,2024-09-24 08:29:47.323920,3487.66,3813.53,South,Express,Crypto,Low,False,0,Low,59
4884,118,Clothing,2023-08-21 08:29:47.323928,4110.09,774.5,West,Overnight,Debit Card,High,True,0,Medium,2
1064,325,Clothing,2024-08-20 08:29:47.323935,4512.02,3920.34,East,Standard,Bank Transfer,Low,True,0,Medium,69
3568,194,Electronics,2024-05-24 08:29:47.323943,576.17,727.04,West,Express,Credit Card,High,True,0,High,51
3027,468,Automotive,2023-04-22 08:29:47.323951,4470.42,1794.13,West,Standard,Crypto,Medium,True,0,High,98
3695,396,Home & Kitchen,2024-04-10 08:29:47.323960,1026.4,1255.2,North,Overnight,Crypto,Low,True,0,High,71
2495,180,Automotive,2024-08-04 08:29:47.323968,3697.66,1749.93,South,Standard,Debit Card,Low,True,1,High,95
1391,274,Clothing,2024-06-15 08:29:47.323976,3657.8,1024.58,East,Express,Crypto,Low,True,0,Low,94
5514,321,Electronics,2024-01-02 08:29:47.323984,92.09,3862.31,East,Express,PayPal,Medium,True,1,Low,77
5474,202,Electronics,2023-03-10 08:29:47.323992,1142.09,1243.73,West,Overnight,PayPal,High,True,0,Low,97
4561,153,Electronics,2023-12-31 08:29:47.324001,2484.95,2623.5,West,Overnight,PayPal,Low,True,0,High,93
3278,282,Clothing,2024-11-19 08:29:47.324009,2129.17,575.67,South,Overnight,Debit Card,High,False,0,Medium,75
4099,450,Automotive,2024-03-18 08:29:47.324018,4596.94,3302.82,North,Overnight,Credit Card,High,True,0,Low,76
1200,417,Electronics,2023-06-15 08:29:47.324026,1830.72,2183.76,South,Express,Debit Card,High,True,0,High,29
5875,454,Home & Kitchen,2024-01-17 08:29:47.324034,4688.07,3918.4,East,Express,Bank Transfer,Low,True,0,Low,55
4104,448,Electronics,2024-09-16 08:29:47.324043,2324.18,1710.91,North,Express,Crypto,High,False,0,Low,91
5598,420,Automotive,2023-05-20 08:29:47.324051,4823.55,805.93,West,Standard,PayPal,Low,True,0,Low,27
3454,167,Clothing,2024-01-18 08:29:47.324058,3699.91,1403.7,West,Standard,Debit Card,High,True,0,High,13
4645,127,Home & Kitchen,2024-10-03 08:29:47.324067,4155.21,2955.75,East,Overnight,Debit Card,High,True,0,Low,20
1804,373,Home & Kitchen,2023-08-19 08:29:47.324075,569.14,2646.65,South,Overnight,Crypto,Low,True,1,Medium,68
3731,381,Electronics,2023-04-05 08:29:47.324084,2951.4,3120.04,North,Overnight,Debit Card,Low,True,0,Low,75
3773,459,Automotive,2023-08-26 08:29:47.324092,756.37,321.68,South,Express,PayPal,Medium,True,0,High,17
2570,410,Electronics,2023-04-21 08:29:47.324101,1523.22,2334.06,South,Standard,Crypto,Medium,False,0,High,40
3690,218,Home & Kitchen,2024-01-09 08:29:47.324110,3136.65,3730.71,South,Overnight,Credit Card,Medium,True,0,Low,55
4840,479,Electronics,2023-07-06 08:29:47.324118,3644.82,458.37,West,Overnight,PayPal,High,False,0,Low,14
2028,233,Automotive,2023-06-27 08:29:47.324126,243.96,404.51,East,Express,Bank Transfer,Medium,True,0,Medium,14
1502,228,Clothing,2023-07-07 08:29:47.324135,2678.17,2874.92,North,Standard,Bank Transfer,Medium,True,0,Medium,93
5493,107,Home & Kitchen,2023-04-27 08:29:47.324143,2848.3,1281.27,North,Overnight,Crypto,Medium,False,1,Medium,91
1870,150,Automotive,2023-07-07 08:29:47.324152,440.2,2644.56,East,Overnight,PayPal,High,True,0,High,88
5488,440,Electronics,2024-05-06 08:29:47.324160,2528.41,2195.18,North,Overnight,PayPal,Medium,True,0,Low,3
1206,380,Home & Kitchen,2023-08-25 08:29:47.324168,3583.52,3944.68,North,Overnight,PayPal,Low,True,0,Low,5
2484,274,Electronics,2023-08-02 08:29:47.324176,313.48,3559.55,South,Standard,Bank Transfer,High,True,0,Low,53
1863,282,Electronics,2023-10-02 08:29:47.324184,3813.33,2721.95,South,Standard,Crypto,High,True,1,High,77
3790,291,Clothing,2023-11-19 08:29:47.324191,2903.31,1068.85,East,Overnight,Bank Transfer,Low,False,0,Medium,54
1563,348,Electronics,2023-07-17 08:29:47.324199,4174.47,1069.78,North,Express,Debit Card,Medium,True,0,High,5
5191,334,Electronics,2023-07-25 08:29:47.324207,1129.41,3532.51,East,Overnight,Credit Card,Medium,True,0,High,98
2757,182,Automotive,2024-10-11 08:29:47.324214,4174.7,2353.8,East,Express,Bank Transfer,Low,True,0,Low,71
2678,192,Electronics,2024-03-14 08:29:47.324222,518.08,3163.45,East,Overnight,Crypto,Medium,False,1,High,9
4242,472,Clothing,2023-08-22 08:29:47.324230,2048.96,1815.96,East,Overnight,Bank Transfer,Medium,True,0,Medium,34
5636,493,Electronics,2024-08-06 08:29:47.324238,1037.45,439.2,South,Express,Debit Card,Medium,True,0,Low,60
2059,411,Electronics,2023-03-28 08:29:47.324246,4386.3,1350.77,West,Overnight,Debit Card,High,True,1,Low,28
2722,367,Electronics,2023-07-29 08:29:47.324254,3539.35,669.76,East,Standard,Debit Card,Low,True,0,Low,58
4314,219,Home & Kitchen,2023-08-11 08:29:47.324262,175.54,3133.88,North,Express,Debit Card,Medium,True,0,Medium,66
4157,170,Clothing,2023-05-17 08:29:47.324270,97.14,2811.03,West,Standard,Credit Card,Low,True,0,High,28
3625,116,Home & Kitchen,2023-10-15 08:29:47.324279,1491.68,381.0,South,Express,PayPal,High,True,0,Low,45
3729,352,Clothing,2023-07-17 08:29:47.324287,759.25,2496.9,West,Standard,Debit Card,Medium,True,0,High,4
2597,221,Clothing,2024-01-08 08:29:47.324296,3170.01,3500.32,West,Overnight,Credit Card,Low,True,0,Low,88
4060,479,Automotive,2024-10-24 08:29:47.324304,3335.79,2798.54,South,Overnight,Bank Transfer,High,True,0,Medium,66
3693,109,Home & Kitchen,2023-12-16 08:29:47.324313,4712.66,2059.11,East,Express,Debit Card,High,True,0,High,62
5891,386,Clothing,2024-01-21 08:29:47.324321,4762.6,1268.1,West,Standard,Bank Transfer,Low,True,0,High,62
4627,415,Clothing,2024-08-13 08:29:47.324329,3311.54,3551.77,South,Overnight,Bank Transfer,Medium,False,0,High,38
2363,425,Automotive,2024-12-05 08:29:47.324337,78.09,1708.54,South,Standard,Crypto,Medium,True,0,Medium,59
2981,372,Home & Kitchen,2024-03-11 08:29:47.324345,1827.04,3425.91,West,Standard,Credit Card,Low,False,0,Medium,33
2663,405,Electronics,2023-04-13 08:29:47.324353,2590.05,3138.51,South,Express,Credit Card,High,False,0,Medium,53
2529,392,Automotive,2024-05-15 08:29:47.324381,2520.94,3270.42,West,Overnight,Debit Card,Low,True,0,Medium,24
3038,309,Clothing,2023-04-30 08:29:47.324392,3036.54,3959.5,West,Express,Debit Card,Low,False,0,Low,97
4302,317,Home & Kitchen,2023-07-18 08:29:47.324400,4804.73,3002.57,South,Express,Debit Card,High,True,0,High,98
3237,340,Clothing,2024-02-25 08:29:47.324408,4431.7,165.14,South,Overnight,Credit Card,Low,True,0,Medium,81
2306,473,Automotive,2023-12-23 08:29:47.324417,589.09,845.57,South,Standard,Bank Transfer,High,True,0,Low,46
5029,299,Automotive,2023-08-17 08:29:47.324424,1366.6,169.72,West,Express,Bank Transfer,High,True,0,High,84
3675,315,Home & Kitchen,2024-08-09 08:29:47.324429,4173.89,783.96,North,Overnight,Debit Card,Low,True,0,Low,84
2282,304,Automotive,2023-08-11 08:29:47.324434,4130.32,273.91,South,Standard,Bank Transfer,Low,True,0,Medium,87
1709,315,Automotive,2024-08-23 08:29:47.324439,1413.09,2021.42,South,Standard,Debit Card,Low,True,0,Low,44
5744,179,Electronics,2025-01-20 08:29:47.324444,3666.41,141.98,East,Standard,PayPal,Medium,True,0,High,63
5413,366,Clothing,2023-06-16 08:29:47.324449,3376.59,1906.14,South,Express,Bank Transfer,High,True,0,Medium,69
4748,489,Electronics,2024-05-19 08:29:47.324454,2393.94,3598.4,West,Express,Credit Card,High,False,0,Medium,94
5779,478,Electronics,2023-05-24 08:29:47.324459,1047.2,3001.85,South,Overnight,Crypto,High,False,0,Low,21
1663,134,Home & Kitchen,2023-04-19 08:29:47.324464,4448.78,3777.51,East,Standard,Credit Card,High,True,0,High,38
2998,388,Automotive,2023-02-16 08:29:47.324470,3405.36,929.79,North,Standard,Credit Card,High,True,0,Medium,17
4445,117,Clothing,2024-02-21 08:29:47.324475,886.51,2138.41,North,Overnight,Crypto,Medium,False,0,Low,79
4743,264,Clothing,2023-08-13 08:29:47.324480,3538.77,1294.76,South,Standard,Debit Card,High,True,0,High,19
2495,112,Clothing,2024-01-23 08:29:47.324485,3720.1,1990.46,North,Standard,Bank Transfer,Medium,True,0,Medium,27
4304,301,Automotive,2023-11-22 08:29:47.324490,4440.06,2241.59,West,Overnight,Credit Card,Low,True,0,Medium,61
4763,328,Clothing,2024-12-15 08:29:47.324495,1153.05,173.66,North,Overnight,Bank Transfer,Low,True,0,Low,18
2853,445,Clothing,2023-02-01 08:29:47.324500,4944.33,956.03,West,Express,Crypto,Medium,True,0,Low,87
5659,465,Automotive,2024-12-06 08:29:47.324505,809.3,2827.95,North,Express,Crypto,High,True,0,High,52
2291,100,Home & Kitchen,2024-11-13 08:29:47.324511,3023.41,3098.52,North,Express,Bank Transfer,High,True,0,Low,44
4581,418,Clothing,2023-09-27 08:29:47.324515,3303.02,2290.72,West,Overnight,Bank Transfer,High,False,0,Medium,9
4457,316,Automotive,2023-03-31 08:29:47.324520,2123.82,1105.19,West,Express,Crypto,High,True,0,Medium,83
2636,133,Electronics,2024-05-03 08:29:47.324525,2401.44,1638.18,South,Standard,Debit Card,High,True,0,High,39
4696,458,Automotive,2023-04-11 08:29:47.324530,4460.0,411.27,West,Express,Bank Transfer,Medium,False,0,High,47
3999,365,Electronics,2023-07-30 08:29:47.324535,3244.11,3814.12,South,Express,PayPal,Medium,True,1,High,37
4152,227,Automotive,2024-10-11 08:29:47.324540,2510.15,3478.65,East,Express,PayPal,Medium,True,0,Low,2
1698,311,Clothing,2025-01-15 08:29:47.324545,685.33,290.44,West,Overnight,Bank Transfer,Low,False,0,Medium,95
3160,362,Home & Kitchen,2024-11-13 08:29:47.324550,86.32,690.97,South,Standard,Credit Card,Low,True,0,Low,96
5097,411,Home & Kitchen,2023-09-17 08:29:47.324555,668.59,2336.94,South,Overnight,Crypto,Medium,True,0,Medium,81
5737,179,Clothing,2023-06-22 08:29:47.324560,4783.11,952.75,North,Standard,Debit Card,Medium,True,0,High,26
1854,264,Electronics,2023-12-09 08:29:47.324565,3832.23,3739.57,West,Express,PayPal,Low,True,0,Medium,85
4474,351,Automotive,2024-04-30 08:29:47.324570,4837.23,3029.69,North,Express,PayPal,Medium,True,0,Medium,83
2707,111,Clothing,2023-09-24 08:29:47.324575,226.76,1114.97,South,Standard,Credit Card,Low,True,0,High,79
3777,403,Automotive,2024-07-17 08:29:47.324580,3417.09,54.22,West,Overnight,Bank Transfer,Low,True,0,High,61
2733,311,Clothing,2024-01-20 08:29:47.324585,269.25,3203.81,South,Overnight,Credit Card,Medium,False,1,Medium,68
5931,381,Clothing,2024-11-28 08:29:47.324591,3921.18,1713.64,North,Express,Debit Card,Medium,False,0,Low,9
4510,211,Automotive,2024-02-04 08:29:47.324595,1935.7,2580.24,South,Standard,Bank Transfer,Low,True,0,High,54
1202,310,Home & Kitchen,2023-08-05 08:29:47.324600,524.04,1169.29,South,Standard,PayPal,Medium,True,0,High,97
4255,477,Home & Kitchen,2024-10-12 08:29:47.324605,2861.83,597.21,North,Standard,PayPal,High,False,0,Low,58
5218,338,Electronics,2023-03-25 08:29:47.324610,1436.59,2710.99,West,Standard,Crypto,Low,True,0,Low,27
5496,367,Automotive,2024-07-20 08:29:47.324615,3314.89,1817.79,North,Express,Debit Card,Low,True,0,Low,3
1766,397,Electronics,2023-08-30 08:29:47.324620,3307.97,963.62,West,Overnight,PayPal,High,True,0,Low,66
5389,416,Clothing,2023-04-20 08:29:47.324625,3539.79,576.38,West,Express,Credit Card,High,True,0,High,65
3327,157,Electronics,2023-10-29 08:29:47.324630,4962.7,2334.5,East,Standard,PayPal,High,True,0,Low,57
3931,133,Clothing,2024-04-04 08:29:47.324635,1964.15,2910.43,South,Overnight,Credit Card,Medium,True,0,Low,4
1197,362,Automotive,2023-07-12 08:29:47.324640,2353.31,1157.03,West,Express,Credit Card,High,False,0,Low,52
2930,464,Automotive,2023-03-30 08:29:47.324645,4032.83,2948.52,West,Standard,Bank Transfer,High,True,0,Medium,83
4582,134,Automotive,2023-09-22 08:29:47.324650,2912.93,757.0,North,Express,Bank Transfer,Medium,True,1,High,65
1608,370,Automotive,2024-09-03 08:29:47.324655,234.42,1373.51,West,Standard,PayPal,High,True,0,High,15
4272,326,Electronics,2023-10-27 08:29:47.324660,4223.24,2987.18,West,Express,PayPal,Low,True,0,Low,42
2147,124,Clothing,2024-09-13 08:29:47.324665,304.92,2650.77,North,Express,Credit Card,High,True,1,High,65
5282,333,Home & Kitchen,2024-04-13 08:29:47.324670,895.56,1103.98,West,Express,Bank Transfer,High,False,0,Low,56
4397,158,Automotive,2024-03-01 08:29:47.324675,555.3,514.88,South,Standard,PayPal,Medium,True,0,High,86
3511,350,Automotive,2023-03-03 08:29:47.324680,435.74,198.62,South,Overnight,Bank Transfer,Medium,False,0,Low,77
2794,434,Clothing,2024-07-30 08:29:47.324685,177.14,3356.52,North,Overnight,Debit Card,High,True,0,High,76
1659,185,Home & Kitchen,2024-03-29 08:29:47.324690,322.39,328.31,West,Standard,Credit Card,High,True,0,Medium,82
3811,350,Automotive,2024-05-13 08:29:47.324695,2240.07,485.94,South,Overnight,Bank Transfer,Low,True,0,Medium,2
2369,489,Home & Kitchen,2024-03-26 08:29:47.324720,1301.62,973.71,East,Overnight,PayPal,Medium,True,0,Low,45
2986,279,Automotive,2024-02-21 08:29:47.324729,676.36,1799.31,North,Express,Credit Card,Low,True,0,Low,63
1146,306,Electronics,2023-12-03 08:29:47.324738,3310.59,3165.45,North,Express,Crypto,Low,True,0,High,47
4219,443,Electronics,2023-04-14 08:29:47.324748,1169.25,1012.5,South,Standard,Credit Card,High,True,0,Medium,71
3911,248,Home & Kitchen,2023-09-04 08:29:47.324754,143.8,2187.73,North,Standard,Debit Card,High,False,0,Low,83
2734,170,Clothing,2023-08-25 08:29:47.324759,2121.18,388.78,West,Express,Credit Card,High,True,0,High,34
2843,220,Clothing,2024-05-14 08:29:47.324764,1586.64,1874.11,South,Standard,Bank Transfer,Low,True,0,Medium,1
1488,352,Electronics,2024-02-03 08:29:47.324769,1627.09,735.23,East,Standard,Bank Transfer,Low,True,0,Medium,59
3976,192,Clothing,2024-08-14 08:29:47.324774,2254.09,868.43,West,Overnight,PayPal,Medium,True,1,High,98
2959,355,Clothing,2023-04-11 08:29:47.324787,3361.12,1486.31,East,Standard,PayPal,Medium,True,0,High,82
3385,353,Clothing,2024-07-14 08:29:47.324793,3101.57,3052.55,East,Standard,Credit Card,Medium,True,0,High,47
3919,451,Home & Kitchen,2024-01-11 08:29:47.324798,4689.44,2983.63,North,Express,Credit Card,Medium,True,0,Low,5
5736,387,Home & Kitchen,2024-03-24 08:29:47.324803,2612.7,1677.44,East,Standard,Credit Card,Medium,True,0,Medium,78
2802,408,Clothing,2023-06-28 08:29:47.324808,2389.22,501.12,West,Express,Bank Transfer,Medium,True,0,Low,29
5061,158,Electronics,2024-03-24 08:29:47.324813,1106.4,1144.35,South,Standard,Bank Transfer,Low,True,0,High,53
4369,168,Clothing,2023-07-14 08:29:47.324818,3789.14,2036.26,South,Overnight,Crypto,High,True,0,Low,88
1262,487,Automotive,2024-01-01 08:29:47.324822,746.84,3481.56,East,Express,Crypto,Medium,True,0,High,11
1623,185,Electronics,2024-02-14 08:29:47.324828,2481.11,3873.97,East,Standard,Crypto,Low,True,0,Low,91
2016,373,Home & Kitchen,2025-01-02 08:29:47.324832,2135.54,2560.76,South,Standard,PayPal,Low,False,0,Low,22
4643,326,Automotive,2023-05-09 08:29:47.324838,3308.59,1422.23,East,Overnight,Bank Transfer,High,True,0,High,45
5976,180,Clothing,2024-09-19 08:29:47.324843,4592.23,2783.01,West,Standard,Credit Card,Medium,True,1,Low,75
3049,213,Clothing,2024-01-16 08:29:47.324848,4735.65,1364.83,East,Overnight,Credit Card,High,True,0,High,62
4723,283,Electronics,2023-06-08 08:29:47.324853,880.61,2513.13,East,Express,Crypto,High,True,0,Medium,21
5548,379,Electronics,2023-08-21 08:29:47.324858,1346.0,997.75,West,Express,PayPal,High,True,0,Medium,54
4108,421,Clothing,2024-04-18 08:29:47.324863,4067.59,1089.95,South,Standard,PayPal,Medium,False,0,Medium,36
5090,496,Clothing,2024-04-21 08:29:47.324869,2615.48,328.65,South,Express,Crypto,Medium,True,0,Medium,68
3056,417,Electronics,2023-04-22 08:29:47.324874,2292.52,1697.96,East,Overnight,Credit Card,Medium,False,0,Medium,17
4170,153,Automotive,2024-06-17 08:29:47.324879,3567.6,2484.15,South,Overnight,PayPal,Low,True,0,Low,2
2682,498,Home & Kitchen,2023-11-30 08:29:47.324884,3029.53,3161.52,West,Standard,Debit Card,Low,True,1,Medium,20
3255,296,Electronics,2025-01-03 08:29:47.324889,4855.03,3247.08,East,Overnight,Crypto,Low,True,0,Medium,55
2154,486,Automotive,2024-03-04 08:29:47.324894,2940.67,3970.0,East,Overnight,Credit Card,Medium,True,0,Low,11
5499,392,Clothing,2024-10-05 08:29:47.324899,2356.57,378.39,East,Overnight,Debit Card,High,False,0,Medium,98
4191,392,Home & Kitchen,2024-11-02 08:29:47.324904,2736.95,1987.75,North,Standard,Bank Transfer,High,True,0,Medium,66
