OrderID,ItemID,StockLevel,OrderStatus,OrderDate,Warehouse,Price,ReorderLevel,Category,SupplierName,Quantity,CustomerID,PaymentMethod,DispatchDate
10019,,500.0,Shipped,,WH1,466.488,,APPLIANCES,,19.0,,Debit Card,
10020,Item_20,-1.0,Cancelled,2024-10-26 09:21:06.789529,,500.21,Not Required,CLOTHING,Supplier_B,,CUST_3967,PayPal,2025-02-05 09:21:06.829363
10021,,700.0,,2024-06-19 09:21:06.789532,WH1,60.178,,APPLIANCES,Supplier_A,11.0,,Credit Card,
10022,,,Shipped,,WH1,891.001,,CLOTHING,Supplier_B,,CUST_2353,Credit Card,2025-02-06 09:21:06.829368
10023,Item_23,700.0,Pending,2024-04-24 09:21:06.789536,WH2,956.471,18,FURNITURE,Supplier_D,16.0,CUST_1242,Credit Card,
10024,Item_24,500.0,Pending,,WH2,368.485,28,TOYS,Supplier_D,,CUST_2671,Cash,
10025,Item_25,-5.0,Shipped,,,953.917,30,FURNITURE,,,CUST_4023,Credit Card,2025-02-03 09:21:06.829375
10026,,2200.0,Delivered,2024-12-19 09:21:06.789545,WH1,46.715,Not Required,TOYS,,,CUST_4548,Credit Card,2025-02-01 09:21:06.829378
10027,,700.0,Pending,2024-07-02 09:21:06.789547,,919.946,Not Required,APPLIANCES,Supplier_C,,,Debit Card,2025-02-04 09:21:06.829380
10028,Item_28,-1.0,Delivered,,WH3,370.566,,TOYS,Supplier_A,3.0,,Cash,
10029,,12248.0,Delivered,,WH3,845.348,45,ELECTRONICS,Supplier_A,20.0,CUST_3614,PayPal,
10030,,10871.0,Pending,2024-03-23 09:21:06.789555,WH1,58.378,Not Required,TOYS,Supplier_B,-1.0,CUST_2505,Debit Card,2025-02-05 09:21:06.829387
10031,Item_31,-5.0,Cancelled,2024-04-16 09:21:06.789557,WH1,42.502,Not Required,APPLIANCES,Supplier_D,0.0,CUST_1420,Cash,2025-02-03 09:21:06.829390
10032,Item_32,-5.0,,2025-01-15 09:21:06.789560,WH1,135.091,15,APPLIANCES,,,,Debit Card,
10033,Item_33,700.0,Pending,,WH3,211.395,42,APPLIANCES,,19.0,CUST_3322,Cash,2025-01-31 09:21:06.829395
10034,,500.0,Delivered,2024-03-19 09:21:06.789565,WH2,794.355,37,TOYS,Supplier_B,16.0,CUST_4042,Credit Card,
10035,,700.0,Pending,2024-08-16 09:21:06.789568,WH2,335.112,Not Required,APPLIANCES,Supplier_B,-4.0,,Credit Card,2025-01-31 09:21:06.829400
10036,Item_36,5901.0,Delivered,,,845.601,Not Required,APPLIANCES,Supplier_C,,,Debit Card,
10037,,7563.0,,2024-06-25 09:21:06.789573,WH3,102.486,37,CLOTHING,Supplier_C,0.0,,PayPal,
10038,,-5.0,,,WH2,703.346,,FURNITURE,Supplier_A,1.0,,PayPal,
10039,,,,2024-08-14 09:21:06.789578,WH3,853.844,,CLOTHING,Supplier_C,,,Credit Card,2025-02-02 09:21:06.829410
10040,,500.0,Pending,,WH2,725.0,8,FURNITURE,,1.0,CUST_1736,Credit Card,2025-01-31 09:21:06.829412
10041,Item_41,-1.0,Cancelled,2024-10-19 09:21:06.789583,WH1,383.772,Not Required,ELECTRONICS,,-3.0,CUST_4140,Cash,
10042,,-5.0,Shipped,2025-01-15 09:21:06.789587,,851.424,,TOYS,Supplier_D,-1.0,,Cash,
10043,,700.0,Delivered,,WH3,839.542,Not Required,APPLIANCES,Supplier_B,0.0,,Bank Transfer,
10044,Item_44,700.0,Delivered,,WH3,402.354,Not Required,CLOTHING,Supplier_A,,,Bank Transfer,
10045,,,Cancelled,2024-02-25 09:21:06.789594,WH3,197.8,Not Required,FURNITURE,Supplier_A,3.0,,Credit Card,2025-02-05 09:21:06.829424
10046,,-1.0,,,WH3,46.453,,APPLIANCES,Supplier_B,,,Cash,2025-01-31 09:21:06.829427
10047,,,,,WH3,492.408,,FURNITURE,Supplier_A,,,PayPal,
10048,,9927.0,Pending,2024-11-22 09:21:06.789602,WH3,295.986,,TOYS,Supplier_D,,CUST_3950,Bank Transfer,
10049,,-1.0,Pending,,WH2,313.02,10,ELECTRONICS,Supplier_B,,CUST_3442,PayPal,2025-02-05 09:21:06.829434
10050,Item_50,6289.0,Delivered,,WH3,681.574,29,ELECTRONICS,Supplier_B,8.0,,Bank Transfer,2025-02-06 09:21:06.829436
10051,Item_51,700.0,Pending,2024-09-18 09:21:06.789610,,734.228,7,FURNITURE,,,,Bank Transfer,2025-01-31 09:21:06.829439
10052,,700.0,,2024-06-23 09:21:06.789612,WH2,124.396,15,ELECTRONICS,Supplier_A,13.0,CUST_1430,Credit Card,2025-02-05 09:21:06.829441
10053,,700.0,Shipped,,,633.344,,TOYS,Supplier_B,,,Debit Card,2025-02-04 09:21:06.829444
10054,,700.0,Cancelled,,WH1,960.275,,TOYS,Supplier_A,,,PayPal,
10055,,,,2024-03-01 09:21:06.789620,WH1,995.848,12,ELECTRONICS,Supplier_B,,,Bank Transfer,
10056,,,Cancelled,,WH1,669.962,,APPLIANCES,Supplier_B,,CUST_1034,Debit Card,2025-02-01 09:21:06.829451
10057,Item_57,-1.0,Pending,,,917.342,,CLOTHING,Supplier_B,2.0,,PayPal,
10058,Item_58,-5.0,Cancelled,2024-09-17 09:21:06.789628,WH3,897.607,Not Required,CLOTHING,,,CUST_3343,Cash,2025-02-01 09:21:06.829456
10059,,,Cancelled,2024-05-31 09:21:06.789630,WH1,780.43,,TOYS,Supplier_C,,,Debit Card,
10060,Item_60,11945.0,Pending,,WH3,892.71,Not Required,FURNITURE,Supplier_B,-1.0,CUST_3472,Debit Card,2025-02-05 09:21:06.829461
10061,Item_61,7987.0,Cancelled,,WH2,797.154,,CLOTHING,Supplier_D,,CUST_2429,PayPal,
10062,Item_62,,,2024-05-08 09:21:06.789639,WH1,303.144,45,CLOTHING,Supplier_C,,CUST_1199,Cash,2025-02-04 09:21:06.829466
10063,Item_63,500.0,,2024-07-16 09:21:06.789642,WH3,771.453,,TOYS,,,CUST_1854,PayPal,2025-01-31 09:21:06.829468
10064,Item_64,-1.0,Pending,,WH2,55.61,,CLOTHING,Supplier_D,,,Bank Transfer,
10065,,700.0,Cancelled,,WH2,64.509,17,CLOTHING,Supplier_D,1.0,,Debit Card,
10066,,,Cancelled,,WH2,857.029,Not Required,APPLIANCES,Supplier_D,,CUST_2032,Debit Card,2025-02-04 09:21:06.829476
10067,,10993.0,,,,657.138,,TOYS,,,CUST_4913,Debit Card,
10068,Item_68,700.0,,,WH1,328.206,,TOYS,Supplier_D,0.0,CUST_3217,Bank Transfer,2025-01-31 09:21:06.829481
10069,Item_69,-5.0,,,WH2,266.282,21,TOYS,,9.0,CUST_3025,Debit Card,
10070,,-1.0,Cancelled,,,471.287,44,CLOTHING,Supplier_A,19.0,,Bank Transfer,
10071,,10607.0,Cancelled,,,304.689,Not Required,CLOTHING,Supplier_D,-5.0,,PayPal,2025-01-31 09:21:06.829488
10072,Item_72,,Pending,,WH1,415.264,14,CLOTHING,Supplier_D,,,Cash,
10073,,4479.0,Pending,2024-02-04 09:21:06.789669,,666.295,29,ELECTRONICS,Supplier_D,0.0,,Bank Transfer,
10074,,700.0,Pending,,,256.651,45,APPLIANCES,,18.0,,Credit Card,
10075,,,,,WH2,251.767,Not Required,CLOTHING,Supplier_A,,CUST_2473,Cash,2025-02-03 09:21:06.829498
10076,,-5.0,Delivered,2024-08-02 09:21:06.789676,WH2,357.269,,FURNITURE,Supplier_A,,CUST_1066,Cash,
10077,,,Cancelled,2024-02-28 09:21:06.789679,,36.746,,FURNITURE,,,CUST_1056,Bank Transfer,
10078,Item_78,500.0,Shipped,2024-12-16 09:21:06.789682,WH2,728.581,,APPLIANCES,Supplier_A,1.0,,Debit Card,2025-02-01 09:21:06.829506
10079,,,,,WH2,376.208,Not Required,FURNITURE,Supplier_B,-4.0,CUST_4953,Debit Card,
10080,Item_80,1487.0,Shipped,2024-06-23 09:21:06.789688,WH1,657.026,,ELECTRONICS,Supplier_D,,CUST_4976,Credit Card,
10081,,,Cancelled,2024-11-05 09:21:06.789690,WH3,848.82,,ELECTRONICS,,13.0,,Cash,2025-02-04 09:21:06.829514
10082,Item_82,,Delivered,2024-07-21 09:21:06.789693,WH2,923.915,Not Required,APPLIANCES,Supplier_D,,,Bank Transfer,
10083,Item_83,,Cancelled,,WH2,87.66,14,TOYS,,2.0,CUST_1543,Credit Card,2025-02-06 09:21:06.829519
10084,,,Cancelled,2024-10-24 09:21:06.789713,WH1,202.532,2,ELECTRONICS,Supplier_A,,,Bank Transfer,2025-02-04 09:21:06.829521
10085,,-1.0,Shipped,2024-02-13 09:21:06.789716,WH2,769.844,Not Required,CLOTHING,,,CUST_2225,Credit Card,2025-02-03 09:21:06.829524
10086,Item_86,-1.0,Delivered,2024-02-26 09:21:06.789718,WH3,864.917,,ELECTRONICS,Supplier_D,20.0,,Cash,
10087,,500.0,Shipped,2024-07-27 09:21:06.789721,WH2,7.988,31,TOYS,Supplier_C,,,Bank Transfer,2025-02-06 09:21:06.829528
10088,Item_88,700.0,Shipped,,WH3,347.612,,APPLIANCES,Supplier_B,,,Bank Transfer,
10089,Item_89,700.0,Delivered,,WH3,863.33,Not Required,APPLIANCES,Supplier_C,11.0,,Bank Transfer,
10090,Item_90,-5.0,,2025-01-13 09:21:06.789729,WH1,668.723,31,TOYS,,14.0,CUST_2658,PayPal,2025-02-04 09:21:06.829536
10091,Item_91,-5.0,Pending,2024-12-27 09:21:06.789732,,332.84,33,APPLIANCES,Supplier_C,,,PayPal,2025-02-06 09:21:06.829538
10092,,-5.0,Cancelled,,WH3,88.151,Not Required,ELECTRONICS,,4.0,,Bank Transfer,
10093,,-1.0,Delivered,,WH2,523.894,Not Required,CLOTHING,Supplier_C,,,Credit Card,
10094,,,Pending,2024-05-03 09:21:06.789739,,120.8,,APPLIANCES,Supplier_D,,,Credit Card,
10095,Item_95,,Delivered,,WH3,842.828,17,CLOTHING,Supplier_C,,,PayPal,
10096,,,Pending,,WH3,786.765,,TOYS,Supplier_A,12.0,CUST_2650,Debit Card,
10097,Item_97,-1.0,,2024-05-03 09:21:06.789748,WH3,210.149,,FURNITURE,Supplier_D,,CUST_4478,Debit Card,
10098,Item_98,6879.0,Delivered,,WH2,884.751,38,APPLIANCES,Supplier_D,9.0,,Bank Transfer,
10099,Item_99,500.0,Shipped,,,271.787,Not Required,CLOTHING,Supplier_C,,,Cash,
10100,,5532.0,,,WH3,569.115,,CLOTHING,Supplier_D,,CUST_3091,Bank Transfer,2025-02-05 09:21:06.829560
10101,Item_101,500.0,Delivered,2024-10-09 09:21:06.789759,WH1,666.622,Not Required,FURNITURE,Supplier_D,-5.0,,Cash,2025-02-01 09:21:06.829563
10102,Item_102,,Delivered,2024-10-03 09:21:06.789762,WH3,867.037,40,ELECTRONICS,Supplier_D,,CUST_4755,Credit Card,
10103,,500.0,Shipped,2024-04-04 09:21:06.789764,WH2,318.31,21,ELECTRONICS,Supplier_D,7.0,,Bank Transfer,
10104,Item_104,,Pending,,WH3,472.407,41,ELECTRONICS,Supplier_A,14.0,CUST_1189,Cash,2025-01-31 09:21:06.829570
10105,Item_105,-5.0,Cancelled,,,390.187,28,CLOTHING,Supplier_A,18.0,CUST_4482,PayPal,2025-02-04 09:21:06.829572
10106,,10470.0,Cancelled,,,210.172,22,FURNITURE,,,CUST_1086,PayPal,2025-02-04 09:21:06.829575
10107,,500.0,Delivered,2024-03-29 09:21:06.789775,,623.94,23,ELECTRONICS,Supplier_B,,CUST_1515,Credit Card,2025-02-02 09:21:06.829577
10108,Item_108,-1.0,,2024-09-23 09:21:06.789779,WH1,559.895,27,CLOTHING,Supplier_C,,CUST_1596,Debit Card,2025-02-04 09:21:06.829580
10109,Item_109,700.0,Cancelled,,WH2,724.447,,APPLIANCES,Supplier_B,1.0,,Bank Transfer,
10110,,700.0,Pending,2024-03-14 09:21:06.789785,,432.7,Not Required,FURNITURE,Supplier_D,4.0,CUST_2265,Cash,
10111,Item_111,-1.0,Cancelled,2024-06-02 09:21:06.789788,WH1,771.454,Not Required,FURNITURE,Supplier_D,,,Credit Card,
10112,Item_112,-5.0,Cancelled,2024-02-26 09:21:06.789790,,12.451,41,CLOTHING,,6.0,,Bank Transfer,2025-02-01 09:21:06.829590
10113,Item_113,500.0,Cancelled,2024-09-29 09:21:06.789793,WH2,478.691,26,CLOTHING,Supplier_A,,,PayPal,
10114,Item_114,-1.0,Cancelled,2024-02-03 09:21:06.789801,WH3,180.073,,FURNITURE,Supplier_C,,,Debit Card,2025-02-01 09:21:06.829595
10115,,-5.0,Shipped,2024-05-17 09:21:06.789804,,95.772,24,TOYS,Supplier_A,5.0,CUST_3102,Cash,
10116,Item_116,-1.0,Shipped,2024-06-04 09:21:06.789806,,507.159,Not Required,FURNITURE,,-1.0,,Debit Card,
10117,,12649.0,Cancelled,,WH3,186.534,,CLOTHING,,8.0,,Debit Card,2025-02-04 09:21:06.829602
10118,,-1.0,Cancelled,,,706.489,,FURNITURE,Supplier_D,15.0,,Credit Card,
10119,,,,,,593.992,,CLOTHING,Supplier_D,,,Credit Card,
10120,,500.0,Cancelled,2024-05-01 09:21:06.789817,WH3,462.903,,CLOTHING,Supplier_B,,,Credit Card,2025-02-05 09:21:06.829610
10121,,,Pending,,,583.935,11,FURNITURE,Supplier_A,6.0,,Bank Transfer,
10122,,-1.0,,,WH2,143.02,Not Required,FURNITURE,,-2.0,CUST_2329,Credit Card,
10123,,4744.0,Delivered,,WH1,333.298,Not Required,ELECTRONICS,Supplier_C,15.0,,PayPal,
10124,Item_124,-5.0,Shipped,,,155.593,,TOYS,Supplier_C,10.0,CUST_3589,Cash,
10125,,700.0,Cancelled,,WH3,40.713,26,ELECTRONICS,Supplier_B,,CUST_1507,Cash,2025-02-05 09:21:06.829622
10126,,-5.0,Shipped,,WH2,602.974,Not Required,FURNITURE,Supplier_A,14.0,CUST_4584,PayPal,
10127,Item_127,-5.0,Pending,2024-10-19 09:21:06.789835,WH3,425.985,Not Required,APPLIANCES,Supplier_C,,CUST_1565,PayPal,
10128,,-5.0,Pending,,,725.256,34,FURNITURE,Supplier_C,,,Cash,2025-02-05 09:21:06.829629
10129,Item_129,-1.0,Pending,2024-11-24 09:21:06.789840,WH3,937.206,25,ELECTRONICS,Supplier_B,,CUST_4113,Cash,2025-02-02 09:21:06.829632
10130,,700.0,Pending,,WH1,624.06,Not Required,CLOTHING,Supplier_B,,CUST_2126,Credit Card,2025-02-01 09:21:06.829634
10131,Item_131,-1.0,Shipped,2024-04-26 09:21:06.789845,WH2,386.472,50,FURNITURE,Supplier_B,13.0,CUST_2383,PayPal,
10132,,2273.0,Delivered,,WH2,281.253,2,FURNITURE,Supplier_A,,CUST_3719,PayPal,
10133,,-1.0,Shipped,2024-11-30 09:21:06.789851,WH2,658.813,,ELECTRONICS,,,CUST_1237,PayPal,2025-02-02 09:21:06.829642
10134,,4479.0,Pending,,,930.983,19,FURNITURE,,,CUST_3583,Credit Card,2025-02-04 09:21:06.829644
10135,,700.0,Cancelled,,WH3,594.084,Not Required,ELECTRONICS,,,CUST_2380,PayPal,2025-02-05 09:21:06.829646
10136,,-1.0,Cancelled,,,749.191,31,APPLIANCES,Supplier_C,0.0,,Cash,2025-02-04 09:21:06.829649
10137,Item_137,500.0,Cancelled,,,625.597,Not Required,APPLIANCES,Supplier_C,10.0,CUST_4860,Cash,2025-02-04 09:21:06.829651
10138,Item_138,,Cancelled,2025-01-17 09:21:06.789863,WH2,197.717,Not Required,APPLIANCES,Supplier_D,20.0,,PayPal,2025-02-02 09:21:06.829654
10139,Item_139,500.0,Delivered,2024-03-26 09:21:06.789866,WH3,832.465,13,FURNITURE,Supplier_C,,CUST_2072,Credit Card,
10140,,11740.0,Cancelled,,WH3,204.888,30,FURNITURE,Supplier_B,0.0,CUST_4442,Cash,
10141,Item_141,9331.0,,2024-12-14 09:21:06.789871,,630.379,,ELECTRONICS,Supplier_B,-3.0,CUST_3126,Credit Card,2025-02-06 09:21:06.829661
10142,,500.0,,,,109.886,,ELECTRONICS,Supplier_D,,,PayPal,2025-02-04 09:21:06.829664
10143,Item_143,500.0,Delivered,,,266.068,,CLOTHING,,,CUST_4680,Cash,2025-02-06 09:21:06.829666
10144,,-5.0,Shipped,2024-07-17 09:21:06.789879,WH2,709.74,,ELECTRONICS,Supplier_A,6.0,CUST_4719,Cash,
10145,,,Shipped,2024-09-04 09:21:06.789881,WH2,504.279,Not Required,CLOTHING,Supplier_D,,,PayPal,
10146,,500.0,Delivered,2024-12-22 09:21:06.789883,,95.495,Not Required,TOYS,Supplier_A,-1.0,CUST_3755,Credit Card,
10147,,1128.0,Pending,,,165.465,,TOYS,Supplier_D,-3.0,,Bank Transfer,2025-02-05 09:21:06.829675
10148,Item_148,-5.0,Delivered,,WH1,262.13,Not Required,TOYS,,,CUST_3215,Bank Transfer,2025-02-03 09:21:06.829678
10149,Item_149,6686.0,Delivered,2024-06-19 09:21:06.789891,WH2,428.928,Not Required,TOYS,,16.0,,Credit Card,2025-02-02 09:21:06.829681
10150,,500.0,Shipped,2024-08-06 09:21:06.789894,,193.941,39,CLOTHING,Supplier_A,,CUST_2180,Debit Card,2025-01-31 09:21:06.829683
10151,Item_151,-5.0,Pending,2024-03-09 09:21:06.789896,WH3,483.979,,ELECTRONICS,,7.0,CUST_2964,Debit Card,
10152,Item_152,-5.0,,2024-12-07 09:21:06.789899,WH2,530.278,21,FURNITURE,Supplier_C,,,Debit Card,2025-01-31 09:21:06.829688
10153,Item_153,700.0,Delivered,2024-03-02 09:21:06.789901,WH1,764.798,Not Required,APPLIANCES,Supplier_B,,CUST_1086,Credit Card,
10154,Item_154,700.0,Pending,,WH2,487.977,,ELECTRONICS,Supplier_C,,,Bank Transfer,2025-02-05 09:21:06.829693
10155,Item_155,700.0,Pending,2024-05-26 09:21:06.789907,WH3,736.247,50,FURNITURE,Supplier_B,,,Debit Card,
10156,,700.0,Cancelled,2024-12-17 09:21:06.789909,WH2,773.483,42,FURNITURE,,,CUST_2655,Debit Card,
10157,Item_157,,Shipped,2024-12-08 09:21:06.789912,WH3,474.773,Not Required,TOYS,Supplier_C,6.0,CUST_3785,Debit Card,
10158,,700.0,Pending,,WH3,559.963,Not Required,ELECTRONICS,,,CUST_4394,Cash,
10159,Item_159,,Delivered,,WH3,966.092,35,ELECTRONICS,,1.0,CUST_2929,Cash,
10160,Item_160,,,,WH1,249.077,44,FURNITURE,,,,Debit Card,2025-02-06 09:21:06.829715
10161,Item_161,,Cancelled,2024-04-01 09:21:06.789922,WH1,101.572,,CLOTHING,Supplier_D,,CUST_2734,Debit Card,2025-02-06 09:21:06.829718
10162,Item_162,-5.0,Pending,2024-11-16 09:21:06.789925,WH2,206.088,Not Required,FURNITURE,Supplier_C,15.0,,Cash,2025-02-03 09:21:06.829720
10163,,,,,,773.599,Not Required,TOYS,Supplier_B,,CUST_2890,Cash,
10164,Item_164,,Cancelled,,WH3,496.869,Not Required,APPLIANCES,,9.0,,Debit Card,2025-01-31 09:21:06.829726
10165,,500.0,Cancelled,2024-07-14 09:21:06.789932,WH2,771.784,,ELECTRONICS,Supplier_B,-1.0,CUST_2661,Debit Card,2025-02-02 09:21:06.829728
10166,Item_166,-1.0,Cancelled,2024-07-09 09:21:06.789935,WH3,533.558,Not Required,TOYS,Supplier_D,,,Cash,
10167,Item_167,700.0,Cancelled,2024-05-22 09:21:06.789937,WH1,789.413,Not Required,ELECTRONICS,Supplier_D,,CUST_3014,PayPal,
10168,,,Cancelled,,WH1,97.043,Not Required,ELECTRONICS,Supplier_D,5.0,,Credit Card,
10169,,-1.0,,2024-05-16 09:21:06.789942,WH2,632.462,48,CLOTHING,Supplier_C,-2.0,CUST_4867,Credit Card,2025-02-03 09:21:06.829738
10170,Item_170,700.0,Shipped,,,437.022,6,ELECTRONICS,,,,Bank Transfer,2025-02-01 09:21:06.829740
10171,Item_171,500.0,Pending,2024-06-26 09:21:06.789948,WH1,987.27,,ELECTRONICS,Supplier_B,3.0,,Debit Card,2025-02-06 09:21:06.829743
10172,,,Shipped,2024-07-27 09:21:06.789950,WH3,985.914,26,CLOTHING,,,CUST_4969,Cash,
10173,Item_173,700.0,,,,158.838,,CLOTHING,,0.0,CUST_3628,PayPal,
10174,,500.0,Shipped,,WH2,516.195,Not Required,APPLIANCES,Supplier_A,7.0,,Credit Card,2025-02-04 09:21:06.829750
10175,Item_175,700.0,Shipped,2024-07-16 09:21:06.789958,WH2,317.061,,APPLIANCES,Supplier_A,8.0,CUST_2738,Credit Card,2025-02-03 09:21:06.829753
10176,Item_176,,Cancelled,,WH2,916.65,Not Required,TOYS,Supplier_B,,,PayPal,
10177,Item_177,,Pending,2024-07-11 09:21:06.789963,WH2,660.984,Not Required,ELECTRONICS,Supplier_C,7.0,CUST_1430,Credit Card,
10178,Item_178,,Delivered,2024-06-12 09:21:06.789966,WH3,434.343,,CLOTHING,,13.0,,Credit Card,
10179,Item_179,700.0,Shipped,2024-08-01 09:21:06.789968,WH1,599.648,29,ELECTRONICS,Supplier_A,15.0,CUST_1029,Debit Card,2025-02-05 09:21:06.829762
10180,Item_180,12897.0,Pending,2024-05-03 09:21:06.789971,WH3,684.092,,TOYS,Supplier_D,,,Bank Transfer,
10181,,700.0,,2024-11-08 09:21:06.789973,WH3,895.974,30,ELECTRONICS,,,,Credit Card,2025-02-02 09:21:06.829767
10182,Item_182,700.0,Pending,,WH1,930.278,,FURNITURE,Supplier_D,3.0,CUST_4901,Cash,
10183,Item_183,,,,WH2,87.234,Not Required,ELECTRONICS,Supplier_C,,CUST_3447,Cash,
10184,Item_184,700.0,Delivered,,WH2,112.664,50,ELECTRONICS,Supplier_C,,,PayPal,2025-02-04 09:21:06.829774
10185,,500.0,,,WH1,576.378,36,TOYS,Supplier_A,,CUST_4083,Bank Transfer,2025-01-31 09:21:06.829777
10186,Item_186,-1.0,Cancelled,2024-04-02 09:21:06.789986,WH1,579.399,21,CLOTHING,Supplier_A,16.0,CUST_2113,Cash,
10187,Item_187,500.0,Shipped,2024-10-02 09:21:06.789988,WH2,638.206,Not Required,TOYS,,12.0,CUST_3300,PayPal,2025-02-02 09:21:06.829784
10188,,-5.0,Cancelled,2024-05-01 09:21:06.789991,,735.474,Not Required,ELECTRONICS,,18.0,CUST_3313,PayPal,2025-01-31 09:21:06.829787
10189,,-5.0,Delivered,,WH1,91.262,Not Required,APPLIANCES,Supplier_B,0.0,CUST_3601,Debit Card,
10190,Item_190,-1.0,Shipped,,WH3,344.186,Not Required,ELECTRONICS,Supplier_D,,,Bank Transfer,2025-02-03 09:21:06.829792
10191,Item_191,500.0,Delivered,2024-05-22 09:21:06.789999,WH2,983.389,,TOYS,Supplier_C,10.0,CUST_1164,PayPal,
10192,Item_192,5453.0,Shipped,2024-07-14 09:21:06.790001,,674.942,2,TOYS,Supplier_D,16.0,,Debit Card,2025-02-01 09:21:06.829802
10193,,,Delivered,2024-12-17 09:21:06.790004,WH3,824.929,Not Required,ELECTRONICS,Supplier_D,,CUST_1867,Cash,2025-02-02 09:21:06.829804
10194,Item_194,500.0,Cancelled,,WH2,994.67,Not Required,TOYS,Supplier_D,8.0,CUST_2003,Debit Card,
10195,,700.0,Shipped,,,934.262,Not Required,APPLIANCES,Supplier_C,7.0,CUST_3624,Cash,
10196,Item_196,700.0,Delivered,,,513.8,,TOYS,Supplier_A,,,Bank Transfer,
10197,,,Pending,2024-07-03 09:21:06.790014,WH2,567.486,,APPLIANCES,Supplier_D,9.0,CUST_4451,Credit Card,2025-02-02 09:21:06.829814
10198,,,Cancelled,,WH3,601.338,45,ELECTRONICS,Supplier_D,,,Credit Card,
10199,Item_199,700.0,Delivered,,WH3,622.479,9,APPLIANCES,Supplier_B,,CUST_4378,Debit Card,2025-02-03 09:21:06.829818
10200,,700.0,Pending,,WH1,623.014,,FURNITURE,Supplier_C,13.0,,Credit Card,2025-02-06 09:21:06.829821
10201,Item_201,500.0,Delivered,2024-08-06 09:21:06.790025,WH2,65.944,27,FURNITURE,Supplier_A,,,Bank Transfer,2025-02-02 09:21:06.829823
10202,,-5.0,Delivered,,WH2,775.34,14,ELECTRONICS,Supplier_B,3.0,CUST_4903,PayPal,2025-02-01 09:21:06.829826
10203,,500.0,Pending,2024-10-17 09:21:06.790030,,7.302,2,TOYS,Supplier_A,-5.0,,PayPal,
10204,,,Pending,2024-05-15 09:21:06.790033,,190.552,,ELECTRONICS,,9.0,CUST_1615,Debit Card,2025-02-02 09:21:06.829831
10205,Item_205,-1.0,,,,257.738,Not Required,TOYS,Supplier_B,,CUST_3421,Bank Transfer,
10206,Item_206,13945.0,,,WH2,404.073,8,ELECTRONICS,Supplier_A,,,Cash,2025-02-05 09:21:06.829836
10207,Item_207,-5.0,Cancelled,,WH2,180.888,,APPLIANCES,Supplier_B,13.0,CUST_2134,Credit Card,2025-02-06 09:21:06.829838
10208,Item_208,500.0,Delivered,2024-10-21 09:21:06.790043,WH3,224.535,44,TOYS,Supplier_B,,CUST_2263,Cash,
10209,Item_209,-5.0,Cancelled,,WH3,470.708,Not Required,FURNITURE,Supplier_D,15.0,CUST_2082,Credit Card,
