transaction_id,customer_id,transaction_amount,transaction_date,status
TRANS00070,CUST0261,7510.84,2024-10-02 21:27:52.749587,successful
TRANS00071,CUST0767,777.93,2025-01-28 00:48:18.749587,successful
TRANS00072,CUST0454,4734.63,2024-11-28 13:52:31.749587,successful
TRANS00073,CUST0575,5434.86,2024-12-12 11:01:37.749587,successful
TRANS00074,CUST0460,6253.61,2024-07-06 19:43:36.749587,failed
TRANS00075,CUST0810,779.21,2024-11-22 18:21:41.749587,failed
TRANS00076,CUST0125,8728.12,2024-05-03 21:41:48.749587,successful
TRANS00077,CUST0351,6749.68,2024-12-06 16:04:27.749587,successful
TRANS00078,CUST0059,6005.97,2024-06-23 11:34:55.749587,successful
TRANS00079,CUST0239,5707.48,2025-01-07 10:38:31.749587,successful
TRANS00080,CUST0345,9231.59,2024-08-26 09:31:23.749587,successful
TRANS00081,CUST0059,8580.88,2024-07-03 22:10:00.749587,successful
TRANS00082,CUST0612,2167.49,2024-05-29 18:05:19.749587,successful
TRANS00083,CUST0670,1022.25,2024-05-01 20:10:40.749587,successful
TRANS00084,CUST0670,3644.1,2024-09-04 07:20:16.749587,successful
TRANS00085,CUST0842,3241.7,2024-05-30 19:43:11.749587,fraudulent
TRANS00086,CUST0075,8139.73,2024-03-22 21:14:42.749587,successful
TRANS00087,CUST0177,7849.42,2024-10-07 17:50:38.749587,successful
TRANS00088,CUST0627,7115.25,2024-07-04 03:06:39.749587,successful
TRANS00089,CUST0842,7241.0,2024-03-25 13:35:47.749587,successful
TRANS00090,CUST0421,2490.17,2024-02-19 15:08:32.749587,successful
TRANS00091,CUST0158,2668.03,2024-12-14 08:56:17.749587,successful
TRANS00092,CUST0466,7111.65,2024-11-07 17:54:09.749587,fraudulent
TRANS00093,CUST0750,2670.91,2024-11-06 01:22:35.749587,successful
TRANS00094,CUST0328,6809.01,2024-07-18 10:08:23.749587,successful
TRANS00095,CUST0775,5745.67,2024-11-04 14:05:01.749587,successful
TRANS00096,CUST0878,7509.14,2024-06-10 20:32:35.749587,failed
TRANS00097,CUST0408,2617.43,2024-08-21 16:01:30.749587,successful
TRANS00098,CUST0366,7414.57,2025-02-05 21:23:27.749587,successful
TRANS00099,CUST0596,1118.93,2024-09-17 17:54:06.749587,successful
TRANS00100,CUST0461,8574.34,2024-11-18 01:57:22.749587,successful
TRANS00101,CUST0468,9694.71,2024-11-11 02:51:53.749587,successful
TRANS00102,CUST0617,1654.32,2024-02-15 21:34:49.749587,successful
TRANS00103,CUST0587,1426.22,2024-10-31 12:31:49.749587,successful
TRANS00104,CUST0767,740.89,2024-06-21 17:23:12.749587,successful
TRANS00105,CUST0407,7543.03,2024-09-06 12:10:24.749587,successful
TRANS00106,CUST0924,7159.98,2024-08-10 17:54:32.749587,failed
TRANS00107,CUST0958,5401.7,2024-12-30 06:33:50.749587,successful
TRANS00108,CUST0325,8292.86,2024-05-03 19:01:56.749587,successful
TRANS00109,CUST0571,4683.55,2024-09-26 10:41:24.749587,failed
TRANS00110,CUST0528,4359.74,2024-06-07 02:33:45.749587,successful
TRANS00111,CUST0903,4068.77,2024-11-12 09:46:00.749587,successful
TRANS00112,CUST0882,5419.25,2024-10-06 09:59:19.749587,successful
TRANS00113,CUST0773,2983.28,2024-11-25 06:17:58.749587,successful
TRANS00114,CUST0713,4458.86,2024-11-13 05:07:36.749587,failed
TRANS00115,CUST0624,8982.4,2024-05-14 05:41:32.749587,successful
TRANS00116,CUST0672,1694.41,2024-07-21 12:13:57.749587,successful
TRANS00117,CUST0738,5357.19,2024-12-09 00:00:49.749587,successful
TRANS00118,CUST0643,7667.28,2024-12-03 07:01:36.749587,successful
TRANS00119,CUST0791,8495.15,2024-04-30 00:18:16.749587,successful
TRANS00120,CUST0088,8644.16,2024-11-13 03:43:58.749587,successful
TRANS00121,CUST0291,9875.12,2025-01-03 12:35:13.749587,successful
TRANS00122,CUST0721,2146.37,2024-04-12 10:57:35.749587,successful
TRANS00123,CUST0192,2798.6,2025-02-01 00:55:11.749587,successful
TRANS00124,CUST0985,2481.64,2024-10-29 03:47:37.749587,successful
TRANS00125,CUST0599,9906.65,2024-06-21 01:31:59.749587,successful
TRANS00126,CUST0496,7485.03,2024-07-24 11:14:04.749587,successful
TRANS00127,CUST0920,5748.26,2024-04-11 05:08:15.749587,successful
TRANS00128,CUST0229,7026.41,2024-12-15 13:01:32.749587,successful
TRANS00129,CUST0489,9775.82,2024-03-13 13:37:39.749587,successful
TRANS00130,CUST0425,2802.49,2024-03-21 13:26:41.749587,successful
TRANS00131,CUST0065,5958.85,2024-08-25 19:41:35.749587,successful
TRANS00132,CUST0698,5748.02,2024-06-25 21:33:54.749587,successful
TRANS00133,CUST0209,1959.66,2024-05-19 07:30:13.749587,successful
TRANS00134,CUST0114,5065.24,2024-09-02 13:01:05.749587,successful
TRANS00135,CUST0787,4928.15,2024-05-21 15:07:57.749587,successful
TRANS00136,CUST0472,9928.39,2025-01-11 17:04:38.749587,successful
TRANS00137,CUST0088,4856.09,2024-03-17 06:32:24.749587,failed
TRANS00138,CUST0986,6466.22,2024-06-05 08:54:14.749587,successful
TRANS00139,CUST0530,9621.37,2024-10-10 14:41:48.749587,successful
TRANS00140,CUST0252,554.56,2024-09-20 21:57:24.749587,successful
TRANS00141,CUST0262,4762.2,2024-06-30 09:02:33.749587,successful
TRANS00142,CUST0015,1432.22,2024-06-30 13:36:48.749587,failed
TRANS00143,CUST0906,3066.28,2024-07-23 22:01:21.749587,failed
TRANS00144,CUST0657,4741.02,2024-02-22 07:06:01.749587,successful
TRANS00145,CUST0300,9862.79,2024-10-22 06:45:29.749587,successful
TRANS00146,CUST0714,4467.44,2024-04-28 00:44:56.749587,successful
TRANS00147,CUST0339,3648.13,2024-10-23 14:21:55.749587,successful
TRANS00148,CUST0820,3589.51,2024-04-14 14:12:13.749587,successful
TRANS00149,CUST0107,6283.39,2024-06-22 16:53:54.749587,successful
TRANS00150,CUST0084,4765.63,2024-12-18 15:10:23.749587,successful
TRANS00151,CUST0160,5617.58,2024-09-07 14:12:26.749587,failed
TRANS00152,CUST0171,7102.01,2024-03-15 04:15:59.749587,successful
TRANS00153,CUST0016,7071.34,2024-03-25 01:21:26.749587,successful
TRANS00154,CUST0188,5293.25,2025-01-12 00:08:05.749587,successful
TRANS00155,CUST0443,4856.32,2024-09-06 18:15:23.749587,successful
TRANS00156,CUST0691,970.32,2024-10-22 14:49:17.749587,failed
TRANS00157,CUST0149,4841.59,2024-04-22 02:24:41.749587,failed
TRANS00158,CUST0541,8271.68,2024-10-31 01:23:44.749587,successful
TRANS00159,CUST0907,6240.74,2024-05-30 08:57:31.749587,successful
TRANS00160,CUST0808,1238.58,2024-04-01 17:33:12.749587,successful
TRANS00161,CUST0145,7472.82,2025-01-03 09:28:12.749587,fraudulent
TRANS00162,CUST0025,5739.92,2024-11-06 09:27:41.749587,successful
TRANS00163,CUST0687,9610.43,2024-03-09 11:54:12.749587,successful
TRANS00164,CUST0223,5565.91,2024-07-08 21:11:57.749587,successful
TRANS00165,CUST0404,7738.4,2024-08-23 17:19:00.749587,successful
TRANS00166,CUST0766,3112.82,2024-04-28 09:43:01.749587,successful
TRANS00167,CUST0029,4061.48,2024-11-22 04:44:01.749587,fraudulent
TRANS00168,CUST0820,7893.86,2024-05-06 14:55:08.749587,successful
TRANS00169,CUST0200,1313.99,2024-07-24 09:26:07.749587,successful
TRANS00170,CUST0452,847.03,2025-01-27 12:18:20.749587,fraudulent
TRANS00171,CUST0382,6555.36,2024-06-14 19:38:26.749587,successful
TRANS00172,CUST0299,9399.15,2024-02-26 09:45:00.749587,failed
TRANS00173,CUST0582,8709.62,2024-10-02 04:11:29.749587,successful
TRANS00174,CUST0370,4230.82,2025-01-25 05:53:43.749587,successful
TRANS00175,CUST0617,7218.93,2024-09-08 19:43:18.749587,fraudulent
TRANS00176,CUST0181,2790.95,2024-08-07 13:15:10.749587,successful
TRANS00177,CUST0318,8135.0,2024-10-28 08:02:34.749587,successful
TRANS00178,CUST0631,3834.18,2024-05-21 12:22:39.749587,successful
TRANS00179,CUST0830,387.28,2024-08-22 09:36:51.749587,successful
TRANS00180,CUST0947,8597.1,2024-03-27 12:02:02.749587,successful
TRANS00181,CUST0158,7100.31,2024-11-21 17:29:05.749587,successful
TRANS00182,CUST0736,1419.7,2024-07-26 14:12:56.749587,failed
TRANS00183,CUST0615,4433.77,2024-10-22 11:24:18.749587,successful
TRANS00184,CUST0308,2045.54,2024-12-25 19:06:12.749587,successful
TRANS00185,CUST0396,770.56,2024-06-01 03:11:43.749587,successful
TRANS00186,CUST0199,9992.49,2024-10-08 02:06:35.749587,successful
TRANS00187,CUST0873,9639.93,2024-04-05 07:54:40.749587,successful
TRANS00188,CUST0764,8345.45,2024-06-27 16:55:55.749587,successful
TRANS00189,CUST0282,2557.42,2024-12-26 18:30:16.749587,successful
TRANS00190,CUST0214,8989.57,2024-07-02 02:06:02.749587,successful
TRANS00191,CUST0933,6434.91,2024-07-15 22:51:12.749587,successful
TRANS00192,CUST0246,4916.06,2024-02-23 22:49:34.749587,successful
TRANS00193,CUST0196,442.47,2024-06-30 19:05:57.749587,successful
TRANS00194,CUST0639,9257.7,2024-09-05 09:03:19.749587,successful
TRANS00195,CUST0362,1190.59,2024-07-21 22:28:08.749587,successful
TRANS00196,CUST0715,5393.27,2024-08-07 08:04:14.749587,successful
TRANS00197,CUST0073,2928.32,2024-05-06 07:14:08.749587,successful
TRANS00198,CUST0854,9451.5,2024-09-25 23:42:55.749587,successful
TRANS00199,CUST0832,7021.61,2024-04-17 20:19:32.749587,successful
TRANS00200,CUST0523,2111.43,2024-11-24 07:22:17.749587,failed
TRANS00201,CUST0259,5509.52,2024-08-10 01:10:40.749587,successful
TRANS00202,CUST0389,3927.5,2024-05-30 12:31:14.749587,successful
TRANS00203,CUST0359,7338.87,2024-09-04 14:36:31.749587,successful
TRANS00204,CUST0582,9209.86,2024-03-13 14:28:18.749587,successful
TRANS00205,CUST0590,2592.8,2024-03-22 18:28:07.749587,successful
TRANS00206,CUST0273,5237.25,2024-11-13 17:00:33.749587,successful
TRANS00207,CUST0312,2176.38,2024-08-07 09:23:14.749587,failed
TRANS00208,CUST0423,9593.06,2024-09-20 19:29:46.749587,successful
TRANS00209,CUST0558,1576.65,2024-11-29 21:08:23.749587,fraudulent
TRANS00210,CUST0445,6635.67,2024-05-31 04:45:47.749587,successful
TRANS00211,CUST0796,4729.09,2024-11-12 21:04:21.749587,successful
TRANS00212,CUST0188,4694.28,2024-02-20 12:40:18.749587,successful
TRANS00213,CUST0635,4112.2,2024-05-12 18:21:29.749587,failed
TRANS00214,CUST0484,9764.19,2024-09-15 06:29:57.749587,successful
TRANS00215,CUST0041,4323.17,2024-09-16 10:49:42.749587,successful
TRANS00216,CUST0455,945.93,2024-11-02 23:01:55.749587,successful
TRANS00217,CUST0985,8844.69,2024-03-20 12:16:03.749587,successful
TRANS00218,CUST0345,2239.52,2024-08-28 23:33:55.749587,successful
TRANS00219,CUST0420,7962.0,2024-03-29 17:49:06.749587,successful
TRANS00220,CUST0843,3318.26,2024-09-23 17:45:01.749587,successful
TRANS00221,CUST0340,6198.66,2024-03-26 00:32:06.749587,successful
TRANS00222,CUST0842,4926.75,2024-08-23 09:49:13.749587,successful
TRANS00223,CUST0666,8364.29,2024-10-29 21:36:57.749587,successful
TRANS00224,CUST0897,3514.96,2025-01-09 09:04:38.749587,failed
TRANS00225,CUST0399,1302.8,2024-07-12 07:28:18.749587,successful
TRANS00226,CUST0190,2887.13,2024-02-15 06:57:34.749587,successful
TRANS00227,CUST0178,5357.83,2024-06-18 13:42:10.749587,fraudulent
TRANS00228,CUST0633,941.59,2024-07-05 17:26:45.749587,failed
TRANS00229,CUST0308,6476.49,2024-10-01 05:29:02.749587,fraudulent
TRANS00230,CUST0407,9615.22,2024-10-10 01:18:42.749587,fraudulent
TRANS00231,CUST0972,7836.52,2024-04-15 04:37:27.749587,successful
TRANS00232,CUST0454,1448.55,2024-11-28 12:45:38.749587,fraudulent
TRANS00233,CUST0479,4061.67,2024-03-05 18:44:09.749587,successful
TRANS00234,CUST0523,6230.33,2024-12-04 18:08:19.749587,successful
TRANS00235,CUST0644,1185.49,2024-05-08 01:51:40.749587,successful
TRANS00236,CUST0194,9492.29,2024-10-05 02:56:02.749587,successful
TRANS00237,CUST0031,586.11,2024-12-23 14:24:03.749587,successful
TRANS00238,CUST0521,8293.73,2024-12-20 21:57:54.749587,successful
TRANS00239,CUST0471,9392.51,2024-12-19 02:24:32.749587,successful
TRANS00240,CUST0407,3457.98,2025-02-01 09:46:29.749587,successful
TRANS00241,CUST0301,1937.48,2024-10-31 18:30:30.749587,successful
TRANS00242,CUST0346,902.33,2024-10-15 16:13:38.749587,successful
TRANS00243,CUST0820,3422.67,2024-04-09 07:50:59.749587,successful
TRANS00244,CUST0951,7879.4,2024-12-18 13:15:18.749587,successful
TRANS00245,CUST0004,8707.19,2024-08-11 03:55:21.749587,successful
TRANS00246,CUST0900,9999.01,2024-05-14 02:03:21.749587,successful
TRANS00247,CUST0400,3560.86,2024-12-22 02:14:50.749587,successful
TRANS00248,CUST0789,8446.49,2024-03-26 08:25:41.749587,successful
TRANS00249,CUST0862,217.54,2024-12-07 02:58:30.749587,failed
TRANS00250,CUST0608,5214.55,2024-05-01 18:53:18.749587,successful
TRANS00251,CUST0524,1429.9,2024-12-09 11:41:38.749587,successful
TRANS00252,CUST0089,9464.28,2024-12-12 05:06:19.749587,successful
TRANS00253,CUST0847,8060.66,2024-10-02 13:20:38.749587,successful
TRANS00254,CUST0442,218.62,2025-01-01 15:22:41.749587,failed
TRANS00255,CUST0296,256.81,2024-11-10 14:57:44.749587,successful
TRANS00256,CUST0972,8017.19,2025-01-04 01:25:34.749587,successful
TRANS00257,CUST0281,4435.72,2024-11-04 22:19:57.749587,successful
TRANS00258,CUST0655,8713.7,2024-07-12 20:11:34.749587,successful
TRANS00259,CUST0030,369.59,2024-09-29 20:54:55.749587,successful
TRANS00260,CUST0323,8659.76,2024-10-01 13:29:50.749587,successful
TRANS00261,CUST0554,6447.04,2025-01-29 19:10:58.749587,successful
TRANS00262,CUST0395,4617.37,2024-03-10 22:02:48.749587,successful
TRANS00263,CUST0218,308.41,2025-01-07 10:53:49.749587,successful
TRANS00264,CUST0076,5755.15,2024-11-05 13:20:05.749587,successful
TRANS00265,CUST0673,5457.19,2024-02-28 03:17:02.749587,successful
TRANS00266,CUST0484,2553.21,2024-02-29 20:39:41.749587,successful
TRANS00267,CUST0084,6082.97,2024-12-19 11:47:16.749587,failed
TRANS00268,CUST0481,1499.98,2024-07-01 23:56:45.749587,successful
TRANS00269,CUST0985,3711.49,2024-06-13 23:43:14.749587,successful
TRANS00270,CUST0410,7408.07,2024-08-05 03:00:36.749587,successful
TRANS00271,CUST0985,9067.85,2024-03-05 01:42:03.749587,successful
TRANS00272,CUST0126,4981.3,2024-12-16 13:57:51.749587,successful
TRANS00273,CUST0151,8043.09,2024-11-13 15:19:39.749587,fraudulent
TRANS00274,CUST0253,2457.8,2025-01-18 17:59:41.749587,successful
TRANS00275,CUST0084,1754.56,2024-06-27 18:03:09.749587,successful
TRANS00276,CUST0252,8093.16,2024-08-13 18:49:11.749587,successful
TRANS00277,CUST0416,6468.71,2024-06-17 03:20:05.749587,successful
TRANS00278,CUST0092,9268.07,2024-11-27 00:03:50.749587,successful
TRANS00279,CUST0410,5658.86,2025-01-27 08:57:51.749587,failed
TRANS00280,CUST0767,1702.52,2024-09-18 11:54:58.749587,failed
TRANS00281,CUST0523,155.42,2024-09-14 12:49:20.749587,successful
TRANS00282,CUST0154,8036.53,2024-09-08 14:32:15.749587,successful
TRANS00283,CUST0637,5333.79,2024-12-06 15:20:34.749587,successful
TRANS00284,CUST0178,7430.66,2025-02-01 09:51:45.749587,successful
TRANS00285,CUST0961,9556.48,2024-08-21 16:13:25.749587,successful
TRANS00286,CUST0614,5127.07,2024-02-08 01:24:04.749587,successful
TRANS00287,CUST0723,6167.18,2024-02-13 17:55:10.749587,successful
TRANS00288,CUST0850,6470.24,2024-06-08 21:16:36.749587,successful
TRANS00289,CUST0270,9947.48,2024-07-19 12:42:54.749587,successful
TRANS00290,CUST0805,2489.75,2024-08-29 03:00:00.749587,successful
TRANS00291,CUST0625,5441.84,2024-07-12 03:57:31.749587,successful
TRANS00292,CUST0003,8562.16,2025-02-05 11:46:24.749587,successful
TRANS00293,CUST0472,1404.02,2025-01-18 19:13:03.749587,failed
TRANS00294,CUST0640,2127.3,2024-03-27 19:51:25.749587,successful
TRANS00295,CUST0566,7646.76,2024-05-03 19:32:22.749587,successful
TRANS00296,CUST0029,777.05,2024-10-31 04:57:45.749587,successful
TRANS00297,CUST0579,2854.67,2024-04-04 04:47:52.749587,successful
TRANS00298,CUST0434,6040.92,2024-06-21 22:27:44.749587,successful
TRANS00299,CUST0342,2520.65,2024-02-13 22:04:03.749587,successful
TRANS00300,CUST0458,9223.86,2024-02-14 16:31:56.749587,failed
TRANS00301,CUST0869,1498.21,2024-04-21 06:15:56.749587,successful
TRANS00302,CUST0211,8564.04,2024-10-28 13:18:22.749587,fraudulent
TRANS00303,CUST0711,5747.04,2024-11-19 16:18:40.749587,successful
TRANS00304,CUST0472,1801.0,2025-01-31 06:21:59.749587,successful
TRANS00305,CUST0167,6586.75,2024-12-29 16:57:33.749587,successful
TRANS00306,CUST0815,151.53,2025-01-30 09:58:28.749587,successful
TRANS00307,CUST0753,6730.89,2025-01-01 07:48:41.749587,successful
TRANS00308,CUST0991,9209.41,2024-06-16 09:05:07.749587,failed
TRANS00309,CUST0399,2675.01,2024-07-16 08:44:05.749587,successful
TRANS00310,CUST0249,4283.47,2024-10-10 09:59:39.749587,successful
TRANS00311,CUST0386,9471.99,2024-06-22 02:54:15.749587,successful
TRANS00312,CUST0010,8993.89,2024-03-17 21:51:21.749587,successful
TRANS00313,CUST0196,554.88,2024-11-08 16:43:15.749587,successful
TRANS00314,CUST0345,6706.96,2024-06-13 03:30:27.749587,fraudulent
TRANS00315,CUST0761,4102.69,2024-11-22 01:52:37.749587,successful
TRANS00316,CUST0952,5706.7,2024-10-12 12:42:30.749587,successful
TRANS00317,CUST0971,3406.49,2024-10-10 11:02:25.749587,successful
TRANS00318,CUST0148,8099.32,2024-07-01 01:46:57.749587,successful
TRANS00319,CUST0068,1589.84,2024-06-15 13:27:43.749587,successful
TRANS00320,CUST0566,6334.93,2024-05-11 06:56:30.749587,fraudulent
TRANS00321,CUST0751,4874.14,2024-03-26 12:17:28.749587,successful
TRANS00322,CUST0948,8792.95,2024-11-13 03:02:36.749587,successful
TRANS00323,CUST0466,3805.41,2024-03-09 19:44:30.749587,failed
TRANS00324,CUST0117,1749.01,2025-01-20 02:22:15.749587,successful
TRANS00325,CUST0112,6643.8,2024-07-15 13:59:06.749587,successful
TRANS00326,CUST0257,1257.83,2024-03-24 17:10:22.749587,failed
TRANS00327,CUST0171,8816.19,2024-04-09 03:17:50.749587,successful
TRANS00328,CUST0392,831.73,2024-04-21 13:05:03.749587,successful
TRANS00329,CUST0976,5541.65,2024-03-10 05:00:05.749587,successful
TRANS00330,CUST0233,849.98,2024-10-22 16:21:44.749587,successful
TRANS00331,CUST0370,3541.24,2024-07-06 16:13:42.749587,successful
TRANS00332,CUST0467,6133.82,2024-08-22 08:25:28.749587,successful
TRANS00333,CUST0378,5281.02,2024-02-16 23:55:36.749587,successful
TRANS00334,CUST0880,1775.16,2024-03-05 13:30:00.749587,successful
TRANS00335,CUST0285,6903.46,2024-05-06 15:06:01.749587,successful
TRANS00336,CUST0828,5839.85,2024-12-11 09:20:20.749587,successful
TRANS00337,CUST0887,3304.94,2024-02-21 04:14:00.749587,successful
TRANS00338,CUST0331,4385.7,2024-12-07 12:01:58.749587,successful
TRANS00339,CUST0167,5523.06,2024-06-17 03:45:43.749587,failed
TRANS00340,CUST0001,1561.09,2024-06-19 18:39:37.749587,failed
TRANS00341,CUST0382,5155.84,2024-10-01 09:46:49.749587,successful
TRANS00342,CUST0639,4794.54,2024-05-03 20:48:31.749587,successful
TRANS00343,CUST0001,3019.64,2024-06-09 02:40:54.749587,fraudulent
TRANS00344,CUST0242,9396.88,2024-07-13 05:01:44.749587,failed
TRANS00345,CUST0292,4589.92,2025-01-23 10:04:24.749587,successful
TRANS00346,CUST0078,7528.92,2024-09-16 17:18:29.749587,successful
TRANS00347,CUST0057,5266.17,2024-11-03 20:16:04.749587,successful
TRANS00348,CUST0427,1021.92,2024-02-09 02:25:57.749587,successful
TRANS00349,CUST0426,1112.59,2024-12-21 11:04:42.749587,successful
TRANS00350,CUST0566,8151.28,2024-04-19 23:20:43.749587,successful
TRANS00351,CUST0574,7020.04,2025-02-03 11:05:12.749587,successful
TRANS00352,CUST0726,3740.18,2025-01-08 12:13:35.749587,successful
TRANS00353,CUST0213,469.29,2025-01-17 14:12:52.749587,successful
TRANS00354,CUST0649,4029.15,2024-08-12 06:13:31.749587,successful
TRANS00355,CUST0353,2224.73,2024-07-24 00:31:48.749587,successful
TRANS00356,CUST0023,2910.12,2024-03-19 01:35:41.749587,successful
TRANS00357,CUST0284,7064.82,2025-01-18 00:01:44.749587,successful
TRANS00358,CUST0253,9885.22,2024-07-29 10:45:00.749587,successful
TRANS00359,CUST0206,9617.45,2024-11-06 18:30:17.749587,successful
TRANS00360,CUST0727,1016.84,2024-11-04 15:55:25.749587,successful
TRANS00361,CUST0818,9858.09,2024-11-25 09:25:21.749587,successful
TRANS00362,CUST0053,7884.13,2024-04-12 16:52:49.749587,successful
TRANS00363,CUST0197,9379.66,2024-10-15 06:26:55.749587,successful
TRANS00364,CUST0798,8177.15,2024-12-27 09:21:31.749587,successful
TRANS00365,CUST0071,9168.7,2024-11-07 04:51:34.749587,failed
TRANS00366,CUST0437,7425.07,2025-01-08 07:15:17.749587,successful
TRANS00367,CUST0450,986.3,2024-12-31 10:56:43.749587,successful
TRANS00368,CUST0348,5709.71,2024-08-21 18:13:40.749587,successful
TRANS00369,CUST0370,9592.08,2024-03-24 08:35:27.749587,successful
TRANS00370,CUST0440,1605.64,2024-06-19 02:05:11.749587,successful
TRANS00371,CUST0002,5510.09,2024-04-24 19:53:22.749587,successful
TRANS00372,CUST0533,8302.53,2024-12-10 02:06:56.749587,fraudulent
TRANS00373,CUST0274,5770.66,2024-12-04 07:44:14.749587,fraudulent
TRANS00374,CUST0255,8137.59,2024-06-12 23:10:30.749587,successful
TRANS00375,CUST0370,4597.23,2024-10-06 01:34:48.749587,successful
